Gene Category System Organelle
HSPA1A HSP70 HSP70_system Cytonuclear
HSPA1B HSP70 HSP70_system Cytonuclear
HSPA1L HSP70 HSP70_system Cytonuclear
HSPA2 HSP70 HSP70_system Cytonuclear
HSPA6 HSP70 HSP70_system Cytonuclear
HSPA8 HSP70 HSP70_system Cytonuclear
HSPA12A HSP70 HSP70_system Cytonuclear
HSPA12B HSP70 HSP70_system Cytonuclear
HSPA14 HSP70 HSP70_system Cytonuclear
DNAJA1 HSP40 HSP70_system Cytonuclear
DNAJA2 HSP40 HSP70_system Cytonuclear
DNAJA4 HSP40 HSP70_system Cytonuclear
DNAJB1 HSP40 HSP70_system Cytonuclear
DNAJB2 HSP40 HSP70_system Cytonuclear
DNAJB4 HSP40 HSP70_system Cytonuclear
DNAJB5 HSP40 HSP70_system Cytonuclear
DNAJB6 HSP40 HSP70_system Cytonuclear
DNAJB7 HSP40 HSP70_system Cytonuclear
DNAJB8 HSP40 HSP70_system Cytonuclear
DNAJC2 HSP40 HSP70_system Cytonuclear
DNAJC4 HSP40 HSP70_system Cytonuclear
DNAJC6 HSP40 HSP70_system Cytonuclear
DNAJC7 HSP40 HSP70_system Cytonuclear
DNAJC8 HSP40 HSP70_system Cytonuclear
DNAJC9 HSP40 HSP70_system Cytonuclear
DNAJC12 HSP40 HSP70_system Cytonuclear
DNAJC13 HSP40 HSP70_system Cytonuclear
DNAJC16 HSP40 HSP70_system Cytonuclear
DNAJC17 HSP40 HSP70_system Cytonuclear
DNAJC21 HSP40 HSP70_system Cytonuclear
DNAJC22 HSP40 HSP70_system Cytonuclear
DNAJC24 HSP40 HSP70_system Cytonuclear
DNAJC25 HSP40 HSP70_system Cytonuclear
DNAJC25-GNG10 HSP40 HSP70_system Cytonuclear
GAK HSP40 HSP70_system Cytonuclear
DNAJC27 HSP40 HSP70_system Cytonuclear
SACS HSP40 HSP70_system Cytonuclear
HSPH1 HSP70 HSP70_system Cytonuclear
HSPA4 HSP70 HSP70_system Cytonuclear
HSPA4L HSP70 HSP70_system Cytonuclear
BAG1 HSP70 HSP70_system Cytonuclear
BAG2 HSP70 HSP70_system Cytonuclear
BAG3 HSP70 HSP70_system Cytonuclear
BAG4 HSP70 HSP70_system Cytonuclear
BAG5 HSP70 HSP70_system Cytonuclear
BAG6 HSP70 HSP70_system Cytonuclear
HSPBP1 HSP70 HSP70_system Cytonuclear
TCP1 CCT/TRiC CCT/TRiC_system Cytonuclear
CCT2 CCT/TRiC CCT/TRiC_system Cytonuclear
CCT3 CCT/TRiC CCT/TRiC_system Cytonuclear
CCT4 CCT/TRiC CCT/TRiC_system Cytonuclear
CCT5 CCT/TRiC CCT/TRiC_system Cytonuclear
CCT6A CCT/TRiC CCT/TRiC_system Cytonuclear
CCT6B CCT/TRiC CCT/TRiC_system Cytonuclear
CCT7 CCT/TRiC CCT/TRiC_system Cytonuclear
