Gene	Class	Category
UB2D2	E2	E2
UB2L6	E2	E2
UBE2N	E2	E2
UBE2T	E2	E2
UB2L3	E2	E2
UB2E1	E2	E2
UBE2W	E2	E2
UBE2H	E2	E2
UB2G1	E2	E2
UBE2C	E2	E2
UB2D3	E2	E2
UB2D1	E2	E2
SOCS1	E3	RING_Complex
PEX10	E3	RING_Single
ZFP91	E3	Uncategorized
FBXL15	E3	RING_Complex
RNF216	E3	RBR
FBXL5	E3	RING_Complex
TRAF3	E3	RING_Complex
EP300	E3	Uncategorized
PCGF1	E3	RING_Single
RNF13	E3	RING_Single
TRIM36	E3	RING_Single
NOSIP	E3	UBOX
SIVA1	E3	Uncategorized
FBXO40	E3	RING_Complex
TRIM3	E3	RING_Single
SIAH1	E3	RING_Single
TRIM13	E3	RING_Single
SMURF1	E3	HECT
RCHY1	E3	RING_Single
DCAF12	E3	RING_Complex
SOCS5	E3	RING_Complex
SPSB2	E3	RING_Complex
KLHL6	E3	Uncategorized
RNF34	E3	RING_Single
TRAF2	E3	RING_Complex
ZNRF2	E3	Uncategorized
KLHL7	E3	RING_Complex
RNF38	E3	RING_Single
AMBRA1	E3	Uncategorized
FBXL22	E3	RING_Complex
CACYBP	E3	RING_Complex
MKRN1	E3	RING_Single
TRIM32	E3	RING_Single
KLHL12	E3	RING_Complex
CUL4A	E3	RING_Complex
MARCH6	E3	Uncategorized
TRIM39	E3	RING_Single
TTC3	E3	RING_Single
FBXO45	E3	RING_Complex
SKP1	E3	RING_Complex
TANK	E3	RING_Single
KLHL22	E3	RING_Complex
PELI1	E3	RING_Single
RNF144B	E3	RBR
APC	E3	RING_Complex
MARCH7	E3	Uncategorized
RNF41	E3	RING_Single
BRAP	E3	RING_Single
FBXO27	E3	RING_Complex
IL17RB	E3	Uncategorized
RNF144A	E3	RBR
RNF115	E3	RING_Single
RNF31	E3	RBR
FBXO7	E3	RING_Complex
FBXL18	E3	RING_Complex
DYRK2	E3	Uncategorized
DTX3	E3	Uncategorized
ING4	E3	Uncategorized
FBXO4	E3	RING_Complex
CCNF	E3	RING_Complex
FBXL3	E3	RING_Complex
TRIM8	E3	RING_Single
SHPRH	E3	RING_Single
RNF6	E3	RING_Single
ASB4	E3	RING_Complex
UBE4A	E3	Uncategorized
MDM4	E3	RING_Single
TNFAIP1	E3	RING_Complex
FBXO34	E3	RING_Complex
RNF167	E3	RING_Single
NEDD4	E3	HECT
FAF2	E3	Uncategorized
FBRS	E3	Uncategorized
TRIM2	E3	RING_Single
RNF130	E3	RING_Single
BIN2	E3	Uncategorized
PDLIM2	E3	RING_Single
TRIM37	E3	RING_Single
BIRC3	E3	RING_Single
FBXO9	E3	RING_Complex
ERCC8	E3	RING_Complex
UBR2	E3	RING_Single
VHL	E3	RING_Complex
FBXW2	E3	RING_Complex
PPARG	E3	Uncategorized
SMURF2	E3	HECT
MARCH5	E3	Uncategorized
CBLL1	E3	RING_Single
UHRF1	E3	RING_Single
CHFR	E3	RING_Single
TRIM26	E3	RING_Single
ANAPC10	E3	RING_Complex
CDCA3	E3	RING_Complex
RC3H1	E3	RING_Single
UHRF2	E3	RING_Single
RICTOR	E3	RING_Complex
HERC2	E3	HECT
RNF25	E3	RING_Single
SPOP	E3	RING_Complex
RNF146	E3	RING_Single
FZR1	E3	RING_Complex
RNF26	E3	RING_Single
ARIH1	E3	RING_Complex
WWP1	E3	HECT
DTX3L	E3	RING_Single
RNF2	E3	RING_Complex
XIAP	E3	RING_Single
TBL1X	E3	RING_Complex
VPS18	E3	RING_Single
MYLIP	E3	RING_Single
UBE4B	E3	UBOX
ARIH2	E3	RBR
TRIM49	E3	Uncategorized
RNF40	E3	RING_Complex
FBXW12	E3	RING_Complex
DZIP3	E3	RING_Single
MARCH8	E3	Uncategorized
CA11	E3	Uncategorized
KLHL15	E3	RING_Complex
UBE3C	E3	HECT
ZSWIM2	E3	RING_Single
FBXL12	E3	RING_Complex
RNF128	E3	RING_Single
KCTD10	E3	RING_Complex
RNF19A	E3	RBR
PJA1	E3	RING_Single
HECTD3	E3	HECT
KLHL40	E3	RING_Complex
LHX1	E3	Uncategorized
BIRC6	E3	Uncategorized
HERC5	E3	HECT
KLHL31	E3	Uncategorized
RNF4	E3	RING_Single
TOM1	E3	Uncategorized
ANAPC1	E3	RING_Complex
FBXO5	E3	Uncategorized
TRIM25	E3	RING_Single
CDC27	E3	RING_Complex
PEX12	E3	RING_Single
LNX2	E3	Uncategorized
ARID1B	E3	RING_Complex
PJA2	E3	RING_Single
RNF126	E3	RING_Single
RNF8	E3	RING_Single
MARCH1	E3	Uncategorized
MALT1	E3	Uncategorized
KLHL21	E3	RING_Complex
RNF220	E3	RING_Single
MGRN1	E3	RING_Single
TRIM71	E3	RING_Single
RBBP6	E3	RING_Single
FBXO10	E3	RING_Complex
TRIP12	E3	HECT
ANAPC7	E3	RING_Complex
KLHL13	E3	RING_Complex
RHOBTB3	E3	Uncategorized
AHR	E3	Uncategorized
RNF185	E3	RING_Single
FBXL2	E3	RING_Complex
FBXO11	E3	RING_Complex
SOCS4	E3	RING_Complex
KLHL3	E3	RING_Complex
FBXO2	E3	RING_Complex
FBXW8	E3	RING_Complex
TRIM38	E3	RING_Single
IRAK4	E3	Uncategorized
FBXO25	E3	RING_Complex
PIAS2	E3	RING_Single
TRAF7	E3	RING_Single
F12	E3	Uncategorized
KLHL17	E3	RING_Complex
RNF14	E3	RBR
CDH1	E3	RING_Complex
RHOBTB1	E3	Uncategorized
CARD16	E3	Uncategorized
RNF152	E3	RING_Single
FBXO8	E3	Uncategorized
BRCA1	E3	RING_Complex
HACE1	E3	HECT
RNF138	E3	RING_Single
BARD1	E3	RING_Single
RNF181	E3	RING_Single
DTX4	E3	RING_Single
KCTD11	E3	RING_Complex
TRIM58	E3	RING_Single
ASB2	E3	RING_Complex
RNF125	E3	RING_Single
RNF111	E3	RING_Single
FBXO21	E3	RING_Complex
MAGEA3	E3	Uncategorized
ITCH	E3	HECT
HECTD2	E3	HECT
TOPORS	E3	RING_Single
CBLB	E3	RING_Single
RBX1	E3	RING_Complex
WWP2	E3	HECT
FBXW5	E3	RING_Complex
KLHL10	E3	RING_Complex
NEURL2	E3	RING_Complex
DTX2	E3	Uncategorized
BIRC7	E3	RING_Single
UBR4	E3	Uncategorized
DET1	E3	RING_Complex
FANCL	E3	RING_Single
PAXIP1	E3	Uncategorized
MID1	E3	Uncategorized
SYVN1	E3	RING_Single
FBXL7	E3	RING_Complex
FBXO32	E3	RING_Complex
SOCS2	E3	RING_Complex
HLTF	E3	RING_Single
ANAPC11	E3	RING_Complex
RNF139	E3	RING_Single
RFWD3	E3	RING_Single
KLHL9	E3	RING_Complex
RNF180	E3	RING_Single
TRIM65	E3	RING_Single
SIAH2	E3	RING_Single
FBXO6	E3	RING_Complex
WSB1	E3	RING_Complex
TRAF4	E3	Uncategorized
NEDD4L	E3	HECT
RNF170	E3	RING_Single
PPARA	E3	Uncategorized
UBR5	E3	HECT
IRAK1	E3	Uncategorized
RBCK1	E3	RING_Single
MARCH9	E3	Uncategorized
TRIM23	E3	RING_Single
TRIM41	E3	RING_Single
HERC1	E3	HECT
RNF19B	E3	RING_Single
DCAF4	E3	RING_Complex
TRIM9	E3	RING_Single
FBXO42	E3	RING_Complex
TRIM17	E3	RING_Single
TRIM31	E3	RING_Single
TRIM24	E3	RING_Single
FBXW10	E3	RING_Complex
DTX1	E3	RING_Single
DCAF11	E3	RING_Complex
TRIM11	E3	RING_Single
RLIM	E3	RING_Single
TRIM59	E3	RING_Single
FBXO33	E3	RING_Complex
UBE3A	E3	HECT
KCTD13	E3	RING_Complex
RING1	E3	RING_Single
ASB3	E3	RING_Complex
SOCS3	E3	RING_Complex
TRIM5	E3	RING_Single
MIB2	E3	RING_Single
MDM2	E3	RING_Single
BMI1	E3	RING_Single
STUB1	E3	UBOX
ASB9	E3	RING_Complex
RNF149	E3	RING_Single
HUWE1	E3	HECT
CDC34	E3	Uncategorized
TRIM33	E3	RING_Single
NHLRC1	E3	RING_Single
LNX1	E3	RING_Single
FBXO22	E3	RING_Complex
FBXL4	E3	Uncategorized
FBXL17	E3	RING_Complex
MAP3K1	E3	RING_Single
MEX3B	E3	Uncategorized
CUL7	E3	RING_Complex
CBLC	E3	RING_Single
MIB1	E3	RING_Single
ZC3HC1	E3	RING_Complex
MARCH11	E3	Uncategorized
MSL2	E3	RING_Single
CISH	E3	RING_Complex
TRAF6	E3	RING_Single
CCNB1IP1	E3	RING_Single
ZNRF1	E3	RING_Single
TRIM27	E3	RING_Single
RNF183	E3	RING_Single
RFPL4A	E3	RING_Single
TRIM50	E3	Uncategorized
CDC20	E3	RING_Complex
KEAP1	E3	RING_Complex
LRSAM1	E3	RING_Single
CGRRF1	E3	Uncategorized
TRIM56	E3	RING_Single
PRPF19	E3	UBOX
CCAR1	E3	Uncategorized
KLHL11	E3	RING_Complex
SKP2	E3	RING_Complex
RAD18	E3	RING_Complex
KLHL2	E3	RING_Complex
RNF5	E3	RING_Single
HECW1	E3	HECT
FBXO15	E3	RING_Complex
BIRC2	E3	RING_Single
RAG1	E3	RING_Single
