Gene	cat	cluster	degree	PNsyst
ATP1A4	syn	cluster0	7	None
HERC5	ub	cluster0	15	HECT
KLHL10	ub	cluster0	6	RING_Complex
TJP1	syn	cluster0	4	None
ATP5I	syn	cluster0	3	None
MYO6	syn	cluster0	2	None
TTYH1	syn	cluster0	2	None
DAAM2	syn	cluster0	7	None
DOCK1	syn	cluster0	8	None
SNTB1	syn	cluster0	4	None
TRIM21	ub	cluster0	16	RING_Complex
COL5A3	syn	cluster0	4	None
UHRF1	ub	cluster0	25	RING_Single
DOCK5	syn	cluster0	8	None
CCT6B	chap	cluster0	11	CCT/TRiC_system
RNF43	ub	cluster0	22	RING_Single
ATP2A1	syn	cluster0	2	None
AQP4	syn	cluster0	4	None
PAPLN	syn	cluster0	7	None
CBR3	syn	cluster0	1	None
CYBRD1	syn	cluster0	7	None
RAB13	syn	cluster0	7	None
MACF1	syn	cluster0	8	None
DST	syn	cluster0	6	None
FTH1	syn	cluster0	0	None
EZR	syn	cluster0	9	None
EPB42	syn	cluster0	13	None
RNF183	ub	cluster0	7	RING_Single
KRT5	syn	cluster0	1	None
DES	syn	cluster0	2	None
CARD16	ub	cluster0	9	Uncategorized
SYNGR4	syn	cluster0	4	None
ABCB1	syn	cluster0	4	None
NEURL1B	ub	cluster0	5	RING_Single
RAC2	syn	cluster0	2	None
TRIM31	ub	cluster0	9	RING_Single
KRT24	syn	cluster0	0	None
AIPL1	chap	cluster0	6	HSP90_system
TRIM5	ub	cluster0	16	RING_Single
EPX	syn	cluster0	3	None
MYO1E	syn	cluster0	5	None
ALPL	syn	cluster0	6	None
TACC1	syn	cluster0	1	None
TUBB6	syn	cluster0	6	None
FES	syn	cluster0	6	None
ANXA3	syn	cluster0	8	None
ANXA5	syn	cluster0	0	None
CAV1	syn	cluster0	6	None
SPINK5	syn	cluster0	2	None
DNAJB13	chap	cluster0	11	HSP70_system
CA1	syn	cluster0	5	None
ACTN4	syn	cluster0	0	None
SOS1	syn	cluster0	4	None
AGER	syn	cluster0	4	None
S100A9	syn	cluster0	3	None
BIRC7	ub	cluster0	14	RING_Single
FGB	syn	cluster0	5	None
ODF1	chap	cluster0	6	sHSP_system
TRIM58	ub	cluster0	2	RING_Single
CAPZA3	syn	cluster0	1	None
ATP6V1B1	syn	cluster0	2	None
MYH6	syn	cluster0	4	None
DNAJB8	chap	cluster0	7	HSP70_system
UNC45B	chap	cluster0	5	HSP90_system
HBD	syn	cluster0	3	None
SCIN	syn	cluster0	6	None
CACNA1S	syn	cluster0	4	None
BIN2	ub	cluster0	13	Uncategorized
MYL4	syn	cluster0	2	None
PPIAL4B	syn	cluster0	2	None
NT5C1B	syn	cluster0	1	None
FBXW12	ub	cluster0	6	RING_Complex
CDC20	ub	cluster0	11	RING_Complex
SCN4A	syn	cluster0	2	None
EPPK1	syn	cluster0	6	None
DSG1	syn	cluster0	3	None
KIF2B	syn	cluster0	0	None
ACTA2	syn	cluster0	1	None
COL1A1	syn	cluster0	2	None
ANXA1	syn	cluster0	1	None
