Gene	cat	cluster	degree	PNsyst
NAP1L3	chap	cluster0	40	other
DPYSL4	syn	cluster0	8	None
PRAF2	syn	cluster0	8	None
REEP5	syn	cluster0	5	None
SLC1A1	syn	cluster0	8	None
CDC42	syn	cluster0	4	None
LRRTM1	syn	cluster0	5	None
OSCP1	syn	cluster0	5	None
SV2A	syn	cluster0	8	None
SLC4A3	syn	cluster0	7	None
PPM1E	syn	cluster0	9	None
GNAS	syn	cluster0	5	None
CPNE6	syn	cluster0	6	None
MARCH11	ub	cluster0	26	Uncategorized
HACD3	chap	cluster0	28	HSP90_system
SLC32A1	syn	cluster0	8	None
L1CAM	syn	cluster0	5	None
KCNJ12	syn	cluster0	7	None
RAB3C	syn	cluster0	7	None
PRNP	syn	cluster0	5	None
PJA1	ub	cluster0	27	RING_Single
GAD1	syn	cluster0	3	None
RGS8	syn	cluster0	3	None
SYNGR3	syn	cluster0	5	None
GNAI1	syn	cluster0	7	None
GPRIN1	syn	cluster0	3	None
KCNA3	syn	cluster0	4	None
ASTN1	syn	cluster0	5	None
GRIK2	syn	cluster0	8	None
NRXN3	syn	cluster0	7	None
ARHGAP23	syn	cluster0	4	None
KCND2	syn	cluster0	6	None
ATP1B1	syn	cluster0	4	None
GRIP1	syn	cluster0	3	None
ATP1A3	syn	cluster0	7	None
SYT3	syn	cluster0	8	None
CASK	syn	cluster0	2	None
CACNA2D2	syn	cluster0	7	None
DPP6	syn	cluster0	3	None
KCNH2	syn	cluster0	9	None
CACNG2	syn	cluster0	9	None
ALDH5A1	syn	cluster0	6	None
MEX3B	ub	cluster0	20	Uncategorized
CKAP4	syn	cluster0	2	None
DTX1	ub	cluster0	35	RING_Single
PLD3	syn	cluster0	6	None
HSPA13	chap	cluster0	39	HSP70_system
FBXL22	ub	cluster0	15	RING_Complex
PLCB4	syn	cluster0	2	None
PYCR1	syn	cluster0	0	None
CSPG5	syn	cluster0	4	None
PCGF1	ub	cluster0	4	RING_Single
SPTB	syn	cluster0	2	None
RIN1	syn	cluster0	1	None
GRIA1	syn	cluster0	5	None
DNAJC9	chap	cluster0	10	HSP70_system
PDZRN3	ub	cluster0	2	RING_Single
SNCAIP	syn	cluster0	0	None
OLFM2	syn	cluster0	0	None
ANK1	syn	cluster0	1	None
TRIM32	ub	cluster0	7	RING_Single
GRIN2D	syn	cluster0	1	None
CNTFR	syn	cluster0	1	None
CNTN1	syn	cluster0	4	None
CAPN5	syn	cluster0	0	None
CACNA1G	syn	cluster0	1	None
EFR3B	syn	cluster0	0	None
VGF	syn	cluster0	0	None
ARID3B	syn	cluster1	3	None
SOCS3	ub	cluster1	23	RING_Complex
TRIM56	ub	cluster1	26	RING_Single
HJURP	chap	cluster1	12	other
POR	syn	cluster1	6	None
DTX3L	ub	cluster1	21	RING_Single
PEX10	ub	cluster1	10	RING_Single
CA4	syn	cluster1	7	None
YES1	syn	cluster1	12	None
STAT1	syn	cluster1	10	None
PKN1	syn	cluster1	3	None
CALR	syn	cluster1	2	None
HSPA6	chap	cluster1	8	HSP70_system
DSP	syn	cluster1	13	None
SLC2A1	syn	cluster1	9	None
PPIB	syn	cluster1	1	None
SLC3A2	syn	cluster1	5	None
NEURL2	ub	cluster1	19	RING_Complex
TRIM38	ub	cluster1	21	RING_Single
RDX	syn	cluster1	8	None
KIF2C	syn	cluster1	6	None
NEDD4	ub	cluster1	15	HECT
KANK2	syn	cluster1	5	None
GNA12	syn	cluster1	9	None
ANXA2	syn	cluster1	7	None
LCP1	syn	cluster1	7	None
CALB2	syn	cluster1	2	None
TAGLN2	syn	cluster1	10	None
KCTD12	syn	cluster1	3	None
MAPK3	syn	cluster1	5	None
RNF125	ub	cluster1	11	RING_Single
CTNNB1	syn	cluster1	3	None
STOM	syn	cluster1	9	None
TRIM62	ub	cluster1	7	RING_Single
PEX12	ub	cluster1	0	RING_Single
RNF144B	ub	cluster1	14	RBR
DAD1	syn	cluster1	9	None
MAP3K1	ub	cluster1	5	RING_Single
WDR1	syn	cluster1	3	None
LYN	syn	cluster1	7	None
MVP	syn	cluster1	10	None
KCTD11	ub	cluster1	15	RING_Complex
MSN	syn	cluster1	11	None
FLNC	syn	cluster1	4	None
KCNQ1	syn	cluster1	5	None
PRKAG3	syn	cluster1	3	None
EDARADD	syn	cluster1	5	None
KCNA5	syn	cluster1	2	None
MARCKSL1	syn	cluster1	0	None
SAG	ub	cluster1	4	Uncategorized
VAMP3	syn	cluster1	2	None
KLHL41	ub	cluster1	1	Uncategorized
ITGAX	syn	cluster1	1	None
C3	syn	cluster1	3	None
KLHL13	ub	cluster1	1	RING_Complex
SCN5A	syn	cluster1	1	None
HIST1H1E	syn	cluster1	0	None
PCCA	syn	cluster1	0	None
GNG12	syn	cluster1	1	None
TPM2	syn	cluster1	1	None
TUBB2B	syn	cluster2	3	None
SLC25A18	syn	cluster2	7	None
PRODH	syn	cluster2	7	None
CST3	syn	cluster2	7	None
SLC1A3	syn	cluster2	6	None
APC	ub	cluster2	34	RING_Complex
LCAT	syn	cluster2	6	None
VAV2	syn	cluster2	3	None
IL17RB	ub	cluster2	34	Uncategorized
WIF1	syn	cluster2	3	None
NDRG2	syn	cluster2	5	None
FYN	syn	cluster2	3	None
PGM1	syn	cluster2	2	None
STON2	syn	cluster2	7	None
APOE	syn	cluster2	7	None
AHNAK	syn	cluster2	6	None
FGF2	syn	cluster2	6	None
GSTM2	syn	cluster2	7	None
PPAP2B	syn	cluster2	7	None
GJA1	syn	cluster2	7	None
ALDH1L1	syn	cluster2	7	None
PPARA	ub	cluster2	40	Uncategorized
DDR1	syn	cluster2	4	None
ATP1B2	syn	cluster2	3	None
PYGM	syn	cluster2	5	None
FAM107A	syn	cluster2	4	None
SCRIB	syn	cluster2	6	None
CD81	syn	cluster2	6	None
GPRC5B	syn	cluster2	5	None
TSC22D4	syn	cluster2	6	None
ERLIN2	syn	cluster2	5	None
SERPINA3	syn	cluster2	3	None
SEPT10	syn	cluster2	1	None
S100B	syn	cluster2	4	None
ALDH6A1	syn	cluster2	6	None
SLC6A1	syn	cluster2	4	None
FBXL7	ub	cluster2	19	RING_Complex
PLCD1	syn	cluster2	6	None
PTPRZ1	syn	cluster2	0	None
BRCA1	ub	cluster2	20	RING_Complex
GLUL	syn	cluster2	2	None
SLC25A13	syn	cluster2	2	None
CPT1A	syn	cluster2	3	None
RRBP1	syn	cluster2	2	None
ETFB	syn	cluster2	0	None
HSPA2	chap	cluster2	28	HSP70_system
RBCK1	ub	cluster2	30	RING_Single
HSD17B10	syn	cluster2	3	None
GNA13	syn	cluster2	3	None
GFAP	syn	cluster2	4	None
SLC4A4	syn	cluster2	6	None
CSRP1	syn	cluster2	5	None
TPD52L1	syn	cluster2	1	None
UNC45A	chap	cluster2	2	HSP90_system
VPS11	syn	cluster2	1	None
VCAN	syn	cluster2	0	None
CA2	syn	cluster2	0	None
JUP	syn	cluster2	1	None
ATP6V1E2	syn	cluster2	0	None
CCDC127	syn	cluster3	1	None
RPN2	syn	cluster3	7	None
HSPA8	chap	cluster3	25	HSP70_system
PSMD10	syn	cluster3	2	None
SCCPDH	syn	cluster3	0	None
MAPRE1	syn	cluster3	1	None
SRR	syn	cluster3	1	None
TRPC4AP	ub	cluster3	14	RING_Complex
HIP1	syn	cluster3	4	None
NCAM1	syn	cluster3	4	None
DNAJB11	chap	cluster3	2	HSP70_system
HYOU1	chap	cluster3	21	HSP70_system
ALDH2	syn	cluster3	6	None
ATP6V0C	syn	cluster3	6	None
MAP7D1	syn	cluster3	6	None
LANCL1	syn	cluster3	7	None
ACSL3	syn	cluster3	6	None
ACLY	syn	cluster3	6	None
KIF20B	syn	cluster3	4	None
GRIA4	syn	cluster3	1	None
FRYL	syn	cluster3	6	None
KLHL20	ub	cluster3	12	RING_Complex
PDIA6	syn	cluster3	6	None
PACSIN2	syn	cluster3	6	None
RPN1	syn	cluster3	7	None
ATIC	syn	cluster3	2	None
KIF2A	syn	cluster3	6	None
DNM3	syn	cluster3	7	None
TRIM24	ub	cluster3	19	RING_Single
PHB2	chap	cluster3	16	other
TM7SF2	syn	cluster3	4	None
SOX4	syn	cluster3	2	None
SLC18A2	syn	cluster3	1	None
NDUFA7	syn	cluster3	4	None
ENDOG	syn	cluster3	1	None
DNAJC11	chap	cluster3	1	HSP70_system
FXR2	syn	cluster3	1	None
MOG	syn	cluster3	1	None
CRYAB	chap	cluster3	8	sHSP_system
PLP1	syn	cluster3	1	None
CRAT	syn	cluster3	1	None
TRAPPC9	syn	cluster3	0	None
CSE1L	syn	cluster3	0	None
STXBP6	syn	cluster3	0	None
CLCN3	syn	cluster4	8	None
HSPA4L	chap	cluster4	29	HSP70_system
MARCH8	ub	cluster4	27	Uncategorized
CNTNAP2	syn	cluster4	8	None
KCNN2	syn	cluster4	3	None
ERC1	syn	cluster4	8	None
DTD1	syn	cluster4	8	None
LIN7B	syn	cluster4	8	None
WASF3	syn	cluster4	8	None
CCT2	chap	cluster4	28	CCT/TRiC_system
ABI1	syn	cluster4	6	None
NRXN2	syn	cluster4	8	None
RABAC1	syn	cluster4	6	None
ZC3HC1	ub	cluster4	24	RING_Complex
DCX	syn	cluster4	8	None
OSTM1	ub	cluster4	26	RING_Single
KCNAB1	syn	cluster4	7	None
REV3L	syn	cluster4	8	None
LY6H	syn	cluster4	7	None
GSTM3	syn	cluster4	8	None
ENAH	syn	cluster4	8	None
ETFDH	syn	cluster4	8	None
PYGB	syn	cluster4	8	None
GLG1	syn	cluster4	8	None
POP4	syn	cluster4	7	None
SCD5	syn	cluster4	8	None
DOCK9	syn	cluster4	8	None
IL1RAPL1	syn	cluster4	7	None
FBXL14	ub	cluster4	21	RING_Complex
DPYSL5	syn	cluster4	7	None
IRS1	syn	cluster4	8	None
FBXO6	ub	cluster4	19	RING_Complex
FABP5	syn	cluster4	5	None
TIMM10	chap	cluster4	27	other
ASTN2	syn	cluster4	1	None
CLCN2	syn	cluster4	6	None
KCTD8	syn	cluster4	3	None
HAPLN1	syn	cluster4	0	None
MACROD1	syn	cluster5	3	None
SCAMP3	syn	cluster5	4	None
CORO1C	syn	cluster5	2	None
PAICS	syn	cluster5	3	None
DDOST	syn	cluster5	4	None
HSPA5	chap	cluster5	9	HSP70_system
VBP1	chap	cluster5	7	CCT/TRiC_system
XRCC1	syn	cluster5	3	None
PDIA3	syn	cluster5	3	None
PRPH	syn	cluster5	1	None
TOM1	ub	cluster5	7	Uncategorized
IARS2	syn	cluster5	1	None
ASF1B	chap	cluster5	6	other
TRIM71	ub	cluster5	1	RING_Single
FXYD2	syn	cluster5	1	None
PFDN6	chap	cluster5	4	CCT/TRiC_system
PGD	syn	cluster5	3	None
ALDOC	syn	cluster5	2	None
CANX	syn	cluster5	3	None
KCNJ14	syn	cluster5	1	None
ATP6V0D2	syn	cluster5	2	None
CBLC	ub	cluster5	9	RING_Single
PDE11A	syn	cluster5	1	None
EHMT2	syn	cluster5	1	None
CDH4	syn	cluster5	0	None
DOCK10	syn	cluster5	1	None
F2RL1	syn	cluster5	1	None
PGRMC1	syn	cluster5	1	None
PRKCA	syn	cluster5	1	None
GRID2	syn	cluster5	1	None
E4F1	ub	cluster5	0	Uncategorized
TMED3	syn	cluster6	7	None
FBXL4	ub	cluster6	15	Uncategorized
KCNC1	syn	cluster6	5	None
B3GAT3	syn	cluster6	8	None
CLU	syn	cluster6	5	None
GABRA1	syn	cluster6	6	None
ERBB2IP	syn	cluster6	6	None
RNF139	ub	cluster6	16	RING_Single
LIME1	syn	cluster6	6	None
AMPD2	syn	cluster6	6	None
VPS16	syn	cluster6	6	None
KCTD13	ub	cluster6	16	RING_Complex
WDR89	syn	cluster6	4	None
WWP1	ub	cluster6	10	HECT
SLC27A1	syn	cluster6	5	None
FAAH	syn	cluster6	7	None
LSAMP	syn	cluster6	7	None
URI1	chap	cluster6	17	CCT/TRiC_system
RASGRF2	syn	cluster6	5	None
AHR	ub	cluster6	5	Uncategorized
CCNG2	syn	cluster6	5	None
CYB5R1	syn	cluster6	6	None
CHCHD6	syn	cluster6	3	None
DNAJB12	chap	cluster6	18	HSP70_system
PDCL2	chap	cluster6	3	CCT/TRiC_system
NOS1	syn	cluster6	1	None
BIRC3	ub	cluster6	0	RING_Single
ARVCF	syn	cluster6	2	None
FBXO8	ub	cluster6	0	Uncategorized
CNP	syn	cluster6	0	None
