from	to	cluster
NAP1L3	DPYSL4	cluster0
NAP1L3	PRAF2	cluster0
NAP1L3	REEP5	cluster0
NAP1L3	SLC1A1	cluster0
NAP1L3	CDC42	cluster0
NAP1L3	LRRTM1	cluster0
NAP1L3	OSCP1	cluster0
NAP1L3	SV2A	cluster0
NAP1L3	SLC4A3	cluster0
NAP1L3	PPM1E	cluster0
NAP1L3	GNAS	cluster0
NAP1L3	CPNE6	cluster0
NAP1L3	MARCH11	cluster0
NAP1L3	HACD3	cluster0
NAP1L3	SLC32A1	cluster0
NAP1L3	L1CAM	cluster0
NAP1L3	KCNJ12	cluster0
NAP1L3	RAB3C	cluster0
NAP1L3	PRNP	cluster0
NAP1L3	PJA1	cluster0
NAP1L3	GAD1	cluster0
NAP1L3	RGS8	cluster0
NAP1L3	SYNGR3	cluster0
NAP1L3	GNAI1	cluster0
NAP1L3	GPRIN1	cluster0
NAP1L3	KCNA3	cluster0
NAP1L3	ASTN1	cluster0
NAP1L3	GRIK2	cluster0
NAP1L3	NRXN3	cluster0
NAP1L3	ARHGAP23	cluster0
NAP1L3	KCND2	cluster0
NAP1L3	ATP1B1	cluster0
NAP1L3	GRIP1	cluster0
NAP1L3	ATP1A3	cluster0
NAP1L3	SYT3	cluster0
NAP1L3	CASK	cluster0
NAP1L3	CACNA2D2	cluster0
NAP1L3	DPP6	cluster0
NAP1L3	KCNH2	cluster0
NAP1L3	CACNG2	cluster0
NAP1L3	ALDH5A1	cluster0
NAP1L3	MEX3B	cluster0
NAP1L3	CKAP4	cluster0
NAP1L3	DTX1	cluster0
NAP1L3	PLD3	cluster0
NAP1L3	HSPA13	cluster0
FBXL22	DPYSL4	cluster0
DPYSL4	PRAF2	cluster0
DPYSL4	SLC1A1	cluster0
DPYSL4	LRRTM1	cluster0
DPYSL4	SV2A	cluster0
DPYSL4	PLCB4	cluster0
DPYSL4	SLC4A3	cluster0
DPYSL4	PPM1E	cluster0
DPYSL4	CPNE6	cluster0
HACD3	DPYSL4	cluster0
DPYSL4	KCNJ12	cluster0
DPYSL4	RAB3C	cluster0
DPYSL4	PRNP	cluster0
PJA1	DPYSL4	cluster0
DPYSL4	GNAI1	cluster0
DPYSL4	GRIK2	cluster0
DPYSL4	PYCR1	cluster0
DPYSL4	CSPG5	cluster0
DPYSL4	NRXN3	cluster0
DPYSL4	ARHGAP23	cluster0
DPYSL4	KCND2	cluster0
DPYSL4	ATP1B1	cluster0
DPYSL4	ATP1A3	cluster0
DPYSL4	SYT3	cluster0
DPYSL4	CACNA2D2	cluster0
DPYSL4	DPP6	cluster0
PCGF1	DPYSL4	cluster0
DPYSL4	KCNH2	cluster0
DPYSL4	CACNG2	cluster0
MEX3B	DPYSL4	cluster0
DPYSL4	CKAP4	cluster0
DTX1	DPYSL4	cluster0
DPYSL4	SPTB	cluster0
HSPA13	DPYSL4	cluster0
FBXL22	PRAF2	cluster0
FBXL22	SLC1A1	cluster0
FBXL22	RIN1	cluster0
FBXL22	GRIA1	cluster0
FBXL22	DNAJC9	cluster0
FBXL22	PPM1E	cluster0
FBXL22	HACD3	cluster0
FBXL22	PJA1	cluster0
FBXL22	SYNGR3	cluster0
FBXL22	GNAI1	cluster0
FBXL22	GRIK2	cluster0
FBXL22	ARHGAP23	cluster0
FBXL22	SYT3	cluster0
FBXL22	CACNA2D2	cluster0
FBXL22	KCNH2	cluster0
FBXL22	CACNG2	cluster0
FBXL22	DTX1	cluster0
FBXL22	PLD3	cluster0
FBXL22	HSPA13	cluster0
PRAF2	REEP5	cluster0
PRAF2	SLC1A1	cluster0
PRAF2	LRRTM1	cluster0
PRAF2	SV2A	cluster0
PRAF2	PLCB4	cluster0
PRAF2	SLC4A3	cluster0
PRAF2	PPM1E	cluster0
PRAF2	CPNE6	cluster0
HACD3	PRAF2	cluster0
PRAF2	SLC32A1	cluster0
PRAF2	KCNJ12	cluster0
PRAF2	RAB3C	cluster0
PRAF2	PRNP	cluster0
PJA1	PRAF2	cluster0
PRAF2	GNAI1	cluster0
PRAF2	GRIK2	cluster0
PRAF2	CSPG5	cluster0
PRAF2	NRXN3	cluster0
PRAF2	ARHGAP23	cluster0
PRAF2	KCND2	cluster0
PRAF2	ATP1A3	cluster0
PRAF2	SYT3	cluster0
