Gene	cat	cluster	degree	PNsyst
GRIN2A	syn	cluster0	8	None
NEGR1	syn	cluster0	9	None
CAP2	syn	cluster0	13	None
KIF3A	syn	cluster0	9	None
RPL22	syn	cluster0	11	None
GRIA2	syn	cluster0	11	None
GPR158	syn	cluster0	9	None
SLC25A12	syn	cluster0	15	None
RBBP4	chap	cluster0	66	other
CACNA1B	syn	cluster0	13	None
SYT5	syn	cluster0	9	None
PRKACB	syn	cluster0	10	None
IQSEC1	syn	cluster0	10	None
DLGAP1	syn	cluster0	11	None
SRGAP3	syn	cluster0	10	None
ARL2BP	syn	cluster0	9	None
ATL2	syn	cluster0	13	None
FBXO45	ub	cluster0	67	RING_Complex
HSPA4L	chap	cluster0	66	HSP70_system
PRUNE2	syn	cluster0	10	None
MAP2	syn	cluster0	15	None
PAFAH1B1	syn	cluster0	11	None
PRKCB	syn	cluster0	7	None
SYN3	syn	cluster0	8	None
DNAJC17	chap	cluster0	66	HSP70_system
HOMER1	syn	cluster0	9	None
MAGI2	syn	cluster0	11	None
ADAM11	syn	cluster0	11	None
GPHN	syn	cluster0	11	None
ADAM22	syn	cluster0	9	None
IL1RAPL1	syn	cluster0	10	None
SYNGR1	syn	cluster0	11	None
SUCLA2	syn	cluster0	7	None
GPM6A	syn	cluster0	13	None
PHACTR1	syn	cluster0	7	None
SGTB	chap	cluster0	67	HSP90_system
GDAP1	syn	cluster0	11	None
DNAJC6	chap	cluster0	62	HSP70_system
PRKAR2B	syn	cluster0	11	None
KIF5C	syn	cluster0	11	None
DGKB	syn	cluster0	10	None
DCLK1	syn	cluster0	9	None
RAPGEF4	syn	cluster0	13	None
RIMS2	syn	cluster0	11	None
ATL1	syn	cluster0	10	None
GABRA4	syn	cluster0	12	None
OLA1	syn	cluster0	12	None
LMO7	syn	cluster0	7	None
APOOL	syn	cluster0	8	None
MAPT	syn	cluster0	11	None
CNTNAP2	syn	cluster0	10	None
DTD1	syn	cluster0	10	None
NBEA	syn	cluster0	13	None
FNIP1	chap	cluster0	58	HSP90_system
GPX4	syn	cluster0	7	None
OPCML	syn	cluster0	14	None
SEPT11	syn	cluster0	12	None
ATP2B2	syn	cluster0	13	None
MYL6B	syn	cluster0	15	None
KLHL42	ub	cluster0	41	RING_Complex
CHL1	syn	cluster0	7	None
DYNLL1	syn	cluster0	7	None
TNIK	syn	cluster0	8	None
SYT7	syn	cluster0	7	None
SRC	syn	cluster0	9	None
ITSN1	syn	cluster0	6	None
ANKRD24	syn	cluster0	7	None
CDH10	syn	cluster0	4	None
AGAP2	syn	cluster0	14	None
FBXL14	ub	cluster0	36	RING_Complex
GRM7	syn	cluster0	7	None
SLC8A2	syn	cluster0	5	None
LY6H	syn	cluster0	9	None
OSCP1	syn	cluster0	3	None
FKBP1B	syn	cluster0	5	None
CNKSR2	syn	cluster0	4	None
CAMKK1	syn	cluster0	4	None
IQSEC2	syn	cluster0	5	None
KCNB1	syn	cluster0	8	None
UBE2T	ub	cluster0	32	E2
STX1A	syn	cluster0	4	None
ADD2	syn	cluster0	6	None
CASKIN1	syn	cluster0	7	None
PPFIA4	syn	cluster0	4	None
ATRX	chap	cluster0	17	other
CNTN1	syn	cluster0	3	None
BBS12	chap	cluster0	33	CCT/TRiC_system
GOLGA7B	syn	cluster0	3	None
TMOD1	syn	cluster0	0	None
ICAM5	syn	cluster0	2	None
CACNG3	syn	cluster0	2	None
FBXL2	ub	cluster0	39	RING_Complex
CACNB3	syn	cluster0	2	None
FBXO6	ub	cluster0	28	RING_Complex
RASAL1	syn	cluster0	2	None
F12	ub	cluster0	4	Uncategorized
TRIM17	ub	cluster0	11	RING_Single
PDE1A	syn	cluster0	1	None
LDHB	syn	cluster0	4	None
PYCRL	syn	cluster0	1	None
AKAP9	syn	cluster0	2	None
RNF25	ub	cluster0	9	RING_Single
MYCBP2	ub	cluster0	14	RING_Single
PRR7	syn	cluster0	1	None
MPP7	syn	cluster0	0	None
RIN1	syn	cluster0	2	None
PLEKHA1	syn	cluster0	1	None
RPH3A	syn	cluster0	0	None
RPL23	syn	cluster1	11	None
HSPA8	chap	cluster1	65	HSP70_system
FBXO11	ub	cluster1	56	RING_Complex
MDH1	syn	cluster1	11	None
VAPA	syn	cluster1	11	None
TOMM20	syn	cluster1	11	None
RPL7	syn	cluster1	12	None
RTN1	syn	cluster1	11	None
RAB1A	syn	cluster1	11	None
KIAA0513	syn	cluster1	11	None
GDI1	syn	cluster1	12	None
DPYSL2	syn	cluster1	10	None
CD59	syn	cluster1	12	None
RAB2A	syn	cluster1	11	None
GNG3	syn	cluster1	12	None
RPL14	syn	cluster1	11	None
SNAP25	syn	cluster1	11	None
RPS18	syn	cluster1	1	None
NAP1L2	chap	cluster1	59	other
CDH2	syn	cluster1	10	None
CACYBP	chap	cluster1	58	HSP90_system
PEBP1	syn	cluster1	11	None
UQCRH	syn	cluster1	15	None
COX7A2L	syn	cluster1	14	None
SNPH	syn	cluster1	11	None
RTN4	syn	cluster1	15	None
RAN	syn	cluster1	15	None
DTL	ub	cluster1	10	RING_Complex
NDUFB8	syn	cluster1	13	None
SUPT16H	chap	cluster1	56	other
YWHAB	syn	cluster1	11	None
PLXNA2	syn	cluster1	9	None
NAP1L1	chap	cluster1	56	other
AARS	syn	cluster1	14	None
CACNA1A	syn	cluster1	10	None
AP2M1	syn	cluster1	13	None
DNAJA1	chap	cluster1	57	HSP70_system
KCTD16	syn	cluster1	9	None
PGK1	syn	cluster1	15	None
