from	to	cluster
GRIN2A	NEGR1	cluster0
GRIN2A	CAP2	cluster0
GRIN2A	KIF3A	cluster0
GRIN2A	RPL22	cluster0
GRIN2A	GRIA2	cluster0
GRIN2A	GPR158	cluster0
GRIN2A	SLC25A12	cluster0
RBBP4	GRIN2A	cluster0
GRIN2A	CACNA1B	cluster0
GRIN2A	SYT5	cluster0
GRIN2A	PRKACB	cluster0
GRIN2A	IQSEC1	cluster0
GRIN2A	DLGAP1	cluster0
GRIN2A	SRGAP3	cluster0
GRIN2A	ARL2BP	cluster0
GRIN2A	ATL2	cluster0
FBXO45	GRIN2A	cluster0
HSPA4L	GRIN2A	cluster0
GRIN2A	PRUNE2	cluster0
GRIN2A	MAP2	cluster0
GRIN2A	PAFAH1B1	cluster0
GRIN2A	PRKCB	cluster0
GRIN2A	SYN3	cluster0
DNAJC17	GRIN2A	cluster0
GRIN2A	HOMER1	cluster0
GRIN2A	MAGI2	cluster0
GRIN2A	ADAM11	cluster0
GRIN2A	GPHN	cluster0
GRIN2A	ADAM22	cluster0
GRIN2A	IL1RAPL1	cluster0
GRIN2A	SYNGR1	cluster0
GRIN2A	SUCLA2	cluster0
GRIN2A	GPM6A	cluster0
GRIN2A	PHACTR1	cluster0
SGTB	GRIN2A	cluster0
GRIN2A	GDAP1	cluster0
DNAJC6	GRIN2A	cluster0
GRIN2A	PRKAR2B	cluster0
GRIN2A	KIF5C	cluster0
GRIN2A	DGKB	cluster0
GRIN2A	DCLK1	cluster0
GRIN2A	RAPGEF4	cluster0
GRIN2A	RIMS2	cluster0
GRIN2A	ATL1	cluster0
GRIN2A	GABRA4	cluster0
GRIN2A	OLA1	cluster0
GRIN2A	LMO7	cluster0
GRIN2A	APOOL	cluster0
GRIN2A	MAPT	cluster0
GRIN2A	CNTNAP2	cluster0
GRIN2A	DTD1	cluster0
GRIN2A	NBEA	cluster0
FNIP1	GRIN2A	cluster0
GRIN2A	GPX4	cluster0
GRIN2A	OPCML	cluster0
GRIN2A	SEPT11	cluster0
GRIN2A	ATP2B2	cluster0
GRIN2A	MYL6B	cluster0
KLHL42	GRIN2A	cluster0
NEGR1	CHL1	cluster0
NEGR1	CAP2	cluster0
NEGR1	DYNLL1	cluster0
NEGR1	TNIK	cluster0
NEGR1	KIF3A	cluster0
NEGR1	RPL22	cluster0
NEGR1	GRIA2	cluster0
NEGR1	GPR158	cluster0
NEGR1	SLC25A12	cluster0
RBBP4	NEGR1	cluster0
NEGR1	CACNA1B	cluster0
NEGR1	SYT5	cluster0
NEGR1	SYT7	cluster0
NEGR1	PRKACB	cluster0
NEGR1	IQSEC1	cluster0
NEGR1	DLGAP1	cluster0
NEGR1	SRGAP3	cluster0
NEGR1	ARL2BP	cluster0
