from	to	cluster
HERC5	ATP1A4	cluster0
KLHL10	ATP1A4	cluster0
ATP1A4	TJP1	cluster0
ATP1A4	ATP5I	cluster0
ATP1A4	MYO6	cluster0
ATP1A4	TTYH1	cluster0
ATP1A4	DAAM2	cluster0
ATP1A4	DOCK1	cluster0
ATP1A4	SNTB1	cluster0
TRIM21	ATP1A4	cluster0
ATP1A4	COL5A3	cluster0
UHRF1	ATP1A4	cluster0
ATP1A4	DOCK5	cluster0
CCT6B	ATP1A4	cluster0
RNF43	ATP1A4	cluster0
ATP1A4	ATP2A1	cluster0
ATP1A4	AQP4	cluster0
ATP1A4	PAPLN	cluster0
ATP1A4	CBR3	cluster0
ATP1A4	CYBRD1	cluster0
ATP1A4	RAB13	cluster0
ATP1A4	MACF1	cluster0
ATP1A4	DST	cluster0
ATP1A4	FTH1	cluster0
ATP1A4	EZR	cluster0
ATP1A4	EPB42	cluster0
RNF183	ATP1A4	cluster0
KRT5	DES	cluster0
CARD16	KRT5	cluster0
SYNGR4	ABCB1	cluster0
NEURL1B	SYNGR4	cluster0
SYNGR4	RAC2	cluster0
TRIM31	SYNGR4	cluster0
SYNGR4	KRT24	cluster0
AIPL1	SYNGR4	cluster0
TRIM5	SYNGR4	cluster0
SYNGR4	EPX	cluster0
SYNGR4	EZR	cluster0
HERC5	MYO1E	cluster0
MYO1E	TJP1	cluster0
MYO1E	ALPL	cluster0
MYO1E	TACC1	cluster0
MYO1E	TUBB6	cluster0
MYO1E	FES	cluster0
MYO1E	ABCB1	cluster0
MYO1E	ANXA3	cluster0
MYO1E	ANXA5	cluster0
MYO1E	CAV1	cluster0
TRIM21	MYO1E	cluster0
MYO1E	SPINK5	cluster0
DNAJB13	MYO1E	cluster0
MYO1E	CA1	cluster0
AIPL1	MYO1E	cluster0
TRIM5	MYO1E	cluster0
MYO1E	ACTN4	cluster0
MYO1E	SOS1	cluster0
MYO1E	AGER	cluster0
BIRC7	S100A9	cluster0
S100A9	FGB	cluster0
ODF1	S100A9	cluster0
RNF183	S100A9	cluster0
TRIM58	CAPZA3	cluster0
TRIM58	ATP6V1B1	cluster0
DNAJB8	MYH6	cluster0
MYH6	ABCB1	cluster0
UNC45B	MYH6	cluster0
MYH6	HBD	cluster0
TRIM21	MYH6	cluster0
MYH6	FGB	cluster0
MYH6	SCIN	cluster0
MYH6	CACNA1S	cluster0
BIN2	MYH6	cluster0
MYH6	MYL4	cluster0
MYH6	PPIAL4B	cluster0
MYH6	NT5C1B	cluster0
FBXW12	CDC20	cluster0
FBXW12	SCN4A	cluster0
FBXW12	DAAM2	cluster0
FBXW12	UNC45B	cluster0
FBXW12	EPPK1	cluster0
FBXW12	DSG1	cluster0
FBXW12	FGB	cluster0
FBXW12	CACNA1S	cluster0
KIF2B	ACTA2	cluster0
KIF2B	CACNA1S	cluster0
KIF2B	MYL4	cluster0
KIF2B	PPIAL4B	cluster0
KIF2B	COL1A1	cluster0
KIF2B	EPX	cluster0
ANXA1	ALDH1A1	cluster0
ANXA1	ARPC2	cluster0
ANXA1	RTN4RL2	cluster0
ANXA1	RPS6	cluster0
ANXA1	CAV1	cluster0
ANXA1	SNTB1	cluster0
DTL	ANXA1	cluster0
ANXA1	PLA2G4A	cluster0
ANXA1	F2RL3	cluster0
HERC5	TJP1	cluster0
HERC5	ALPL	cluster0
HERC5	TUBB6	cluster0
HERC5	FES	cluster0
HERC5	ABCB1	cluster0
HERC5	ANXA3	cluster0
HERC5	DOCK1	cluster0
HERC5	CAV1	cluster0
HERC5	SNTB1	cluster0
HERC5	TRIM21	cluster0
HERC5	HSPB9	cluster0
HERC5	RNF182	cluster0
HERC5	RNF43	cluster0
HERC5	CA1	cluster0
HERC5	TNFAIP3	cluster0
HERC5	TRIM5	cluster0
HERC5	GDF7	cluster0
HERC5	ITGB1BP2	cluster0
HERC5	SOS1	cluster0
HERC5	EPB42	cluster0
CDC20	ANXA3	cluster0
CDC20	DAAM2	cluster0
CDC20	EPPK1	cluster0
CDC20	ZMYND10	cluster0
CDC20	PDCD6IP	cluster0
CDC20	TRIM21	cluster0
CDC20	DOCK5	cluster0
CDC20	ODF1	cluster0
CDC20	DNAJB13	cluster0
CDC20	COL1A1	cluster0
CDC20	MACF1	cluster0
CDC20	CCT8L2	cluster0
CDC20	TNC	cluster0
CDC20	EZR	cluster0
CDC20	AGER	cluster0
CDC20	ATP4A	cluster0
KLHL10	DOCK5	cluster0
KLHL10	SPINK5	cluster0
KLHL10	RNF43	cluster0
KLHL10	CYBRD1	cluster0
KLHL10	RAB13	cluster0
KLHL10	EZR	cluster0
TJP1	ALPL	cluster0
TJP1	MYO6	cluster0
TJP1	TUBB6	cluster0
TJP1	FES	cluster0
TJP1	ABCB1	cluster0
TJP1	ANXA3	cluster0
TJP1	ANXA5	cluster0
TJP1	PDCD6IP	cluster0
TRIM21	TJP1	cluster0
TJP1	LRRC57	cluster0
RNF43	TJP1	cluster0
TJP1	CA1	cluster0
TRIM5	TJP1	cluster0
TJP1	RAB13	cluster0
TJP1	SOS1	cluster0
TJP1	EPB42	cluster0
ALPL	TACC1	cluster0
