Gene	cat	cluster	degree	PNsyst
RNF31	ub	cluster0	64	RBR
NOSIP	ub	cluster0	62	UBOX
SEC23A	syn	cluster0	22	None
HSPA14	chap	cluster0	60	HSP70_system
TMEM126A	syn	cluster0	30	None
UGP2	syn	cluster0	28	None
ARPC3	syn	cluster0	27	None
PHLDB1	syn	cluster0	18	None
FBXW11	ub	cluster0	59	RING_Complex
BRAP	ub	cluster0	65	RING_Single
PRICKLE2	syn	cluster0	29	None
DNAJC3	chap	cluster0	85	HSP70_system
ASB4	ub	cluster0	149	RING_Complex
BIRC7	ub	cluster0	112	RING_Single
DCAF4	ub	cluster0	2	RING_Complex
CTNNA1	syn	cluster0	23	None
CDIPT	syn	cluster0	28	None
DCAF12	ub	cluster0	32	RING_Complex
ROCK2	syn	cluster0	22	None
SRPRB	syn	cluster0	36	None
UBR5	ub	cluster0	50	HECT
PPFIA1	syn	cluster0	34	None
AK3	syn	cluster0	37	None
FBXO25	ub	cluster0	79	RING_Complex
DNAJC2	chap	cluster0	79	HSP70_system
PLXNA1	syn	cluster0	26	None
RHOT1	syn	cluster0	30	None
MFF	syn	cluster0	30	None
HECTD3	ub	cluster0	73	HECT
STX12	syn	cluster0	30	None
USP9X	syn	cluster0	26	None
AKR1A1	syn	cluster0	32	None
TJP1	syn	cluster0	42	None
TIMM9	chap	cluster0	37	other
KRAS	syn	cluster0	32	None
HOOK3	syn	cluster0	30	None
ARNT	syn	cluster0	32	None
USP21	ub	cluster0	51	DUB
MARCH2	ub	cluster0	63	Uncategorized
ACTR3	syn	cluster0	28	None
ARID3B	syn	cluster0	15	None
PDXK	syn	cluster0	27	None
CAPZA2	syn	cluster0	35	None
RPS10	syn	cluster0	15	None
MAP6	syn	cluster0	29	None
STX4	syn	cluster0	8	None
TBCD	chap	cluster0	61	CCT/TRiC_system
ACAA1	syn	cluster0	29	None
VTA1	syn	cluster0	24	None
UBE2H	ub	cluster0	56	E2
HARS2	syn	cluster0	26	None
IARS	syn	cluster0	28	None
RARS	syn	cluster0	7	None
DHRS7B	syn	cluster0	31	None
NDUFS7	syn	cluster0	31	None
NDUFB6	syn	cluster0	25	None
VAC14	syn	cluster0	28	None
FASN	syn	cluster0	33	None
PDRG1	chap	cluster0	65	CCT/TRiC_system
FLII	syn	cluster0	23	None
FBXO21	ub	cluster0	64	RING_Complex
USO1	syn	cluster0	32	None
GRHPR	syn	cluster0	39	None
SOCS4	ub	cluster0	69	RING_Complex
MIB2	ub	cluster0	65	RING_Single
SEC63	chap	cluster0	36	HSP70_system
GNAI3	syn	cluster0	30	None
MCCC2	syn	cluster0	6	None
TRAF3	ub	cluster0	64	RING_Complex
DECR1	syn	cluster0	24	None
UHRF2	ub	cluster0	59	RING_Single
NDUFV2	syn	cluster0	31	None
SLC25A5	syn	cluster0	27	None
TPM4	syn	cluster0	29	None
KLHL12	ub	cluster0	74	RING_Complex
CSNK1D	syn	cluster0	28	None
WDR37	syn	cluster0	34	None
AKT1	syn	cluster0	28	None
RAB8B	syn	cluster0	29	None
NOMO1	syn	cluster0	29	None
MFN2	syn	cluster0	28	None
RBBP6	ub	cluster0	70	RING_Single
ARHGEF9	syn	cluster0	26	None
REPS2	syn	cluster0	27	None
ZNRF1	ub	cluster0	61	RING_Single
GK	syn	cluster0	27	None
NAPG	syn	cluster0	26	None
TOM1L2	syn	cluster0	36	None
MINA	syn	cluster0	7	None
RPS6KA3	syn	cluster0	23	None
IRGQ	syn	cluster0	31	None
CRNKL1	chap	cluster0	80	HSP90_system
PES1	syn	cluster0	18	None
PPP2CA	syn	cluster0	26	None
SLC2A1	syn	cluster0	31	None
DSP	syn	cluster0	45	None
SLC9A3R2	syn	cluster0	32	None
SOS1	syn	cluster0	32	None
NDRG1	syn	cluster0	13	None
NEURL2	ub	cluster0	51	RING_Complex
RHOA	syn	cluster0	23	None
EPB42	syn	cluster0	56	None
TAGLN2	syn	cluster0	30	None
HIST1H1E	syn	cluster0	1	None
RAB35	syn	cluster0	32	None
RAG1	ub	cluster0	81	RING_Single
TRIM5	ub	cluster0	52	RING_Single
HERC5	ub	cluster0	76	HECT
UBN1	chap	cluster0	38	other
MAP3K1	ub	cluster0	20	RING_Single
PLLP	syn	cluster0	40	None
TUBA1C	syn	cluster0	33	None
IPO4	chap	cluster0	45	other
ABCB1	syn	cluster0	38	None
TRIM38	ub	cluster0	75	RING_Single
RNF144B	ub	cluster0	52	RBR
GNAI2	syn	cluster0	35	None
