logFC	logCPM	PValue
TTN	3.43152646362563	9.50727124481335	3.92090715156902e-09
SYNE1	0.349828795437957	8.64748125096087	0.170641250527647
DST	0.118475118686017	10.1096914662979	0.750224120677772
SYNE2	0.500419736165189	5.55171442850093	0.311314336490532
FSIP2	0.0893442153444694	5.43679361160095	0.896420350599992
HMCN1	-2.02114235604199	6.24706655685238	0.298789134468676
MDN1	0.400562955790298	7.29560728300961	0.084355026308818
MACF1	0.316485743125938	8.77368111993114	0.388207067682742
AHNAK	1.92017842200668	4.36052063578528	0.267475452144559
UBR4	0.0758035020592935	7.78630840335837	0.798618732001521
RYR2	0.948970492754825	7.98388363674596	0.0640750031491732
FAT4	0.305962149856791	5.17948885154461	0.863867797985206
RYR1	2.30293951723917	8.55703322732801	0.000539356845854244
HERC1	-0.0680024718756879	8.29411396865306	0.821610461718576
BIRC6	0.0865735619447833	7.99370689017729	0.681155359142529
RYR3	-0.457815019741241	8.2566921021108	0.641341511860017
PCLO	-0.414478338993584	9.68747332571472	0.264212849836482
HERC2	-10.5641195120726	6.19720437510289	2.0151749292167e-58
KMT2C	0.591407416483096	8.37421818932621	0.0209452043270538
HYDIN	-7.81943359102791	3.59029121941691	2.26862372291383e-09
LRP1	1.34880322372921	7.0621811080715	4.19944174273458e-06
LRP2	2.06410714811197	5.6863405045909	0.150117911067444
LRP1B	-0.020387607077252	7.54107946792205	0.946576916840997
DYNC1H1	-0.0692761110567438	8.51430922315721	0.824756613904925
MYCBP2	-0.015981740582567	9.02902004489322	0.939705391650746
SACS	-0.773322514069418	8.24034191024133	0.0184890777489141
PLEC	0.533495699499918	7.30964355821324	0.112530594371005
FAT3	0.527341408322553	8.12905575373207	0.339270601779572
DNAH5	0.790259621563489	5.80148451888368	0.504953422259858
DNAH8	0.469182157215544	4.052971241751	0.747568885252978
HUWE1	0.147593185943959	7.07817524907392	0.586231426445176
DNHD1	0.445799745893894	5.76333586487506	0.360841923068888
VPS13D	0.259920936530759	7.43769390164883	0.385252878478307
ABCA13	2.22058119287205	4.43991846698964	0.177122056895211
DNAH10	-0.951762991598805	5.46549983477165	0.0147208690281385
FAT1	-1.12803576971138	6.91468246156525	0.181019058462672
DYNC2H1	0.666651795375958	7.76437997534724	0.00178339404508731
DNAH9	0.813037764412714	5.72456241221515	0.399383475658586
HSPG2	2.67792611333153	3.25235704124557	0.0210295733324526
DNAH2	-0.195991050851949	3.38806608657715	0.847499490261837
DNAH1	-1.19867346515054	5.96943880413845	0.00532756312898685
FAT2	1.56270341660187	4.91414161410574	0.0235463591303393
APOB	-0.0551191766864812	4.51109722602442	0.98605576128556
PRKDC	0.109872887565692	7.34910231873995	0.597328632455028
DNAH6	-0.720990973286436	6.23243310351634	0.133787383743002
PKHD1L1	5.5235655260576	3.26694877773598	0.000959872810200666
DNAH7	-1.90511290848838	5.65420018515357	0.0110160094030608
TRRAP	0.686790445568954	6.64232229282879	0.000457147513502183
DNAH3	-7.9584331224165	3.71859980209059	2.94740427086279e-05
VPS13B	-0.398912449087068	7.31135903494945	0.113151816940932
STARD9	0.0768894145159996	6.61224426315774	0.818805107777672
PKD1	-12.1780596171762	7.79257050218421	7.68822621287094e-43
TNXB	0.773864076586148	5.20850243732506	0.560399713307034
FRAS1	-1.75048505855909	8.45768163998575	0.000144921889690377
CSMD3	-0.351820648406368	7.77647122744871	0.130164494328861
PKHD1	-0.229832442981861	4.73710255597314	0.885328348706687
ZFHX3	-10.2763057486564	5.91393072296962	1.47733489338631e-31
SMG1	-10.642631460664	6.27377816849271	2.26795733626719e-55
ANK2	0.202084821066878	8.96104829700593	0.615153578016768
LYST	-0.354141598791335	7.53410766022313	0.183696430858821
USP34	0.1388068394173	8.081372519117	0.448001511973763
DMD	0.431684524980348	8.02096859729252	0.318283831258189
AKAP9	0.557295978746004	9.90213026204495	0.0350817820604232
ZFHX4	0.155773824096196	7.46638466120682	0.783231081642387
CSMD1	0.185057860195203	6.77663178899733	0.544903996070797
VPS13C	-0.233340012027645	9.11912160882576	0.529694454827076
WDFY3	-0.172865700598334	7.42904349468613	0.374415311967526
RELN	-2.00467485418005	8.43702108875767	0.113374745763832
ALMS1	-0.192542978744302	7.04061282366492	0.476061760118258
SVEP1	-0.493005730678385	5.70907204972569	0.585437444530915
BSN	-0.395740946003796	7.28808833792099	0.154444680407911
SPEN	0.158682489243636	6.98751690071241	0.396530390356837
CSMD2	-0.389678768010174	5.29968458379339	0.523406884353118
CUBN	-2.18566305154471	5.40921849217984	0.0392463872855863
SZT2	1.37957164061355	6.4357684746975	1.33519410726846e-06
CMYA5	0.189733294555039	7.18746257249089	0.781877637621304
UTRN	-0.267260338013494	6.86616442586848	0.794778783476766
UNC80	0.0653349008354512	9.45224958854721	0.883793044699315
ASPM	0.61809559480617	6.1119040424873	0.481432788864704
CELSR3	0.578003844096191	6.52603616878647	0.00407656079578475
CDH23	-2.62083194444984	5.93400137742466	0.0204713124810483
MUC5B	2.5532174612432	2.79798486372641	0.292545240613254
SPTBN5	1.12361611060183	5.63218116239337	0.375789473675468
LAMA3	0.571936275329006	6.17242086906301	0.194166662797042
TRIO	-0.405833826232222	6.79806414369729	0.124535039512815
SRCAP	-8.87760601509226	4.56491217158372	4.02186736699937e-17
XIRP2	-2.65059458362563	6.25545417399834	0.299597241512378
FBN2	0.562239048844075	5.41958200381098	0.591561195256101
RANBP2	-11.1040745451258	6.72903849578511	1.82807171167707e-95
LAMA2	-0.703169170937408	3.58735983951692	0.63262551955836
DCHS1	0.815785976519957	6.28657378621277	0.0145927808130627
FREM2	0.75959792182496	3.13388037801682	0.64795397879479
REV3L	0.0492367799783928	8.63130155697423	0.858909937054922
VPS13A	-0.386404890539986	7.92583127727668	0.117179873357276
VCAN	-2.28639258623798	7.40111356687838	0.0318088674878958
DMXL2	0.0873191865909563	7.6768242402082	0.76919104644624
CHD7	1.02130357856416	6.67524148643567	0.19299881254084
FBN1	-0.726847534510695	7.36710859113374	0.0877719207589143
FRY	-0.759845996405953	7.75975002840036	0.00222855813023327
COL12A1	-0.0807808360797743	6.82697310736581	0.862729450415041
KALRN	-1.25738432457225	8.15811769360359	0.0240745405092626
GOLGB1	0.260630688366722	8.52840526521156	0.236369701707597
FRYL	0.0208254332948763	7.13953462526166	0.934051347630626
NBEA	0.174849652989558	8.33344304222538	0.39512282075902
WDFY4	-3.00395815004566	4.99098761540571	0.209586127038831
COL6A3	5.46300774247515	4.39496680910099	0.0235314623479317
HTT	1.08639779711992	6.46964715598416	7.52846455332732e-06
ATM	-0.292560848317994	7.26125599831139	0.184738708100094
DMXL1	-0.350283884156289	7.4289414701006	0.0782998690465173
CEP350	0.0466482451845802	8.04261416432271	0.872035703193798
ASH1L	0.827272014851102	8.28862014947009	0.000171371733568509
EP400	0.195844097052921	6.8440107470797	0.387003455094428
MGA	0.52375662708101	6.8350932652975	0.030131739194202
SPEG	1.31275989174464	7.04148657034362	0.00204673720821322
BPTF	0.245456211783999	8.31203769305845	0.259549086901334
CHD9	-12.5445051685114	8.1573660056923	3.48507379022224e-94
BRCA2	0.955920529606927	5.87500632408569	0.313744302311565
CELSR2	0.441065586038713	6.3888773733684	0.0434999470601908
NF1	-1.04651828174876	7.21290448314036	3.01664436064892e-09
TRANK1	-0.0166601910408213	7.91545913584631	0.965192479829294
ZZEF1	-0.0126036407183108	6.11493546862765	0.955388026622158
DSP	0.386894633270897	3.29550028488225	0.919097153476111
UBR5	0.0755711843799806	8.06527186538009	0.751623625217148
NIPBL	0.374308016163528	7.5827277651339	0.0594563134373702
PRRC2C	0.350489460337727	9.05190250913906	0.164067223873937
TNRC18	1.11016500932568	5.51248619325067	0.00130598986414844
ITPR1	-1.15234317944303	7.06129003007119	1.51264878043088e-08
CENPF	-0.929707534658461	6.6867452456571	0.531285827181781
TENM4	0.409686310645304	7.0884405031591	0.26099688572122
BOD1L1	0.239851943406593	8.64299317073129	0.366597103650738
TENM1	-0.904759913327942	6.99331177600096	0.00937504737679008
APC	-0.172563555886222	8.36988664959752	0.446716833294074
TENM3	-0.626115856668658	6.49399905410175	0.117485442050536
LRBA	-0.192623391672129	6.61859474442179	0.422086151441029
MEGF8	1.07105216865357	6.89077134031222	6.29588911632793e-08
FLNC	1.25354022890902	4.48636282207769	0.344168023869025
TENM2	0.725192441185278	7.66479783581321	0.164854396494071
PIEZO2	3.17258540048655	6.00245353780101	0.00166748101814314
ITPR2	0.913076541554003	7.85014156739965	0.130047071614777
PRUNE2	-0.970016807308301	7.42712192766302	0.000655346317973386
ITPR3	0.392862738243638	4.21257831460519	0.716809130275286
CHD6	-0.0359691194520001	8.15506696036224	0.866233239814897
SRRM2	-12.4837237738625	8.09660329171345	2.02566006098316e-50
VWF	3.85060613864806	3.81602466155749	0.249256234124716
HECTD1	-0.225729306562414	7.49941991501815	0.283223852508799
ZNF292	-0.414445648503739	8.88937047046072	0.0769704088372976
FLNA	0.549868812392773	5.48328880357907	0.183984883669117
UTP20	0.425614909513028	6.32184783402098	0.29957893535616
USP24	-0.52228090845482	6.9912123905651	0.0162056293418247
NSD1	1.14747616177183	7.51882729520597	6.12516636752958e-08
NOTCH1	0.603662548883573	2.75257728369883	0.838661062989473
ATR	0.392613674768012	7.71465835657154	0.231886902863021
MKI67	5.81717708483406	3.51762637755521	0.152798882989169
NBEAL1	-0.328085417976561	7.10228479674827	0.13592815993116
USP9X	-0.900245185030276	7.24082703244355	6.64188910930329e-07
CHD8	0.27513812830395	6.98965786816647	0.269276397671098
ANKRD17	0.134472907762188	7.77213335515086	0.57380614632641
MTOR	0.062383085156831	7.06295012520805	0.787213853480854
FLNB	0.6908434508514	6.88059769865218	0.00784173078390599
MAP1A	0.927324164414147	8.8886031215557	0.0237844110582625
ZNF462	0.60793386435314	6.26496873404141	0.0219415822700081
NOTCH2	-1.06734947540644	6.40585742721427	0.0846631836910135
ABCA12	-0.751215401793189	5.18927056736428	0.685120781731743
JMJD1C	-0.293138698340598	8.78955581879138	0.423751641871725
CREBBP	-10.2309454541345	5.86877822792863	2.80299789306657e-48
TLN1	1.19996807975256	6.30072446022841	0.000116281214948329
SPTAN1	-0.568002967494465	8.47948423864584	0.046552974547124
PCNT	-0.250189365446948	7.2026949329351	0.338498944753339
SETD2	0.248817999051708	7.62499453875764	0.195872685882908
HIVEP1	0.173049005803565	6.52299433840033	0.435491605570003
EPG5	-0.358166222528327	6.43123651884781	0.0559961206043105
STAB1	0.877081887871183	3.03193180358049	0.770637091556951
AKAP13	-0.0874043856916866	6.86562796462839	0.778193963346221
CENPE	0.0309603693252303	6.81093739127348	0.915576594369596
NBEAL2	-0.538802267325005	5.20842329368728	0.315773935635421
FN1	0.0695876078019735	5.43929071862651	0.912695381608454
EP300	0.0801409465797769	6.93533667570137	0.691409309540588
ATRX	0.0447806121112468	9.02420250059285	0.810938955573577
MYO9A	-0.433997963915806	7.7434108809846	0.106611897819358
UNC79	-0.334722914168996	7.54330324996652	0.243235818153388
ANKHD1	-0.450409492476513	6.35445158270273	0.104000386521848
PDZD2	-0.238167556165644	6.68902839211775	0.475500528693866
CUL9	0.372952287006965	6.43073199016193	0.0913239881903916
TTC28	0.571114469684619	6.20080590699142	0.0559822262170777
NCOR1	-0.251806391002165	8.18958177081232	0.214350538370533
ZFHX2	-0.158194657345989	6.51394597866059	0.58565491971795
NCOR2	1.86640885498803	6.34232460966678	2.39492668056561e-09
ZFYVE26	-0.360343200479546	6.32844803205288	0.140052630835983
TLN2	-0.243128828175404	6.7446768677906	0.273085379452769
CNOT1	-9.8436752383901	5.49199534582691	1.38783197105102e-30
SETX	0.235651728399658	7.60301657197246	0.178005145582989
PRPF8	0.29701473279908	6.85857049870543	0.105229064995979
HIVEP2	0.191457147721537	7.47764216995198	0.395201248507781
PKD1L1	-1.79542585985401	4.3234553699326	0.208003232050673
TG	1.59028040000955	3.47717741810657	0.374869941059833
MAST4	-1.02771769654658	6.9387823410729	0.00035851478958819
SPTBN1	-1.356774751434	7.94929730953617	1.86319518757578e-07
BAHCC1	-0.527486705881602	5.11083593467163	0.346916699032325
NAV2	0.038210833168677	7.59733726605022	0.899051303338134
ACACB	1.64343662895717	4.64769852314171	0.11931400290172
STAB2	0.0260704959821473	4.12705261688168	0.991867753769271
CACNA1A	-0.236232372310474	7.26189351301306	0.36145727056792
LRRK2	-0.107276383502126	6.38479007093723	0.72315936150497
TEP1	0.413021583360451	6.69676717092077	0.528323183216458
MAP1B	-1.15835907074659	10.5573458144468	0.0405830143624828
ABCA2	0.980923119030675	5.74252853890399	0.0111207418513947
NOTCH3	-0.0830437693511307	3.44026177656885	0.96769154162048
POLQ	0.261955025731356	6.46390591771018	0.625547796924916
CEP290	-0.46536777325726	7.94443528437941	0.0967240107782056
ANKRD11	-10.5358017365497	6.1681218943411	1.21771719474405e-50
PTPN13	0.22881777073035	6.84912472824047	0.499479670305189
CACNA1G	0.838896805862692	7.62909740205593	0.0776360544240131
SPTBN2	1.05650843169208	5.85626371353136	0.00455933664526867
NAV3	0.260670527876539	7.41733156690662	0.369027015314621
IGSF10	0.0861075139451142	5.43543790557287	0.959106590156318
HELZ2	0.256784473900799	3.51424199816202	0.875727060890574
ARID1A	-0.391703272855186	6.88148660223972	0.0265099018435687
CACNA1B	0.0179940023873703	7.6241657208388	0.953877815059605
OTOGL	-1.43278860860804	4.81767131772629	0.513986293889243
ACACA	-0.413194325776501	6.61629890386378	0.096152679090438
PCNX	-10.1877144650253	5.82556809366755	1.65573231142112e-43
TEX15	-4.15909833677791	6.37474282761326	2.04731091252523e-06
IGF2R	0.270195276958908	5.94904823650979	0.486117311656623
PIEZO1	-7.10473850764738	2.97971241454159	0.000170806453636766
MYO18B	0.445842914718098	5.20749625103789	0.748918532803387
SPG11	-0.0719227844844402	7.08016530059559	0.808410209489652
TPR	-0.0318760158495076	7.38723834424345	0.875594196137289
NBAS	-0.0716514838190288	6.83607767964878	0.789398672477525
CACNA1E	0.266511990995131	7.1384146725969	0.528327839111163
COL6A5	-2.0173256183481	2.84712919356495	0.420575342618337
