logFC	logCPM	PValue
TTN	-1.21319176812189	6.19732067191356	0.0012521895657653
SYNE1	1.0415385587135	8.75902005089495	0.00183752136335228
DST	-1.68146836337126	9.11915352947853	0.00030382493507524
SYNE2	0.67332638614956	5.35502541453798	0.158665964411512
FSIP2	-1.42904861704763	4.60236620495375	0.333413267729681
HMCN1	-2.10107951428991	5.94330068809311	0.176550113314338
MDN1	-0.413197308581456	6.58294070751273	0.0517810097915611
MACF1	0.0555892914104003	8.31146168143363	0.892370010419479
AHNAK	-2.93818918341388	2.42693932198424	0.110377068417681
UBR4	-0.486138157878438	7.21080791571543	0.131289829960714
RYR2	-1.33239155315702	6.62478362033115	0.0140236731808243
FAT4	0.226339229503769	4.82464145986692	0.878356426988646
RYR1	-1.66001722966829	6.1088461604974	0.0134184609875852
HERC1	0.119142368618438	8.07394262008186	0.726683547390721
BIRC6	-1.03491701695807	7.21725502183227	0.000859036754144255
RYR3	-0.937661416697387	7.76155681066103	0.264686771385782
PCLO	-0.924454405912615	9.17043865104277	0.00607835138000393
HERC2	0.503957712246806	7.14602236470628	0.0642452607924284
KMT2C	-1.23012647347149	7.25752575477389	9.47938378756084e-05
HYDIN	-2.03807965244424	3.67505598844182	0.0757706592627643
LRP1	0.914309420798917	6.46786607038199	0.00138701788899148
LRP2	-1.42368570543801	3.65029118736412	0.40077923554076
LRP1B	-0.270089083045735	7.1130993036719	0.327611525526426
DYNC1H1	-0.266553143639702	8.10010839466304	0.475142022111853
MYCBP2	-0.122959901697246	8.66180741445304	0.694595592317766
SACS	-1.09984648207866	7.8089442426782	0.0130792339654966
PLEC	-0.552591846879496	6.47473703508391	0.236451526967856
FAT3	-0.654252561252936	7.25661578771833	0.163730838667481
DNAH5	-1.12125580569691	4.65437360800037	0.370368195156877
DNAH8	0.654213816057356	3.93140827257904	0.650080802916133
HUWE1	0.960420872277205	7.23984591392917	0.00106673271875499
DNHD1	-0.00464910913206086	5.24229298206593	1
VPS13D	-1.09998811969901	6.55841641614156	0.00244417921414624
