logFC	logCPM	PValue
Ttn	-4.57285201305582	9.19491339630251	3.67563784258855e-13
Syne1	0.749549690659942	8.98713293557392	0.0102883297627786
Dst	-1.74581490305282	9.30115219639856	5.41611498641563e-05
Syne2	0.238724662338728	5.64743258084119	0.406284685720721
Fsip2	-1.44641086821629	4.73271251807451	0.30163292844558
Hmcn1	-0.0110165013135577	4.71482139048882	1
Mdn1	-0.762599971189644	6.91169769399258	0.000262460591282341
Macf1	-0.210742481137927	8.57708968220208	0.489502973673229
Ahnak	-4.92403231390155	3.91959897511152	0.00026669477271337
Ubr4	-0.509338365731273	7.35124756982037	0.0901194497473483
Ryr2	-2.2314718314583	7.42223781911937	0.00014321397396686
Fat4	-0.053202644287462	5.06056066678128	0.961319821929183
Ryr1	-3.90768510949455	8.14312200459899	4.46016759364529e-05
Herc1	0.243893426113067	8.14235472807384	0.473850849342623
Birc6	-1.06338723905578	7.36366352909783	0.000487007586589358
Ryr3	-0.416961714098835	7.57577697364819	0.542951036610591
Pclo	-0.457824848282281	9.01158006387731	0.23142697499256
Herc2	10.8472646072671	6.50109372466675	3.26985405366629e-65
Kmt2c	-1.76213873859455	7.77415300138793	2.72920225376109e-10
Hydin	5.57647843952043	1.77969376189603	0.0109122255430489
Lrp1	-0.372470249282692	7.16531230074307	0.202257019623087
Lrp2	-3.4305844467891	5.29241397441164	0.00143893695357173
Lrp1b	-0.190531091738242	7.19748900654562	0.57631329650707
Dync1h1	-0.1457016230311	8.16512986396643	0.707484251299986
Mycbp2	-0.0479131002791005	8.75259732817084	0.872990002550058
Sacs	-0.274937760728459	7.43303419898843	0.447022920004912
Plec	-1.0246288988301	6.89253721757209	0.0221785639468394
Fat3	-1.11270526406456	7.67651584643117	0.0123131852082915
Dnah5	-1.84975809121216	5.28174589668013	0.177018062071489
Dnah8	0.282623075275118	4.15703535676929	0.803014595158581
Huwe1	0.867563386642905	7.39839306377768	0.00611575465631727
Dnhd1	-0.38635767559193	5.55190735738745	0.204598638627058
Vps13d	-1.30030704150264	6.82054316601855	6.50685751572288e-05
Abca13	-3.04783335237681	4.14418330520972	0.0218063217111963
Dnah10	-1.31987450005485	4.24573390535263	0.0350667143425891
Fat1	-1.02885608498621	5.60693344587581	0.281563252729749
Dync2h1	-1.15125454876791	7.35687804823407	1.89360436363211e-08
Dnah9	-2.12758391486664	5.16460320040798	0.00518642799747067
Hspg2	-2.59228697116798	3.10848222721753	0.102245363461026
Dnah2	2.01465652299377	4.25604454108666	0.015894789625775
Dnah1	0.662662226543886	5.3843277109285	0.155828711807355
Fat2	-4.79438067118886	4.37881620742805	3.97223240012032e-06
Apob	-0.476450355137387	4.0722863876473	0.821851752560054
Prkdc	-0.677504562314097	6.86716214678482	0.0108909234229143
Dnah6	-1.76618631124742	5.01200159066732	0.0732049919374587
Pkhd1l1	-1.307556114795	3.4618513531367	0.326790096481539
Dnah7b	1.63034181336222	5.20272551200647	0.0237291677963887
Trrap	-0.289044963239724	6.56826449928382	0.194352429266619
Dnah3	6.89400221803249	2.76088824861967	1.55524146838495e-05
Vps13b	0.13681677480444	6.92894564599426	0.537769724133379
Stard9	-1.44356496271858	5.87974056447437	0.0277270615851086
Pkd1	9.18465783909138	4.86384696650441	5.55624739391961e-21
Tnxb	-2.92706621952931	4.54335001346083	0.0715780579190287
Fras1	-0.756736915426314	6.77400596074344	0.133080437507365
Csmd3	-0.421078760966181	7.15528708781509	0.14668893467918
Pkhd1	-5.7371563214313	3.58595196021493	0.000361960593982525
Zfhx3	10.9841694053307	6.63269722633675	1.19902843494779e-11
Smg1	10.1770394435965	5.83896228612648	9.87411872403356e-58
Ank2	-0.0675145487615402	8.7803753460442	0.856682613694316
Lyst	-1.11019270040148	6.66504600775208	1.99633125816251e-08
Usp34	-0.915831794474875	7.52396689954139	9.46600731540438e-05
Dmd	-1.24764203775383	7.48714919767616	0.00392872369544973
Akap9	-1.69127005707177	9.29970090487977	2.09703744515069e-11
Zfhx4	0.0483562255812715	7.32271486757034	0.940257921034894
Csmd1	0.17122089739027	6.70887663636654	0.576177632804927
Vps13c	-1.56189568893734	8.17893744811771	3.07906588108805e-05
Wdfy3	0.630315843509275	7.44323286960433	0.0448820509701969
Reln	1.09752302857108	7.51907744667154	0.382314626703374
Alms1	-1.49868788555135	6.15513984087802	7.30031991287579e-07
Svep1	-2.87478754450323	4.47613445176567	0.00997442170638915
Bsn	1.12034522903472	7.49418183945501	0.00226739591853842
Spen	-1.29891164536569	6.32781701079942	1.79659410922235e-12
Csmd2	0.083368606838638	4.90706192978279	0.861190921603626
Cubn	0.295420310503197	3.94617379348348	0.795776297067177
Szt2	-1.15302954997417	6.26427385430871	2.1794292739395e-05
Cmya5	-2.79708685995592	6.25167911149275	0.00441726342170818
Utrn	-1.58083250623856	5.92313717382416	0.0032550836502932
Unc80	-0.0140736860987805	9.23210763859792	0.972199613432159
Aspm	-0.377171129452792	5.97149612226854	0.686070664036657
Celsr3	-1.0979263172856	6.11033791482311	7.15320165156004e-09
Cdh23	-2.01584059377988	3.40383154399483	0.0995223195901379
Muc5b	0.850306884169441	3.61380302155894	0.512394511300392
Sptbn5	-1.0852717168916	5.41329081588463	0.245678171272844
Lama3	-1.51405461795866	5.64102778096297	0.0789355578714673
Trio	-0.0150835433402838	6.33863088613382	0.981187644561496
Srcap	8.91584184943954	4.60388266357623	3.70173347859945e-20
Xirp2	0.0781146164506122	4.27404103642969	0.960654103491178
Fbn2	-1.04496683511936	5.02553182504281	0.150039326277498
Ranbp2	10.4336310952216	6.08961140854711	3.69986316394335e-71
Lama2	1.4406030962449	3.79201142765643	0.334080207982012
Dchs1	-1.87724390087136	5.76142004505062	0.000191138703129476
Frem2	-1.37231736153698	2.81989097755736	0.293162463902313
Rev3l	-1.87022840128093	7.76520559255815	1.01317524962993e-09
Vps13a	-0.692315659998682	7.17710419754006	0.0560725292571542
Vcan	-1.39181933125711	5.12872269207271	0.23859910872676
Dmxl2	0.600443531435714	7.80411486723064	0.019058429910719
Chd7	-1.35403630290101	6.33890206166969	0.000840654013134258
Fbn1	-1.54883375321689	6.16164313886338	7.20951032549766e-05
Fry	-0.0495059753733778	7.06791597188718	0.864036640751457
Col12a1	-5.21993635666246	5.62769736660319	1.1405677515692e-18
Kalrn	0.621828097593845	7.49911388535696	0.356750933317933
Golgb1	-1.12683400186619	7.95570266069704	1.45144027070394e-06
Fryl	0.0838702878665027	6.95047226859717	0.843841626002925
Nbea	-0.378575594597523	7.99880847648624	0.0913729619237319
Wdfy4	-0.163448764428715	2.76443802692413	0.947714712630191
Col6a3	-2.09604378565473	4.43641464976984	0.144359349800749
Htt	-1.03260606119068	6.25224820949851	9.29799075241218e-06
Atm	-1.61363386137978	6.28889582211677	1.09596711684183e-13
