from	to	type
AIP	ELFN2	chap_syn
AIP	GRIA1	chap_syn
AIP	NAP1L4	chap_syn
AIP	NCKAP1L	chap_syn
AIP	NDEL1	chap_syn
AIP	PRNP	chap_syn
ANAPC5	IQGAP1	chap_syn
ANAPC7	ALDH6A1	chap_syn
ANAPC7	APP	chap_syn
ANAPC7	NLGN2	chap_syn
ANAPC7	STK38L	chap_syn
BAG3	ABLIM1	chap_syn
BAG3	APOL2	chap_syn
BAG3	BCR	chap_syn
BAG3	GSK3B	chap_syn
BAG3	NRXN2	chap_syn
BAG4	ABCF3	chap_syn
BAG4	ALDH1A1	chap_syn
BAG4	BAIAP2	chap_syn
BAG4	CD81	chap_syn
BAG4	COX5A	chap_syn
BAG4	DBT	chap_syn
BAG4	EHMT2	chap_syn
BAG4	ENPP6	chap_syn
BAG4	EPB41	chap_syn
BAG4	GABARAPL2	chap_syn
BAG4	GAP43	chap_syn
BAG4	GRM3	chap_syn
BAG4	IDH3B	chap_syn
BAG4	KIF3A	chap_syn
BAG4	LIPE	chap_syn
BAG4	MPP2	chap_syn
BAG4	PAPLN	chap_syn
BAG4	PCLO	chap_syn
BAG4	PRKAR2B	chap_syn
BAG4	RAB6A	chap_syn
BAG4	RABEP1	chap_syn
BAG4	RGS17	chap_syn
BAG4	RPN1	chap_syn
BAG4	RPS13	chap_syn
BAG4	RPS15	chap_syn
BAG4	SGIP1	chap_syn
BAG4	TSC22D4	chap_syn
BBS10	CORO2B	chap_syn
BBS10	TLN1	chap_syn
BBS10	YWHAZ	chap_syn
BBS4	EPHA4	chap_syn
BBS4	GNB2	chap_syn
BBS4	IDH3A	chap_syn
BBS4	NUDCD2	chap_syn
BBS4	PES1	chap_syn
BBS4	SLC25A3	chap_syn
BCS1L	ACTN2	chap_syn
BCS1L	CNTN1	chap_syn
BCS1L	CPNE6	chap_syn
BCS1L	SLC17A6	chap_syn
BCS1L	SV2C	chap_syn
CALR	ACP1	chap_syn
CALR	ARHGAP21	chap_syn
CALR	EPHA4	chap_syn
CALR	FSD1	chap_syn
CALR	GIT2	chap_syn
CALR	GNA12	chap_syn
CALR	IDH3A	chap_syn
CALR	PMVK	chap_syn
CALR	RPL9	chap_syn
CALR	S100B	chap_syn
CALR	SRPRB	chap_syn
CALR	TFAM	chap_syn
CANX	CYBRD1	chap_syn
CANX	SNX4	chap_syn
CANX	UGP2	chap_syn
CCT2	CCDC93	chap_syn
CCT2	CHL1	chap_syn
CCT2	DPM1	chap_syn
CCT2	GAP43	chap_syn
CCT2	MAPK3	chap_syn
CCT2	RAB8A	chap_syn
CCT2	RPL19	chap_syn
CCT2	SHANK2	chap_syn
CCT2	SIRT2	chap_syn
CCT2	SPINK5	chap_syn
CCT2	SRPRB	chap_syn
CCT6A	ALDH16A1	chap_syn
CCT6A	AP2M1	chap_syn
CCT6A	ARHGAP23	chap_syn
CCT6A	CAND2	chap_syn
CCT6A	CASKIN1	chap_syn
CCT6A	LETM1	chap_syn
CCT6A	MAP1B	chap_syn
CCT6A	NPTX1	chap_syn
CCT6A	OSCP1	chap_syn
CCT6A	PDE10A	chap_syn
CCT6A	RAP2C	chap_syn
CCT6A	RPL19	chap_syn
CCT6A	SLC4A4	chap_syn
CCT6A	SYNPO	chap_syn
CCT6A	SYT17	chap_syn
CCT6A	WASF3	chap_syn
CCT7	ABLIM1	chap_syn
CCT7	EFHD2	chap_syn
CCT7	EHD4	chap_syn
CCT7	ENPP6	chap_syn
CCT7	LMTK2	chap_syn
CCT7	PGAM1	chap_syn
CCT7	PPP2R1A	chap_syn
CCT7	SLC6A17	chap_syn
CDC23	LMTK3	chap_syn
CDC37	ABCB8	chap_syn
CDC37	ABLIM3	chap_syn
CDC37	ARHGEF7	chap_syn
CDC37	BRSK1	chap_syn
CDC37	EXOC3	chap_syn
CDC37	LETM1	chap_syn
CDC37	NDUFS3	chap_syn
CDC37	NDUFS6	chap_syn
CDC37	PDCD6IP	chap_syn
CDC37	PRKAR2B	chap_syn
CDC37	SNX9	chap_syn
CDC37	SYCP1	chap_syn
CLPB	DCTN2	chap_syn
CLPB	FABP7	chap_syn
CLPB	GUCY1A2	chap_syn
CLPB	HPCA	chap_syn
CLPB	RAB14	chap_syn
CLPB	RACGAP1	chap_syn
CLPB	RASGRF2	chap_syn
CLPB	REV3L	chap_syn
CLPB	SH3GL3	chap_syn
CLPB	SLC25A11	chap_syn
CLPB	SNCA	chap_syn
CLPB	STRN4	chap_syn
CLPB	YWHAG	chap_syn
CLPX	ARHGAP21	chap_syn
CLPX	COG3	chap_syn
CLPX	GRM1	chap_syn
CLPX	GRM3	chap_syn
CLPX	NCAN	chap_syn
CLPX	RPS13	chap_syn
CLPX	SPINK5	chap_syn
CLPX	SRC	chap_syn
CLPX	TSC22D4	chap_syn
CLPX	VPS16	chap_syn
CNOT10	AHNAK	chap_syn
CNOT10	CYCS	chap_syn
CNOT10	DPP6	chap_syn
CNOT10	NNT	chap_syn
CNOT10	PDK3	chap_syn
CNOT10	PEA15	chap_syn
CNOT10	PFKL	chap_syn
CNOT10	PRR7	chap_syn
CNOT10	PSMD10	chap_syn
CNOT10	SPATA2L	chap_syn
CNOT10	VAPB	chap_syn
CRNKL1	FARSB	chap_syn
CRNKL1	PRR7	chap_syn
CRNKL1	RAB3C	chap_syn
CRNKL1	REPS2	chap_syn
CRNKL1	SPTB	chap_syn
CRNKL1	UBA52	chap_syn
CRNKL1	VPS11	chap_syn
CRYAA	EHMT2	chap_syn
CRYAA	GRM5	chap_syn
CRYAA	KCNA3	chap_syn
CRYAA	LCK	chap_syn
CRYAA	RGS17	chap_syn
CRYAA	SLC18A2	chap_syn
CRYAA	VDAC1	chap_syn
CRYAA	YWHAE	chap_syn
CRYAB	BRSK1	chap_syn
CRYAB	CCDC127	chap_syn
CRYAB	CORO2A	chap_syn
CRYAB	DPYSL5	chap_syn
CRYAB	EHMT2	chap_syn
CRYAB	NSFL1C	chap_syn
CRYAB	PPP2R1A	chap_syn
CTR9	ACACA	chap_syn
CTR9	FRYL	chap_syn
DNAJA1	ACTA1	chap_syn
DNAJA1	COX6B1	chap_syn
DNAJA1	CSPG5	chap_syn
DNAJA1	NRXN2	chap_syn
DNAJA1	PLXNA4	chap_syn
DNAJA1	RACGAP1	chap_syn
DNAJA3	ARFGAP2	chap_syn
DNAJA3	MAPRE1	chap_syn
DNAJA3	S100A13	chap_syn
DNAJA3	VPS39	chap_syn
DNAJA4	CRYM	chap_syn
DNAJA4	DIP2B	chap_syn
DNAJA4	LIPE	chap_syn
DNAJA4	PGK1	chap_syn
DNAJA4	RHOG	chap_syn
DNAJA4	SRC	chap_syn
DNAJA4	STXBP1	chap_syn
DNAJA4	SYNE1	chap_syn
DNAJA4	SYNJ1	chap_syn
DNAJA4	VAMP1	chap_syn
DNAJA4	VPS11	chap_syn
DNAJB11	ATP6V1D	chap_syn
DNAJB11	EPB41	chap_syn
DNAJB11	GIT2	chap_syn
DNAJB11	NEFM	chap_syn
DNAJB11	RPS15	chap_syn
DNAJB11	SLC27A4	chap_syn
DNAJB11	SPTAN1	chap_syn
DNAJB11	TUBA4A	chap_syn
DNAJB12	ACTA2	chap_syn
DNAJB12	BRSK1	chap_syn
DNAJB12	CNTN1	chap_syn
DNAJB12	CSNK1E	chap_syn
DNAJB12	MAPK8IP3	chap_syn
DNAJB12	NDRG1	chap_syn
DNAJB12	PCLO	chap_syn
DNAJB12	PI4KA	chap_syn
DNAJB12	PRR7	chap_syn
DNAJB12	RPN1	chap_syn
DNAJB12	RRBP1	chap_syn
DNAJB12	RTN1	chap_syn
DNAJB12	TEX9	chap_syn
DNAJB12	VDAC1	chap_syn
DNAJB13	ARFGAP3	chap_syn
DNAJB13	BLNK	chap_syn
DNAJB13	BSN	chap_syn
DNAJB13	CAMKK1	chap_syn
DNAJB13	COL5A3	chap_syn
DNAJB13	CTNNA2	chap_syn
DNAJB13	GRM3	chap_syn
DNAJB13	HPCAL1	chap_syn
DNAJB13	PES1	chap_syn
DNAJB13	PLA2G4A	chap_syn
DNAJB13	PSD	chap_syn
DNAJB13	RPS11	chap_syn
DNAJB13	RPS13	chap_syn
DNAJB13	SPINK5	chap_syn
DNAJB13	SYT3	chap_syn
DNAJB13	TFAM	chap_syn
DNAJB13	VTI1A	chap_syn
DNAJB13	WASF1	chap_syn
DNAJB14	ELMO2	chap_syn
DNAJB14	FDPS	chap_syn
DNAJB14	GJA1	chap_syn
DNAJB14	RPL35	chap_syn
DNAJB14	SLC30A3	chap_syn
DNAJB14	UBE2M	chap_syn
DNAJB2	DSG1	chap_syn
DNAJB2	MTCH1	chap_syn
DNAJB2	PFKL	chap_syn
DNAJB2	RPL35	chap_syn
DNAJB2	SLC30A3	chap_syn
DNAJB5	ARHGEF9	chap_syn
DNAJB6	AZI2	chap_syn
DNAJB6	NGEF	chap_syn
DNAJB9	AKR1A1	chap_syn
DNAJB9	ATP6V0A1	chap_syn
DNAJB9	ATP6V1D	chap_syn
DNAJB9	CACNB3	chap_syn
DNAJB9	CAP1	chap_syn
DNAJB9	HCK	chap_syn
DNAJB9	MTCH1	chap_syn
DNAJB9	PABPC1	chap_syn
DNAJB9	PDLIM7	chap_syn
DNAJB9	PFKM	chap_syn
DNAJB9	RPL4	chap_syn
DNAJB9	SRR	chap_syn
DNAJB9	UQCRC1	chap_syn
DNAJC1	CORO2A	chap_syn
DNAJC1	CSNK2A1	chap_syn
DNAJC1	PPP1R9B	chap_syn
DNAJC1	SFXN1	chap_syn
DNAJC11	AGL	chap_syn
DNAJC11	ATP6V1F	chap_syn
DNAJC11	FAM81A	chap_syn
DNAJC11	GABRA1	chap_syn
DNAJC11	GRIK2	chap_syn
DNAJC11	MFN2	chap_syn
DNAJC11	NDUFB8	chap_syn
DNAJC11	PRKG1	chap_syn
DNAJC13	AAK1	chap_syn
DNAJC13	AK3	chap_syn
DNAJC13	ALDH6A1	chap_syn
DNAJC13	CLIP2	chap_syn
DNAJC13	CLIP3	chap_syn
DNAJC13	CMPK1	chap_syn
DNAJC13	EFHD2	chap_syn
DNAJC13	EXOC6	chap_syn
DNAJC13	FARP1	chap_syn
DNAJC13	GRM1	chap_syn
DNAJC13	HADH	chap_syn
DNAJC13	PPP2R1A	chap_syn
DNAJC13	RAB3A	chap_syn
DNAJC13	SLC1A2	chap_syn
DNAJC14	CAMK2A	chap_syn
DNAJC14	CYFIP2	chap_syn
DNAJC14	MYO18A	chap_syn
DNAJC14	REPS2	chap_syn
DNAJC14	RHOA	chap_syn
DNAJC14	RPS16	chap_syn
DNAJC14	XYLT1	chap_syn
DNAJC15	ACOT8	chap_syn
DNAJC15	ANXA11	chap_syn
DNAJC15	GRHPR	chap_syn
DNAJC15	LMNB1	chap_syn
DNAJC15	LYN	chap_syn
DNAJC15	MTCH2	chap_syn
DNAJC15	NLGN2	chap_syn
DNAJC15	NSFL1C	chap_syn
DNAJC15	PRKG2	chap_syn
DNAJC15	RAC2	chap_syn
DNAJC15	RPS12	chap_syn
DNAJC17	ABI1	chap_syn
DNAJC17	APPL2	chap_syn
DNAJC17	ARNT	chap_syn
DNAJC17	ATP6V0D1	chap_syn
DNAJC17	DDAH1	chap_syn
DNAJC17	GNL1	chap_syn
DNAJC17	JUP	chap_syn
DNAJC17	KIF20B	chap_syn
DNAJC17	KPNA1	chap_syn
DNAJC17	MLF1	chap_syn
DNAJC17	MYO6	chap_syn
DNAJC17	PRPS1	chap_syn
DNAJC17	SERTAD4	chap_syn
DNAJC17	SNCA	chap_syn
DNAJC17	SSR1	chap_syn
DNAJC17	STXBP1	chap_syn
DNAJC17	TPI1	chap_syn
DNAJC17	WASF2	chap_syn
DNAJC18	ATP6V0D1	chap_syn
DNAJC18	GRIA1	chap_syn
DNAJC18	MAP2	chap_syn
DNAJC18	NEO1	chap_syn
DNAJC18	OPCML	chap_syn
DNAJC18	PKP4	chap_syn
DNAJC18	POR	chap_syn
DNAJC18	RAB3GAP2	chap_syn
DNAJC18	RABEP1	chap_syn
DNAJC18	ROGDI	chap_syn
DNAJC18	STXBP1	chap_syn
DNAJC18	SYNGR4	chap_syn
DNAJC18	WASF3	chap_syn
DNAJC18	WDR91	chap_syn
DNAJC19	MAP2K2	chap_syn
DNAJC19	PFKP	chap_syn
DNAJC19	ST14	chap_syn
DNAJC2	ACTR3B	chap_syn
DNAJC2	CDH13	chap_syn
DNAJC2	GPC1	chap_syn
DNAJC21	EDARADD	chap_syn
DNAJC21	HDLBP	chap_syn
DNAJC21	ME3	chap_syn
DNAJC21	NDUFB8	chap_syn
DNAJC21	OGDH	chap_syn
DNAJC21	PLCD1	chap_syn
DNAJC21	TMEM65	chap_syn
DNAJC21	UBE2V2	chap_syn
DNAJC21	VPS53	chap_syn
DNAJC22	CHCHD3	chap_syn
DNAJC22	DLG1	chap_syn
DNAJC22	RPL19	chap_syn
DNAJC22	RPL5	chap_syn
DNAJC22	S100A4	chap_syn
DNAJC22	YES1	chap_syn
DNAJC25	ELFN2	chap_syn
DNAJC25	LIPE	chap_syn
DNAJC25	PPP1CC	chap_syn
DNAJC25	PRNP	chap_syn
DNAJC25	PYCR1	chap_syn
DNAJC25	RAB21	chap_syn
DNAJC25	SHANK2	chap_syn
DNAJC25	SLC12A2	chap_syn
DNAJC25	SYCP1	chap_syn
DNAJC25	SYT3	chap_syn
DNAJC3	ABI1	chap_syn
DNAJC3	ARNT	chap_syn
DNAJC3	CAPZA3	chap_syn
DNAJC3	CSE1L	chap_syn
DNAJC3	DIP2B	chap_syn
DNAJC3	DYNLRB2	chap_syn
DNAJC3	JUP	chap_syn
DNAJC3	MARK2	chap_syn
DNAJC3	NCKAP1L	chap_syn
DNAJC3	NCKIPSD	chap_syn
DNAJC3	STXBP1	chap_syn
DNAJC3	WASF2	chap_syn
DNAJC30	CRAT	chap_syn
DNAJC30	ETFDH	chap_syn
DNAJC30	HARS2	chap_syn
DNAJC30	LYNX1	chap_syn
DNAJC30	MAP1B	chap_syn
DNAJC30	PFKP	chap_syn
DNAJC30	RAB37	chap_syn
DNAJC30	RPN2	chap_syn
DNAJC30	SFPQ	chap_syn
DNAJC30	SLC6A11	chap_syn
DNAJC30	SOD1	chap_syn
DNAJC30	STX6	chap_syn
DNAJC4	ALDH3A2	chap_syn
DNAJC4	CKAP4	chap_syn
DNAJC4	LIPE	chap_syn
DNAJC4	PPP1CB	chap_syn
