	cons	rand	q95	cat
DNAJA1	19	15.316	22.0	chap
ELANE	46	60.457	72.0	None
GNB2L1	81	46.303	57.049999999999955	None
GZMB	21	22.0	30.0	None
DNAJB1	0	0.0	0.0	chap
EDC4	0	0.0	0.0	None
SPAG9	96	109.695	126.0	None
UBE3A	50	67.478	81.0	ub
SH3KBP1	0	0.0	0.0	None
HELZ	121	71.795	85.0	None
DNAJB11	73	32.432	42.0	chap
ZAK	0	0.0	0.0	None
EPHA3	27	19.377	27.0	None
NPC2	333	223.618	247.0	None
ECD	228	179.918	200.0	None
SIPA1L1	42	44.894	55.0	None
CCNDBP1	174	166.853	187.0	None
DNAJB4	0	0.0	0.0	chap
HIVEP1	52	40.133	50.0	None
MRC1	0	0.0	0.0	None
MAT1A	178	185.292	206.0	None
MLKL	39	28.068	37.0	None
MICAL1	24	17.91	25.0	None
MED4	59	41.295	51.0	None
MEIOB	71	73.837	87.0	None
MEFV	149	100.051	115.0	None
SLC16A11	97	59.678	72.0	None
MRS2	159	84.482	99.0	None
MIS18A	61	58.899	71.0	None
MOGS	0	0.0	0.0	None
MMP13	27	30.716	40.0	None
OSBPL10	74	63.667	76.04999999999995	None
NXPE2	342	196.01	217.0	None
PADI3	0	0.0	0.0	None
PGAM1	60	46.288	57.0	None
PDRG1	25	16.382	23.0	chap
PPL	123	131.222	150.0	None
PPP4R2	66	58.243	70.0	None
NPEPL1	0	0.0	0.0	None
PPP6R3	62	60.544	73.0	None
BVES	28	41.924	52.0	None
PLAG1	0	0.0	0.0	None
PPP1R1C	0	0.0	0.0	None
PPIL4	46	51.499	63.0	None
PROCA1	0	0.0	0.0	None
PFAS	0	0.0	0.0	None
PTHLH	104	65.033	78.0	None
PSMD3	386	286.331	309.04999999999995	None
RBM42	0	0.0	0.0	None
RAB6A	233	154.076	173.0	None
RANBP10	22	38.412	48.0	None
RAB9B	0	0.0	0.0	None
RAB39A	0	0.0	0.0	None
RAB3GAP2	44	35.868	45.0	None
RAD51C	99	91.884	107.0	None
RAB3D	0	0.0	0.0	None
RAF1	0	0.0	0.0	None
RIMKLB	0	0.0	0.0	None
MRPL42	32	35.726	46.0	None
RPS13	169	123.254	140.0	None
RTKN2	292	189.997	212.0	None
RXRA	72	94.855	111.0	None
S1PR1	46	63.792	76.0	None
SEC14L1	42	41.859	53.0	None
SRD5A1	336	193.184	214.0	None
SLC4A4	122	116.452	132.0	None
SCRN2	54	96.442	112.04999999999995	None
APCS	30	11.524	17.0	None
SCN1A	117	102.487	118.04999999999995	None
SERP1	0	0.0	0.0	None
SBNO1	488	299.467	324.0	None
SEMA3E	115	139.942	159.0	None
SF3A2	46	44.783	55.0	None
SPAG4	33	58.43	70.04999999999995	None
SNCAIP	95	67.56	81.0	None
SNX25	8	20.284	27.0	None
SNAP47	7	11.125	17.0	None
SNX5	196	121.015	138.0	None
SNAPC1	67	59.473	73.0	None
SOCS1	189	160.06	179.04999999999995	ub
SLC9B1	56	31.779	41.0	None
ST3GAL5	0	0.0	0.0	None
SMARCA1	15	26.12	35.0	None
SGK1	16	27.623	36.0	None
SIX6	95	91.402	106.0	None
SHC4	0	0.0	0.0	None
SIRT4	0	0.0	0.0	None
SAMD4A	0	0.0	0.0	None
SHD	0	0.0	0.0	None
SHISA9	32	16.891	24.0	None
SSTR1	129	117.87	135.0	None
SSTR3	0	0.0	0.0	None
STRADB	100	96.845	112.0	None
TEAD2	494	315.325	342.0	None
SERPINA7	40	40.678	51.0	None
TDRD1	75	79.685	94.0	None
TEDDM1	27	17.895	26.0	None
TNN	73	46.884	58.0	None
KCNH1	361	235.833	260.0	None
LRRTM2	33	26.297	35.0	None
MAD2L2	83	59.255	72.0	None
MAPRE3	40	56.835	68.0	None
MILR1	19	21.751	29.0	None
MGME1	118	131.01	149.0	None
MFSD8	0	0.0	0.0	None
MLX	0	0.0	0.0	None
OR5AP2	300	177.724	198.04999999999995	None
