	MP	GABA1	K1	K2	GABA3	GABA2
TTN	83.30923462321793	105.20260606060604	102.98386734693878	103.74856956521738	291.6905777777778	108.25651025641027
SYNE1	318.59396866952807	351.33305740740735	429.2132461538463	475.9283410256411	314.53997727272724	257.27190980392146
DST	1498.908948300282	677.2909482142855	1324.7611892307693	1172.98572051282	869.8152384615386	687.6948783333336
SYNE2	34.18421219512194	33.66372000000001	48.45694999999999	74.02205000000001	12.6504	21.018633333333334
FSIP2	47.48900744186047	9.716700000000001	60.74429523809523	44.019	59.79455714285714	19.843920000000004
HMCN1	139.79575	0.0	120.11305	0.0	350.5054	147.9083285714286
MDN1	152.74237801302942	182.024075	98.42737413793101	110.46423666666665	131.4338117647059	162.42253076923078
MACF1	573.0731631728041	296.8631461538462	436.3922692307694	512.6917282051284	196.42381249999994	257.26907017543857
AHNAK	33.58732999999999	0.0	2.70105	0.0	0.0	3.0581
UBR4	304.9838660458454	205.1895636363636	187.9601777777778	201.91482222222217	233.69988750000005	155.21448909090913
RYR2	111.67723543689324	93.51125588235294	84.43247391304348	122.39134074074073	279.2561	432.94502884615366
FAT4	60.646966666666664	132.45175999999998	0.0	0.0	1.9945	0.0
RYR1	96.66880227670752	55.192560000000014	121.25942545454545	173.80722499999996	150.1518882352941	189.59457499999996
HERC1	350.3471465714287	206.4036958333334	314.7550276923077	400.4387076923076	338.43050833333336	337.65132807017545
BIRC6	234.3289260115608	283.22860000000003	295.2133765625	184.19244736842109	291.8480545454545	241.58046896551724
RYR3	432.95256284074657	0.0	512.5700476190476	511.1175085714285	359.334247826087	241.85901538461542
PCLO	1229.177191322902	914.0399714285712	880.9388861538463	1025.9994512820513	1024.087592	614.202696491228
HERC2	156.17830214285715	142.39198269230766	144.1170859375	164.18491842105269	165.67832499999997	111.35125964912287
KMT2C	300.4172062318842	202.3558	196.02545500000005	219.2291567567568	452.42727499999995	274.5436636363636
HYDIN	20.98388571428573	14.6095	25.799178571428573	28.61831666666667	33.262025	7.3026875
LRP1	41.811737649402374	60.875507500000005	60.00941166666666	94.18153611111111	111.57990454545455	107.60817551020405
LRP2	16.18565	0.0	12.0616	0.0	0.0	96.09306666666667
LRP1B	208.88213742514966	170.63672162162166	162.3410413793105	198.69569166666665	205.31730769230768	199.90489473684212
DYNC1H1	498.8569601706965	378.14229090909095	357.1757923076923	340.63052631578944	283.897392	398.91360833333346
MYCBP2	501.0128339007093	579.9501925925928	620.3539406250001	560.8733105263158	526.9255739130433	437.29033833333335
SACS	577.2709370898718	315.7807770833334	358.8583415384615	481.11040000000014	293.61646521739135	212.74731929824563
PLEC	137.6089782032402	90.63891333333332	101.53920655737704	115.71869714285715	266.2936588235294	91.54730454545455
FAT3	90.59980615384613	46.397242857142864	275.823396923077	208.2503394736842	411.6929916666666	435.7267592592594
DNAH5	43.87352428571428	0.0	48.9198611111111	52.45083333333333	24.478666666666665	67.4270625
DNAH8	4.429375	0.0	2.7998	8.585	70.7414	0.0
HUWE1	136.19903502304138	178.62736808510638	95.7486471698113	108.23378709677424	105.37467826086954	169.26901454545455
DNHD1	45.792267953667924	8.478950000000001	32.16851764705883	56.91558181818181	80.57379999999999	53.11996250000001
VPS13D	176.9578424418605	90.8186574468085	160.5107983606558	157.67334166666672	248.29386842105268	124.53763333333332
ABCA13	32.49147000000001	0.0	0.0	0.0	0.0	2.2311
DNAH10	47.86752525597274	50.62428	70.2613	82.96923076923078	54.89024285714286	38.091319999999996
FAT1	137.24988313043474	317.12400754716975	144.76308571428572	216.62685714285718	11.735	193.7766125
DYNC2H1	136.34529089253186	163.10023125	158.16962222222224	176.02688235294113	284.86264117647056	133.73989310344825
DNAH9	28.733375510204077	0.0	48.31735416666666	32.404399999999995	119.905475	4.62505
HSPG2	1.9432923076923079	0.0	1.6954	2.7643	2.54805	3.9006999999999996
DNAH2	20.429199999999994	0.0	13.167228571428572	14.049528571428572	2.438266666666667	2.5165666666666664
DNAH1	77.20079449999999	61.090744444444454	104.69267647058822	99.53802400000001	106.54195555555557	75.72347999999998
FAT2	18.497032142857144	0.0	12.935400000000001	24.873240000000003	14.20075	15.009975
APOB	67.02385454545455	0.0	0.9125	45.0624	0.0	0.0
PRKDC	117.04153306836234	200.00544375000004	164.91359827586209	171.79281764705883	167.30911818181815	155.51185319148937
DNAH6	39.418428205128215	102.85926666666668	78.19258372093023	127.62819166666668	69.64349	171.355015
PKHD1L1	1.391425	0.0	0.0	0.0	0.0	0.0
DNAH7	60.41388982456139	101.1406	63.682607407407424	117.91290000000001	47.03696	92.21065454545453
TRRAP	61.850411914893584	64.52229310344828	80.23873111111112	65.63086923076924	106.60640000000001	95.95988421052634
DNAH3	14.013105	4.9698	0.0	45.011075000000005	68.01466666666666	21.12637777777778
VPS13B	149.89760033444819	130.68118787878782	156.04108627450975	164.650875862069	319.50486315789476	212.60431086956518
STARD9	89.77567230483265	105.92953333333334	99.52021212121214	82.51004	110.81464444444443	96.20047647058823
PKD1	633.7937522174548	201.17179375	524.4645738461539	594.7157921052632	301.904088	317.22789473684213
TNXB	18.671499999999998	93.72925000000001	7.306699999999999	1.1569	0.0	55.797
FRAS1	675.8667389684807	332.46524999999997	666.7505046874999	630.536445945946	302.6775666666667	604.6726666666666
CSMD3	265.33064503703713	261.24362340425535	259.0051290322582	289.28500789473685	210.59665263157888	205.63697959183668
PKHD1	72.86524615384616	0.0	59.4547	6.3921	2.7151	0.0
ZFHX3	124.05216286982252	48.21315	146.1211741935484	141.39533529411767	110.65592999999998	142.80076363636365
SMG1	137.70013911042952	94.08700344827588	177.21307222222222	171.5703818181819	164.52297500000003	191.9593234042553
ANK2	632.489083664772	332.2807018867924	543.424916923077	544.8673846153846	413.1106679999999	271.50156842105264
LYST	92.90245965583168	222.59513214285715	169.56055208333336	155.87404999999998	368.26876086956526	347.2010070175439
USP34	206.25308820960709	250.83055490196082	222.28162580645153	261.46398974358976	305.155668	374.97739444444466
DMD	328.2256559124086	121.22662058823528	290.857993548387	225.80481111111112	212.23017999999996	109.19182222222223
AKAP9	724.3091767045455	565.8084854545453	954.5500123076922	853.6019973684209	1006.4433959999999	644.5873283333333
ZFHX4	92.21018792372882	94.483475	139.76898400000002	138.50898181818184	255.60933529411764	353.8898354838709
CSMD1	81.68140870370361	96.17784117647058	90.14267291666665	68.90530344827586	149.6821947368421	160.14921224489794
VPS13C	666.3453426950362	594.703101818182	665.8581215384613	708.8723815789473	496.3657230769231	505.8738169491527
WDFY3	164.63156121212134	230.85079736842104	211.03866296296306	167.24005	148.66950909090912	203.52033818181818
RELN	6.323105714285714	3514.176341509434	38.573225	2.135525	197.4964125	268.3843047619048
ALMS1	94.17024464285716	129.94730476190475	110.39417894736845	186.43359	237.58730000000006	123.85329583333333
SVEP1	41.7514909090909	92.75525	45.26266666666667	169.2351	9.7346	0.0
BSN	235.36898614916302	191.79891282051284	153.14248888888892	85.56397647058823	227.52457142857142	194.19826744186045
SPEN	109.28398438030557	135.39465277777776	93.27318055555556	96.71365483870966	176.8681272727273	140.6612512195122
CSMD2	29.548704999999995	48.02323793103447	21.556827272727272	93.10083999999999	4.9323999999999995	70.36404444444445
CUBN	47.01084086956519	20.748966666666668	96.61126666666667	201.30973999999998	0.0	24.64912
SZT2	39.68552820512822	35.80751666666667	52.05697916666666	54.05596999999999	63.80826666666667	48.18884333333334
CMYA5	167.938409201389	54.79755	129.0089588235294	170.3371	59.27324000000001	226.67413000000002
UTRN	244.20737631975848	133.72462903225804	0.0	1.7360999999999998	169.4548	232.40855714285723
UNC80	1016.518905128206	339.92592909090905	911.3189061538463	830.9810999999997	378.6684136363636	484.05502033898307
ASPM	82.86916486486484	83.36188571428572	1.5594	96.244225	1.4699	55.3703
CELSR3	54.39693228511531	67.23821904761904	70.14814871794871	80.51582962962961	114.75628666666668	72.22036399999999
CDH23	19.73290666666667	1.8308	69.7561	95.2733	50.3803	443.25925714285717
MUC5B	7.286475	0.0	0.0	0.0	0.0	0.0
SPTBN5	32.12315	2.2429	0.0	0.0	127.8226	39.36164
LAMA3	37.721976056338036	53.274275	53.876975	68.24787142857143	16.198025	128.2081
TRIO	105.18222341678938	119.79685428571426	109.58063709677424	131.19807027027028	208.36674210526317	115.93975625
SRCAP	38.545334806629846	53.97127142857143	32.49225238095239	58.39278181818183	52.80377142857143	44.43331818181819
XIRP2	27.3023	0.0	672.7565	22.6089	0.0	0.0
FBN2	1.6503	75.8887	1.9207	0.0	103.46161	56.29824666666666
RANBP2	184.06606445783137	191.4784607843137	230.84538032786887	241.41475151515155	206.9642	242.7289792452831
LAMA2	16.80689444444444	0.0	5.346557142857143	5.344453333333334	54.3629	1.8102
DCHS1	44.41490441176466	20.95768181818182	81.33158648648649	54.74550909090908	66.22781666666667	73.774025
FREM2	5.3591299999999995	0.0	24.062966666666668	0.0	0.0	0.0
REV3L	387.74800417266187	343.8992788461537	295.40398064516125	381.6842861111111	514.4118041666667	510.8803355932202
VPS13A	324.65139051724145	199.59365	299.26757460317464	294.4044486486486	296.3165666666667	246.32885399999992
VCAN	64.02947857142858	149.01884583333336	327.16415	345.6142	929.6077	1.8224
DMXL2	196.57351145833317	272.56227	245.54482096774188	206.656	84.17770625000003	199.89827083333327
CHD7	119.69494051282066	0.0	65.01848421052632	86.08604666666663	78.77446	31.259049999999995
FBN1	81.25549827586205	115.7798909090909	109.05676304347826	119.87407272727273	509.5571999999999	433.7672344827586
FRY	242.74404542815648	458.1379452830189	228.00311147540984	240.44200256410264	228.67364499999994	314.66527413793096
COL12A1	27.268494736842104	84.0876	109.00423333333333	136.6382	341.47035	59.91685
KALRN	324.92246564327456	206.27878139534886	655.7064921875	703.2754358974361	301.33985333333334	191.49866857142857
GOLGB1	369.65500349854176	365.28965333333326	277.8852258064516	288.0782405405405	388.260416	393.6191465517241
FRYL	104.45490893470783	165.8294837837838	148.92476551724133	158.22745999999995	179.386835	112.85766153846151
NBEA	267.0018338129502	343.5603102040817	354.84207187500004	221.5403421052631	340.2982727272727	362.1267912280702
WDFY4	1.8568	0.0	0.0	0.0	157.94539999999998	225.1441
COL6A3	3.87444	0.0	0.0	0.0	0.0	0.0
HTT	57.31463523131673	42.48110384615385	56.196027272727285	74.59953	64.49680769230768	46.833963333333344
ATM	156.91831727828756	102.63284999999999	162.59992203389837	164.9951891891892	242.5267458333333	213.4436579999999
DMXL1	192.58459430284879	194.1158763157895	222.70765409836073	187.4010666666667	203.39886500000006	179.43688125000003
CEP350	331.86078629148614	216.79871000000003	306.77133174603176	266.7794972222223	194.26194999999998	229.13047857142857
ASH1L	199.1663146017699	304.6515653061224	215.5869354838709	180.03922972972973	187.9761090909091	326.4767092592593
EP400	109.94358872053863	82.33813846153848	95.04573673469388	137.52554285714282	108.72650714285714	116.0180382352941
MGA	98.56794610244982	110.47758333333333	119.13680625	76.61411666666666	88.47641666666668	74.18813181818182
SPEG	39.17660541310539	75.54004193548387	67.36239268292682	118.74624333333331	88.43795263157894	83.85797804878047
BPTF	249.13427463768107	368.2930734693877	197.54825714285718	228.26594324324327	500.19911199999996	313.64783448275875
CHD9	552.6332132857139	407.5695444444446	629.3404661538464	675.8049243243241	543.124088	675.7439233333332
BRCA2	54.94293448275862	7.1317	0.9125	110.1952	1.4249	51.966
CELSR2	63.938924497991934	68.74732432432434	69.20215624999999	71.10974347826087	69.56847499999999	93.0135393939394
NF1	156.54818091715978	223.4899936170213	206.28177619047622	208.5381736842105	201.25279523809522	247.36250980392165
TRANK1	344.01065316091956	113.55203448275861	206.33432812499996	189.2417916666667	371.2387999999999	240.6879727272727
ZZEF1	72.85935416666666	75.06887857142856	78.98980612244898	59.496711999999995	52.679292307692315	80.23300000000002
DSP	34.598290000000006	0.0	0.0	0.0	0.0	0.0
UBR5	208.38026805349173	230.99693499999995	299.1470532258065	268.7899361111111	331.6725208333333	280.7724846153846
NIPBL	145.2932728682171	134.93220749999995	133.45505166666666	156.87874545454548	282.34484782608695	195.34714599999995
PRRC2C	496.2818567567567	348.9750659999999	369.3944968749999	429.8891897435898	718.1265384615386	540.2414583333333
TNRC18	17.687401812688826	29.60405517241379	28.965295000000005	26.494791999999993	46.98335333333333	28.181186111111106
ITPR1	98.21167458677685	223.96642666666668	174.9883509433962	217.13268064516134	235.68616842105263	216.1906533333334
CENPF	54.863735087719306	181.8604	488.1417	0.0	10.5247	59.3763
TENM4	118.11447080062806	144.33400857142857	160.00973999999997	142.79819705882358	57.01036666666667	75.42879375000001
BOD1L1	324.2423252873561	389.02696481481485	224.18493870967734	331.33799999999997	695.2817695652175	372.0317067796611
TENM1	140.0048358318098	173.22076896551724	190.5134019230769	214.23449259259257	74.64451999999999	217.05113846153847
APC	390.952305873926	348.02186078431373	266.6182206349206	308.13059411764715	561.1955041666666	303.8269769230769
TENM3	89.99267909967851	85.4960230769231	172.66920714285718	111.15008857142861	84.84546923076923	111.81227878787878
LRBA	95.93606244979915	138.34814545454543	51.4503536585366	95.99225652173912	152.79044	125.62082000000002
MEGF8	56.313221485943785	90.59574666666667	66.34750652173913	85.56529032258062	79.89457647058825	99.09062121212119
FLNC	31.42554	5.289666666666666	16.3938	8.3009	3.989	1.2801
TENM2	224.00570131195326	67.06890769230769	185.7377048387096	208.4333878787879	128.32136666666668	69.02046363636364
PIEZO2	6.631057142857143	2.3782	0.0	0.0	18.3978	57.0984
ITPR2	139.75501672240802	100.05203076923077	151.07069821428576	289.4452	94.41516666666666	191.21951249999998
PRUNE2	329.42707418397634	227.76576875	149.6826897959184	209.2256518518519	202.36460000000002	254.7268069767442
ITPR3	8.014624561403506	18.97434	15.169642857142858	22.339066666666668	22.488550000000004	5.963999999999999
CHD6	305.8939994227993	226.81538085106394	228.5836578125	279.51910263157896	406.8421269230769	340.4350491228069
SRRM2	839.1561134560909	242.0148277777777	412.18899538461545	501.6532564102563	795.1855730769229	484.15272999999985
VWF	5.794833333333333	0.0	0.0	0.0	0.0	2.3762
HECTD1	178.19648088012164	271.03919767441863	189.95287924528301	187.7366666666667	224.75350588235295	160.22247173913047
ZNF292	457.7866361428564	380.0634568627451	513.192571875	490.55413846153857	887.0009800000001	678.2977483333331
FLNA	27.60551992481203	36.408775	20.510299999999997	31.408228571428573	46.86948571428571	62.45649583333333
UTP20	54.29439949367088	62.68120833333334	100.11549062499995	46.78811578947368	92.99904444444445	60.20877692307692
USP24	125.64731523297493	107.27155000000002	156.33283673469387	173.77792	180.46205714285708	178.76245348837207
NSD1	107.92625016556285	86.19832333333332	127.53032678571431	115.704128125	140.6028714285714	121.79099000000001
NOTCH1	19.96934	0.0	0.0	0.0	0.0	0.0
ATR	159.81268379254453	147.1163272727273	245.14847543859648	212.87252121212117	167.1994866666667	170.35016585365852
MKI67	1.2547	0.0	0.0	0.0	0.0	0.0
NBEAL1	105.27568547486028	140.73432666666668	123.6568458333333	111.4298076923077	273.09276874999995	222.33149
USP9X	147.09048174342115	257.7066174999999	211.03745166666664	166.45072941176468	247.89802	206.76292444444437
CHD8	93.83785272161745	94.46922999999998	94.70143548387098	149.06917878787877	175.22474545454546	104.82909387755103
ANKRD17	215.8396867540029	145.83475869565214	205.6289587301587	230.36334864864867	240.92655714285715	234.44436181818193
MTOR	110.8104855212355	146.24067575757581	93.46711190476188	103.7166103448276	206.87324117647063	165.66608484848481
FLNB	74.69806129032258	127.35195555555555	93.62034038461535	107.26762083333335	88.35092307692307	63.340803703703706
MAP1A	568.4156190611662	322.52535800000004	279.0424374999999	287.01481081081073	215.55184800000004	245.01800000000003
ZNF462	42.05294418052257	70.42273225806451	40.78293076923077	48.207464516129036	113.5147285714286	71.38388529411766
NOTCH2	135.7897707395499	26.412028571428568	110.32286530612244	141.4243214285714	207.1291	62.44423333333333
ABCA12	56.39647201492535	0.0	39.30775714285714	149.02936666666668	0.0	0.0
JMJD1C	563.4187410000005	278.1979611111111	626.489284375	605.1004153846154	462.11176000000006	367.64885535714274
CREBBP	95.3871105436573	183.06506739130435	84.3374418181818	120.64547187500001	134.47406500000002	108.21641555555553
TLN1	49.992656626506005	36.752755172413785	51.59924634146342	64.04635217391305	38.85465	43.24384137931034
SPTAN1	543.7460042553192	354.4641462962963	374.08695230769234	377.96926578947375	555.527388	391.35485172413786
PCNT	213.23421701183443	132.76763809523808	98.34075624999998	115.37046451612903	219.84963181818182	201.53705510204088
SETD2	169.33098653555254	205.32212187499994	159.54823207547173	201.53039062500002	225.64373	156.2989225
HIVEP1	54.93047643835608	118.20750882352941	65.7627652173913	85.98821176470585	124.09221250000002	98.91280882352942
EPG5	74.06230941883766	110.3350892857143	112.24604878048778	93.44620000000002	99.09371333333334	108.5506139534884
STAB1	22.411099999999998	0.0	0.0	0.0	0.0	0.0
AKAP13	164.40739131736515	151.537925	88.28198076923074	106.39344848484848	141.70534444444445	73.55523333333333
CENPE	50.27255	115.60534285714287	59.7701	151.50940000000003	183.745	152.585725
NBEAL2	34.514508235294116	63.236525	33.88206363636363	38.14571111111111	11.737449999999999	84.9887
FN1	21.836243571428557	11.43359	16.58098787878788	90.55753684210525	89.8123	28.8668
EP300	97.61386567656764	109.47352162162163	110.06693207547168	107.43686764705882	178.0271571428572	140.00663829787237
ATRX	418.27714177396325	702.3807854545456	421.09560000000005	483.26508205128204	598.1863153846153	625.0198066666666
MYO9A	283.0882424068768	125.29597234042552	244.65875737704923	242.91447142857146	326.64125000000007	273.5644618181819
UNC79	169.7005787390028	95.86639629629629	263.1825430769231	227.82527027027032	274.7460375	244.2659929824561
ANKHD1	65.39127640117994	121.24261578947369	76.4769857142857	45.4286	113.90198333333332	179.78938571428574
PDZD2	61.6088619047619	231.3123525	82.73788	98.08920000000002	70.76877142857144	172.5026
CUL9	65.52942092511012	89.03423000000002	64.4157153846154	69.54618749999997	89.20424545454546	87.32049583333334
TTC28	47.19464591194969	70.35110666666668	40.13277333333333	90.13368	58.790057142857144	56.71350000000001
NCOR1	269.6110255747127	349.95871509433965	337.38450461538457	313.6876675675676	374.49881999999997	330.2752433962265
ZFHX2	61.2927348623853	65.46675000000002	56.83158249999999	112.91826799999998	170.5373363636364	143.2986935483871
NCOR2	34.49591268191268	24.712733333333333	37.341602499999986	22.61736	38.96201333333333	55.14648
ZFYVE26	54.43244552529182	92.33189000000002	79.82617272727272	77.04667333333333	141.36007142857142	125.95401250000002
TLN2	93.46584312617706	95.58433181818182	83.95252564102563	129.3004923076923	187.2501882352941	136.78196585365853
CNOT1	76.17960241187387	64.77558333333333	94.7465173076923	106.17705416666666	112.97961999999998	86.11157575757574
SETX	155.06093203125005	188.10003428571426	178.44702982456144	193.09916764705875	204.1402947368421	187.73303137254896
PRPF8	88.59633132530128	147.4574909090909	89.511182	80.74187428571429	133.47506111111113	113.0781777777778
HIVEP2	105.22644417744918	195.1821628571429	164.89248833333335	228.66485161290325	124.96187857142857	218.91121749999996
PKD1L1	34.11018823529411	1.5151	35.7549	12.523466666666664	63.8233	30.78581111111111
TG	19.749925000000005	4.8225	0.0	0.0	0.0	0.0
MAST4	98.84068376068379	359.54667592592585	109.67704090909092	91.06369642857139	220.67010499999998	194.66054285714281
SPTBN1	399.1499771428577	376.9606566037737	348.60407777777783	328.1231868421053	426.3501291666667	297.86767884615386
BAHCC1	27.59093771186441	37.75033333333333	17.759395454545455	45.40391249999999	78.63071000000001	45.58109130434782
NAV2	198.6258326656395	189.68402553191493	176.68086666666673	264.54087222222216	154.71541249999999	174.8077634615384
ACACB	23.540933593749997	13.324233333333332	7.007328571428571	17.10838	1.9945	1.6193
STAB2	34.985640000000004	0.0	16.3145	8.9903	18.7101	11.091299999999999
CACNA1A	187.22594584527195	118.23111607142856	136.80727230769233	167.9603615384615	211.3524954545455	192.4722666666667
LRRK2	70.03912030905082	55.29416666666667	88.7245085714286	111.22532272727271	55.98401764705881	145.37370571428573
TEP1	45.71114620689656	40.551660000000005	97.3477	242.3858	2.3001	97.43248000000003
MAP1B	4067.032079148937	1086.0853036363633	2503.8850999999995	2192.8526358974364	829.3806333333335	1037.675295
ABCA2	46.06469741379312	22.446429411764708	35.950185714285716	39.17641481481482	36.55781875	30.28033142857143
NOTCH3	40.527675	0.0	1.4701	6.0614	0.0	0.0
POLQ	41.90095	52.021649999999994	55.8242	188.8515	24.513525	124.92161666666668
CEP290	330.30557976878634	183.9986085714286	262.4365923076923	412.8525641025641	285.07794	240.14720000000003
ANKRD11	153.73646975036715	111.73376304347826	99.48629137931033	109.90644571428571	228.66472083333338	183.65057735849052
PTPN13	76.56796633416461	111.17200000000003	94.33379333333336	123.22387692307692	117.22683749999999	140.04717894736845
CACNA1G	48.87234482029599	60.4724375	156.46788305084743	185.15682105263164	237.6512727272727	214.53046
SPTBN2	46.38130796178341	30.67562800000001	43.48990740740741	44.056484848484864	22.3183	32.28756666666666
NAV3	137.00251556683583	156.65098055555555	199.314550877193	195.13208974358977	147.617925	107.90543055555557
IGSF10	32.111819999999994	72.73465	0.0	140.9693	0.0	0.0
HELZ2	11.803569999999999	0.0	0.0	37.0972	2.2544	0.0
ARID1A	80.40681502057622	161.9189472222222	138.43826585365855	134.5640548387097	153.49446	172.67432195121953
CACNA1B	135.18287313432833	259.3701714285714	227.65537343749995	288.867872972973	172.89868333333334	124.34638431372548
OTOGL	24.881246153846153	0.8676	48.161925000000004	149.06946666666667	0.0	0.0
ACACA	127.13139599406534	79.04157931034484	112.5066553571429	92.66994705882355	172.51886842105264	96.78436521739131
PCNX	71.0231299227799	167.9248	79.37486499999999	94.16156086956522	180.3599933333333	127.64654594594595
TEX15	88.80721477832509	600.6240666666666	86.89235000000001	79.975775	74.66985	104.3419
IGF2R	39.649486571428604	97.120205	76.90286521739131	21.735605555555555	54.18393	57.81464210526316
PIEZO1	16.711446666666667	33.967666666666666	3.8819	0.0	2.7151	26.7704
MYO18B	35.90540782312926	0.0	49.541941666666666	15.836179999999999	66.6561	12.9688
SPG11	106.9484082514735	85.79643888888889	118.05537619047621	137.00860434782606	272.876325	150.16335357142853
TPR	165.45489147909964	209.71531764705884	151.1368967213115	167.0020935483871	216.84176842105262	137.79043181818184
NBAS	87.52998260000003	203.72256818181816	116.58135000000003	69.55530714285713	142.98745384615387	120.6106444444444
CACNA1E	32.11053888888889	119.03888823529414	147.63790952380953	126.636	227.61322857142858	172.70936530612246
COL6A5	29.666749999999997	0.0	1.9207	0.0	21.0493	0.0
BRWD1	380.7495726618702	306.40933	458.0160158730159	534.5324230769231	553.1753272727275	380.9406039215687
ARID1B	100.42901222222224	98.47566444444445	90.56340576923077	115.89050833333334	425.7317363636363	122.44149444444444
POLE	39.568197857142884	69.39732000000001	22.70435	27.6311	139.64355	9.1473
ROS1	1.7849	0.0	0.0	0.0	0.0	0.0
MYO7A	52.87853333333334	0.0	0.0	0.0	356.1904	0.0
RIF1	144.19575642737908	232.22640500000003	172.4562980392157	159.43305312500004	206.88703333333333	166.6579292682927
CEP250	55.87671731843572	45.470075	44.236726315789475	115.33579333333336	117.252825	81.84839629629631
MED13L	82.62465553435116	106.07369655172413	91.7930463414634	88.86044999999999	106.47538666666668	128.64522249999996
ABCA4	8.232099999999999	64.31073333333335	0.0	1.2146	35.12202	64.16311
ABCA1	94.29868800000003	104.65433333333334	100.61692727272727	96.0324	185.88519999999997	65.89759375
MED12	34.767750643776814	69.04288888888888	38.19475454545454	61.65778181818182	48.282720000000005	41.75316666666666
PTPRZ1	88.83829506172837	0.0	170.51028793103453	179.96111428571427	321.21219545454545	374.59050967741945
DNAJC13	85.34340408560314	85.51800370370368	111.08818600000001	65.6892625	244.50617857142856	109.15544137931032
BDP1	556.9582567954224	295.61437083333334	466.64900937499993	572.0910289473685	553.366044	420.334817241379
AKAP6	372.79650359712224	414.33940624999997	452.87608225806446	504.8409368421052	434.51699130434787	289.39600363636373
SORL1	411.1863437142853	147.7248065217392	243.78358363636363	213.9957225806451	200.53674444444445	162.65479318181818
SON	669.9688216713886	714.0689267857143	680.400821875	802.7858205128205	849.7772884615385	639.5734616666667
CNTRL	61.79431616628178	85.45854545454546	78.44113684210527	91.79462499999998	98.73946249999999	132.81532195121952
PLCE1	37.56460384615384	5.154475	56.03125555555556	3.5534	73.8995875	143.371215
FASN	66.14281830559757	47.452482857142854	33.48507755102041	32.97241111111111	74.17852352941176	56.86329791666666
ASCC3	137.22922558502333	117.99753999999999	203.23377499999992	208.07265882352945	179.692995	240.93282941176463
CAD	49.60685295950155	93.84314615384616	69.49532727272728	44.175083333333326	76.75168888888888	111.35606896551724
HIVEP3	59.548364	73.6440923076923	106.77193023255812	107.54200384615385	92.48815384615385	109.35869999999998
C2CD3	48.48784181818182	63.20127142857142	69.0589611111111	84.069445	77.99886000000001	65.83900500000001
MED13	108.07746294964038	146.08556944444442	114.37438799999998	149.09244999999999	194.61190625	99.21794615384616
SNRNP200	86.22441230769236	110.19361951219514	114.37481428571425	230.8388607142857	156.30093999999997	82.04269117647057
CACNA1H	5.8188	0.0	21.9784	2.4103	0.0	1.894
YLPM1	125.74309252336447	135.40138918918922	138.71282166666668	168.80928285714285	276.10095238095244	263.99876600000005
WNK1	376.6768984263235	171.6014023809523	220.15714062499998	269.9460461538461	305.752625	216.2238593220339
F8	60.54672928176798	59.44088000000001	59.59178571428572	92.545875	48.676199999999994	113.43173333333333
PRRC2B	104.29569104477615	164.9175146341463	113.37907450980393	127.8918212121212	217.4086	204.04210599999996
CACNA1C	189.0064967095851	84.27018333333334	279.47083437500004	367.85192894736844	120.74147142857139	143.88295399999998
UNC13C	402.9915787481806	670.7069962962967	120.85630222222224	195.309	649.5927208333334	416.36720943396233
PTPRQ	14.484766666666667	0.0	0.0	55.2859	0.0	0.0
APC2	59.340438866396724	35.49458823529412	45.14729666666666	50.936566666666664	71.13156	72.69080000000001
