	P	GABA1	Pulv	K2	GABA4	GABA3
TTN	5555.179025439998	1415.1757097560974	1977.015851999999	899.3445803921567	1784.2034434782604	449.11891226415094
SYNE1	466.7186565587726	904.7295283018868	572.9202211678834	722.505997222222	741.2216791666666	817.6962494339629
DST	2415.3922239999997	1555.169813207547	2023.4564682310472	1830.775110958904	1127.4152846153847	1496.7822779850742
SYNE2	93.77094587155963	69.02001111111113	82.6878375	71.3211888888889	91.16533333333332	84.14484310344827
FSIP2	65.1499447368421	40.82934999999999	80.8629076923077	17.5442	48.0758	154.40125333333333
HMCN1	146.1489	0.0	0.0	52.6325	0.0	60.2627
MDN1	316.3565311942963	250.6613846153846	282.6949597609558	286.6724892307692	248.137375	241.41472828282838
MACF1	733.0822313504829	739.0584352941174	838.3597102189782	804.3138972602738	757.3706730769231	577.1211078947371
AHNAK	56.898143749999996	0.0	54.819050000000004	102.18514	32.7161	6.857
UBR4	362.3650968386021	306.8700976190475	385.1390955390333	402.5567222222222	320.5972173913044	275.73474635193134
RYR2	272.3077613240419	196.3516705882353	323.28918075471705	303.92729090909086	814.7621538461536	1259.613350936329
FAT4	86.07944999999998	16.64005	6.882	0.0	126.88895000000001	138.75515454545453
RYR1	139.65478967741936	153.8455761904762	1470.3504632727286	330.7859860465116	1914.9280279999998	1874.5205826923084
HERC1	534.2615367909237	345.9642384615384	551.2879489051096	549.5976602739725	418.99527916666665	361.643018
BIRC6	387.2900003294891	426.6143169811321	475.90932564102536	363.32496944444455	370.68002	396.38548500000013
RYR3	975.7143898550728	28.6364	398.9954819923369	132.71752749999996	557.2051399999999	230.6683828828828
PCLO	1138.1428836012865	702.1627812499997	1453.9514292418776	1537.2424602739727	805.8024400000002	636.6556182926822
HERC2	0.0	0.0	0.0	0.0	0.0	0.0
KMT2C	608.1889056818181	537.770212244898	586.6355902173916	636.2284625	656.7578916666668	645.2119818867931
HYDIN	0.0	0.0	0.0	0.0	0.0	0.0
LRP1	176.70356833333346	249.9638647058823	348.05024945054936	385.18536986301365	286.4443269230769	286.2941203846154
LRP2	87.48431111111111	3.7997	39.294174999999996	106.63032500000001	297.28516666666667	226.84873294117648
LRP1B	418.82605033112577	141.36400000000003	223.4351320158103	200.88294843750006	373.1333478260869	341.7122866666667
DYNC1H1	618.3911192245555	502.21005294117657	647.8659176895306	680.1800430555556	395.6948730769231	373.04841042471037
MYCBP2	942.4462075684386	970.01245	609.0540305147059	731.3434684931505	774.5773653846154	834.9682303370789
SACS	412.88800302013453	365.8658378378378	312.5607050980394	304.83486874999994	360.59205	312.37071057692316
