	LGd	Chrna2	LP	LGv	Chrna3	Chrna1
Ttn	43.12475987654322	38.17923043478261	18.75422	40.74275	17.917185714285715	32.57963076923077
Syne1	533.727238833992	465.5632345238096	422.1787072916665	546.17782	229.17836111111112	369.73400068965515
Dst	357.57468675889277	164.79595674603155	237.64716994818653	115.79033333333335	97.6466111111111	151.03849448275872
Syne2	20.47740588235292	33.965492134831464	30.34661	30.194640000000003	71.12465	40.98498292682927
Fsip2	42.303174999999996	2.0867	0.0	0.0	0.0	0.0
Hmcn1	2.13105	63.03170810810811	20.3476	0.0	19.023600000000002	0.0
Mdn1	56.84452283628786	61.56599471365635	51.19405766871166	70.65469166666666	57.482369696969684	68.84977391304349
Macf1	307.7903087944666	277.1985936507937	223.88173316062168	139.25439999999998	164.7054722222222	320.8851305555556
Ahnak	0.9587761904761904	0.6447	0.6637	0.0	0.0	0.7357
Ubr4	123.8158286561263	100.88766612244903	86.5613947089947	54.10766923076923	71.4092739130435	103.88629856115111
Ryr2	9.941871428571428	31.815125683060103	27.660112820512822	109.88360666666667	19.478515151515154	57.029864661654116
Fat4	8.225867346938777	39.74011554054053	3.68355	10.1333	29.677671428571426	45.825799999999994
Ryr1	4.96546	37.698384545454545	0.0	28.4941	61.64238	25.168873913043477
Herc1	308.6241549407118	166.30112289156617	200.56706507936525	225.06982666666667	119.24845576923077	199.63504714285713
Birc6	105.29593162055339	68.88142601626015	80.07873510638292	51.743021428571424	40.75326818181818	75.44224357142852
Ryr3	175.76858913043486	90.03806120689651	140.53639672131143	23.045000000000005	125.89883200000004	91.01663203125003
Pclo	352.19881541501974	290.6140329365081	373.3480290155442	334.76676666666674	196.50662962962966	200.5927379310345
Herc2	154.23372391304352	120.52887590361449	137.60912538860097	96.29670000000002	93.8124849056604	125.30947801418439
Kmt2c	89.93765537848603	76.5238203539823	66.07440777777781	37.515121428571426	63.87915909090907	68.37936470588234
Hydin	2.724933333333333	0.0	12.92004	0.0	1.883	0.0
Lrp1	82.55513649851639	64.8090352459016	67.50984946808512	138.51124666666666	76.72105208333335	84.00884468085103
Lrp2	1.5341	10.263942857142856	0.0	0.5174	14.72375	0.7787
Lrp1b	112.98635555555562	107.81408209606985	110.27487807486631	68.44954999999997	66.13814807692307	83.07722239999995
Dync1h1	319.73054644268785	141.47710199999995	198.9647849740932	153.3997	109.11767307692304	143.32502986111115
Mycbp2	427.89030118577045	241.21974841269835	321.26378497409314	242.7588733333333	200.6164222222222	254.5176493055558
Sacs	191.83552037586514	77.09392612612606	120.60868563829794	64.33998	63.90519743589743	89.19436587301584
