"CCT/TRiC_system" "HSP70_system" "HSP90_system" "sHSP_system"
2089 3705 2606 470
2068 3543 2675 529
2166 3672 2667 463
2087 3702 2656 555
2081 3664 2715 477
2073 3699 2702 538
2041 3758 2675 508
2137 3781 2695 530
2089 3762 2665 561
2050 3746 2554 475
2145 3755 2598 556
2167 3655 2621 509
2062 3595 2619 525
2067 3707 2615 529
2070 3708 2690 526
2042 3643 2673 525
2069 3629 2667 559
2082 3715 2600 541
2081 3800 2741 566
2085 3612 2651 541
2145 3662 2655 511
2040 3764 2660 519
2179 3752 2741 588
2079 3697 2548 591
2107 3690 2660 579
2091 3723 2663 563
2079 3694 2643 539
2064 3723 2743 564
1999 3706 2688 541
2055 3771 2725 505
2122 3721 2613 521
2119 3685 2626 561
2090 3653 2659 510
2135 3657 2587 559
2101 3645 2669 532
2056 3608 2688 517
2107 3727 2626 552
2111 3720 2582 523
2102 3647 2622 489
2071 3711 2636 532
2091 3652 2627 483
2042 3679 2737 532
2169 3723 2637 534
2073 3807 2597 529
2059 3579 2658 527
2050 3653 2641 483
2030 3773 2730 552
2118 3706 2609 513
2094 3684 2579 534
2028 3765 2619 532
2119 3743 2643 488
2126 3748 2620 525
2088 3620 2657 550
2138 3665 2802 519
2047 3664 2632 542
2105 3732 2594 497
2077 3902 2649 609
2098 3636 2638 544
2155 3642 2665 532
2094 3620 2653 537
2035 3750 2666 518
2062 3754 2647 517
2097 3758 2654 518
2079 3643 2645 553
2105 3634 2554 555
2031 3828 2680 554
2102 3631 2674 536
2099 3661 2731 503
2055 3650 2637 526
2054 3702 2611 538
2097 3668 2657 513
2003 3686 2728 506
2094 3665 2702 560
2039 3731 2610 515
2131 3644 2564 503
1983 3687 2614 505
2061 3749 2666 558
2091 3757 2656 523
2051 3779 2652 504
2066 3663 2603 521
2095 3722 2650 569
2105 3667 2684 520
2094 3708 2675 558
2040 3601 2712 525
2095 3702 2590 511
2111 3757 2659 509
2084 3739 2644 553
2109 3646 2697 513
2115 3728 2624 523
2065 3714 2644 552
2168 3688 2681 556
2106 3651 2659 490
2020 3528 2621 525
2080 3852 2706 533
2131 3636 2693 511
2013 3612 2691 522
2023 3816 2770 509
2198 3716 2615 531
2078 3704 2605 543
2072 3667 2723 554
2143 3809 2630 486
2066 3716 2614 551
2161 3694 2689 574
2097 3713 2651 519
2066 3725 2606 527
2096 3770 2601 531
2143 3705 2703 500
2115 3679 2676 526
2064 3706 2635 524
2136 3759 2697 551
2083 3777 2529 593
2049 3682 2660 489
2112 3748 2590 554
2189 3645 2668 525
2091 3640 2607 489
2114 3785 2699 516
2083 3622 2661 533
2167 3692 2704 555
1977 3721 2673 556
2081 3635 2632 562
2181 3650 2695 524
2158 3807 2696 569
2069 3779 2634 517
2080 3742 2717 513
2078 3793 2667 488
2122 3723 2649 548
2127 3699 2578 540
2059 3687 2641 608
2079 3652 2635 554
2084 3670 2645 555
2138 3833 2677 563
2145 3792 2658 544
2089 3775 2675 518
2129 3704 2685 553
2119 3733 2626 522
2091 3654 2619 578
2143 3693 2688 497
2087 3775 2626 519
2148 3673 2642 495
2058 3693 2700 515
2016 3614 2733 532
2069 3608 2637 522
2072 3773 2690 522
2079 3698 2668 518
2097 3634 2671 546
2108 3745 2677 480
2167 3685 2585 472
2105 3662 2691 493
2137 3634 2630 543
2129 3654 2646 488
2106 3712 2757 533
2095 3684 2762 500
2002 3682 2640 562
2122 3747 2709 523
2059 3618 2624 513
2050 3741 2576 525
2083 3757 2674 528
2130 3750 2667 584
2012 3652 2673 577
2078 3686 2677 575
2105 3636 2626 484
2070 3782 2634 507
2117 3769 2646 510
2050 3766 2666 493
2109 3723 2525 523
2111 3652 2731 537
2107 3634 2682 556
2091 3718 2611 532
2090 3698 2748 561
2081 3707 2652 505
2039 3722 2616 534
2146 3769 2680 574
2044 3753 2615 519
2083 3559 2550 523
2119 3713 2734 546
2003 3661 2550 510
2066 3607 2708 521
2070 3745 2652 516
2118 3797 2704 560
2127 3769 2756 476
2079 3707 2615 540
2007 3728 2672 558
2085 3756 2691 517
2055 3660 2562 593
2050 3618 2687 555
2104 3777 2651 481
2075 3678 2654 603
1990 3654 2665 505
2051 3721 2684 572
2083 3705 2725 538
2085 3606 2694 505
2084 3673 2608 550
2133 3638 2696 510
2107 3756 2692 564
2045 3680 2571 489
2096 3706 2663 494
2086 3699 2666 512
2117 3652 2577 519
2156 3689 2639 489
2001 3733 2702 605
2068 3695 2672 550
2059 3562 2635 545
2102 3745 2606 545
2104 3647 2628 492
2101 3708 2700 529
2111 3590 2648 508
2038 3718 2684 571
2090 3583 2632 509
2113 3690 2729 523
2077 3662 2631 534
2086 3742 2610 483
2173 3759 2651 492
2041 3584 2617 560
2085 3648 2623 554
2142 3645 2473 570
2105 3641 2675 541
2126 3732 2600 547
2093 3661 2655 590
2096 3762 2680 540
2116 3649 2654 570
2053 3532 2616 569
2129 3765 2655 520
2154 3608 2652 541
2092 3620 2615 518
2177 3732 2584 498
2091 3689 2676 520
2047 3705 2651 520
2095 3678 2717 554
2014 3659 2664 511
2061 3779 2700 536
2047 3639 2717 510
2090 3708 2688 584
2054 3687 2768 558
1992 3663 2616 514
2102 3619 2566 454
2084 3696 2644 521
2113 3709 2618 540
2101 3715 2630 508
2091 3730 2679 507
2131 3710 2650 566
2057 3678 2560 507
2130 3811 2647 511
2151 3850 2559 515
2054 3728 2593 539
2164 3746 2551 510
2109 3740 2613 538
2022 3663 2668 582
2207 3660 2736 550
2064 3704 2689 475
2147 3665 2557 516
2132 3602 2702 534
2074 3763 2646 500
2134 3626 2634 512
2096 3651 2644 541
2102 3685 2618 497
2083 3684 2631 529
2095 3720 2655 520
2077 3658 2646 573
2178 3762 2705 502
2003 3739 2587 554
2076 3752 2611 564
2065 3680 2699 499
2078 3780 2645 543
2038 3663 2633 551
2149 3661 2693 468
2098 3711 2667 502
2045 3736 2752 520
2033 3659 2704 538
2009 3788 2582 545
2087 3764 2695 551
2069 3748 2643 464
2042 3634 2650 515
2033 3764 2562 535
2042 3659 2622 529
2021 3750 2622 449
2081 3549 2637 593
2089 3730 2667 494
2123 3707 2622 519
2038 3721 2703 520
2105 3673 2650 533
2066 3724 2588 545
2066 3705 2648 514
2046 3660 2626 557
2079 3623 2687 525
2026 3769 2596 534
2099 3745 2706 568
2166 3680 2684 485
2081 3564 2615 524
2098 3587 2716 544
2109 3672 2531 557
2078 3781 2703 555
2065 3690 2649 478
2082 3668 2710 532
2093 3728 2663 544
2089 3683 2701 516
2025 3733 2592 547
2097 3585 2648 534
2108 3710 2694 538
2155 3679 2609 560
2160 3614 2637 537
2054 3810 2634 531
2129 3777 2619 529
1993 3746 2646 511
2163 3697 2605 554
2054 3784 2703 539
2071 3672 2689 563
2128 3740 2661 519
2229 3681 2612 514
2072 3885 2689 511
2107 3766 2775 473
2023 3657 2585 527
2057 3651 2606 494
2045 3624 2666 517
2080 3680 2677 535
2021 3736 2730 512
2097 3697 2690 541
2091 3692 2571 479
2147 3706 2665 476
2123 3602 2713 522
2030 3698 2664 580
2094 3800 2640 494
2102 3665 2700 537
2066 3751 2639 593
2086 3756 2638 537
2088 3618 2635 511
2124 3696 2696 528
2040 3723 2511 537
2085 3657 2663 553
2099 3685 2655 503
2058 3652 2683 507
2045 3746 2748 491
2066 3614 2692 556
2072 3631 2665 472
2104 3652 2580 543
2043 3614 2634 540
2013 3639 2706 568
2061 3693 2786 554
2069 3715 2610 559
2069 3742 2695 479
2049 3640 2674 526
2145 3667 2628 536
2123 3749 2644 512
2135 3737 2628 543
