"CCT/TRiC_system" "HSP70_system" "HSP90_system" "sHSP_system"
222 410 311 53
240 408 265 58
217 392 305 47
240 374 278 68
235 400 286 65
223 435 288 70
253 400 298 65
233 419 281 69
236 409 298 55
224 380 289 52
231 381 313 64
234 429 283 66
228 369 275 63
243 390 271 45
199 409 282 86
230 399 243 42
238 421 266 66
235 411 280 83
222 436 296 56
221 440 299 57
223 421 288 55
215 427 311 61
238 401 309 67
217 430 272 68
240 410 294 75
206 426 306 72
226 402 300 73
241 401 279 54
234 396 271 63
223 420 295 62
209 433 305 74
264 392 281 61
234 374 289 67
232 401 281 64
234 380 311 64
200 408 310 51
223 417 280 58
215 410 295 43
205 381 282 46
222 410 277 56
242 437 304 42
200 397 267 67
229 429 295 57
205 387 272 53
218 392 271 50
212 402 284 53
215 472 316 46
243 375 285 42
207 415 288 63
231 434 273 65
251 400 259 66
217 398 271 66
211 397 321 62
240 383 318 68
210 386 312 64
225 415 294 40
227 444 299 60
213 391 307 68
241 398 274 48
265 413 286 72
222 406 310 46
215 427 277 61
228 405 312 53
206 427 287 61
234 386 280 56
224 448 320 64
215 391 262 71
234 395 307 45
238 381 277 51
214 400 285 54
229 374 290 50
221 411 274 56
255 413 297 67
245 425 331 61
224 368 274 55
218 361 302 46
238 384 272 59
247 400 315 51
243 385 292 45
230 398 293 43
216 377 285 64
210 406 296 64
220 379 274 75
239 416 290 53
239 420 256 50
224 413 312 77
226 358 320 53
233 404 292 70
242 421 292 75
226 449 285 66
257 396 296 54
229 391 271 47
218 354 285 54
214 389 277 53
243 405 292 66
203 396 279 71
229 446 290 72
272 417 308 74
218 416 277 34
236 400 285 58
229 424 305 49
223 395 317 64
247 391 299 61
220 408 267 40
213 423 323 67
229 426 292 46
225 408 287 51
229 398 309 63
235 431 282 50
247 400 300 50
218 435 290 79
234 435 296 53
241 433 257 68
235 431 297 66
235 389 280 51
236 386 312 57
205 374 305 55
241 390 319 69
205 386 272 71
231 426 311 62
242 362 283 58
217 424 282 62
248 409 270 58
217 427 293 41
234 456 299 55
237 405 276 51
246 394 254 59
231 398 292 64
242 383 309 75
233 421 296 64
215 398 308 55
250 422 301 74
237 419 316 49
209 397 311 53
243 415 289 59
241 389 276 67
228 396 275 47
238 424 282 72
224 431 294 49
200 401 293 81
204 403 290 59
247 393 293 58
249 418 310 58
170 461 291 48
235 400 313 58
239 394 294 54
225 418 311 39
231 391 297 43
271 367 280 63
239 399 305 59
232 394 303 66
232 409 290 72
220 367 279 73
246 447 293 61
216 409 313 56
225 415 267 70
248 413 247 46
224 435 319 54
222 415 281 64
244 425 277 68
212 438 305 64
236 405 281 45
253 421 281 50
212 392 295 58
221 414 298 52
208 397 310 55
229 398 289 61
216 398 288 41
226 410 293 55
236 416 293 64
216 399 263 69
224 427 292 65
216 405 279 62
227 369 238 48
249 379 299 55
226 402 288 47
201 424 271 48
242 401 283 52
228 410 295 70
236 434 304 51
263 407 278 45
235 384 294 51
220 404 303 52
233 415 269 63
220 427 277 66
212 394 264 59
265 380 285 56
237 378 260 41
238 408 321 62
225 392 331 70
238 416 332 62
233 399 272 48
227 442 308 61
224 389 276 67
200 422 268 36
192 431 293 53
245 400 292 59
252 378 276 43
244 412 254 58
202 416 304 64
222 385 252 65
226 394 291 65
261 416 290 69
234 371 271 47
228 412 293 59
249 381 279 50
248 385 293 70
225 385 325 56
234 445 289 64
194 402 297 73
198 441 278 44
214 418 288 74
236 386 299 51
234 391 273 63
250 375 292 71
247 423 301 66
235 408 263 59
219 406 331 60
226 401 286 53
227 398 279 69
225 360 287 64
243 419 286 60
242 373 294 64
247 355 284 61
236 400 270 55
229 405 310 60
205 379 271 65
207 452 290 46
198 461 315 62
214 399 314 69
243 396 301 53
213 400 296 42
221 406 295 73
233 409 276 77
230 370 269 44
214 404 281 59
236 417 302 51
226 423 261 36
223 406 313 57
278 391 278 63
223 412 271 41
256 392 274 65
229 418 271 46
196 376 284 62
248 400 299 48
231 423 287 60
224 417 277 51
250 378 319 65
221 392 294 48
251 401 265 65
236 379 298 48
228 427 280 68
233 406 289 43
211 388 298 64
241 413 289 76
224 411 288 39
260 378 294 58
246 389 309 60
239 450 276 39
217 396 294 71
209 404 289 54
226 405 296 54
247 420 309 53
238 401 307 56
222 413 334 33
234 410 311 56
237 417 311 60
199 408 295 58
223 419 269 59
227 418 271 53
248 419 280 47
232 445 292 58
245 426 294 68
201 401 303 60
231 414 244 45
225 391 299 64
238 426 290 53
229 440 272 59
223 414 303 54
223 428 291 44
222 421 265 64
216 355 285 59
214 389 271 82
231 376 269 36
203 411 261 53
221 418 282 60
241 400 302 53
238 389 282 58
242 373 274 71
217 404 285 70
232 436 256 62
211 379 273 45
232 407 281 51
247 416 301 64
224 372 311 57
214 414 287 65
227 394 253 66
229 414 277 52
218 405 298 69
248 395 303 60
199 438 280 61
225 406 301 71
208 440 290 65
218 399 298 64
231 398 300 64
223 400 302 58
251 442 299 41
248 397 243 64
239 468 296 62
214 446 321 60
225 403 286 47
234 404 314 37
232 400 283 65
210 427 266 56
