"HECT" "RBR" "RING_Complex" "RING_Single"
1087 272 5842 6614
1039 298 5789 6708
1069 279 5854 6651
1068 287 5775 6704
1074 306 5823 6682
1104 263 5669 6673
1105 298 5881 6677
1086 284 5766 6829
1060 277 5764 6859
1107 294 5697 6724
1105 296 5866 6639
1080 282 5842 6735
1066 257 5819 6687
1144 274 5772 6633
1079 274 5791 6592
1050 293 5783 6775
1063 306 5879 6610
1146 273 5860 6633
1092 286 5774 6804
1080 288 5809 6670
1058 288 5755 6707
1089 273 5940 6643
1099 282 5721 6802
1076 287 5772 6797
1092 282 5928 6754
1049 302 5840 6792
1070 263 5753 6761
1035 291 5961 6668
1062 270 5865 6746
1078 302 5807 6754
1072 278 5797 6703
1030 303 5869 6769
1025 288 5693 6705
1054 301 5797 6772
1066 274 5942 6724
1126 276 5762 6734
1096 284 5698 6628
1079 318 5895 6761
1088 315 5701 6681
1096 311 5906 6725
1086 328 5927 6664
1049 287 5692 6734
1064 308 5764 6733
1116 262 5763 6752
1056 288 5786 6765
1095 263 5730 6848
1078 303 5850 6661
1046 300 5733 6688
1150 323 5788 6708
1049 305 5827 6694
1093 283 5921 6642
1132 290 5754 6711
1129 295 5831 6771
1088 289 5919 6680
1079 281 5739 6692
1094 342 5726 6676
1053 287 5687 6630
1099 286 5829 6684
1092 311 5816 6849
1133 283 5794 6653
1021 330 5818 6559
1084 286 5760 6880
1087 310 5850 6732
1048 326 5864 6631
1071 287 5801 6728
1053 268 5692 6804
1111 283 5817 6665
1058 300 5891 6584
1044 288 5801 6681
1096 315 5795 6833
1087 316 5739 6736
1114 304 5772 6671
1038 284 5719 6733
1053 305 5802 6752
1095 289 5857 6646
1075 300 5790 6685
1085 272 5854 6832
1042 302 5717 6662
1090 277 5834 6877
1084 300 5749 6780
1076 294 5834 6754
1045 295 5750 6751
1042 293 5627 6880
1078 277 5774 6691
1082 294 5809 6768
1023 273 5877 6637
1135 297 5765 6659
1052 288 5858 6659
1146 307 5901 6600
1053 282 5783 6789
1067 300 5873 6628
1089 284 5713 6774
1093 299 5741 6699
1142 293 5796 6813
1068 284 5725 6690
1080 287 5723 6638
1022 291 5768 6741
1054 305 5810 6805
1036 295 5822 6790
1027 333 5924 6776
1088 300 5675 6692
1057 310 5853 6875
1078 299 5727 6692
1057 280 5830 6686
1110 303 5784 6617
1082 304 5812 6739
1090 294 5865 6749
1054 258 5816 6765
1068 297 5675 6694
1033 301 5826 6650
1092 308 5874 6651
1059 297 5828 6750
1083 306 5790 6665
1077 311 5837 6586
1103 279 5804 6665
1006 320 5801 6660
1047 294 5813 6781
1074 288 5803 6672
1121 277 5617 6725
1019 289 5840 6840
1091 303 5628 6723
1086 284 5706 6798
1079 298 5751 6823
1097 303 5860 6829
1115 264 5733 6739
1119 288 5869 6750
1090 282 5752 6672
1064 316 5811 6659
1074 271 5825 6759
1100 278 5849 6813
1097 262 5760 6635
1094 297 5713 6658
1048 290 5809 6634
1079 284 5724 6860
1079 304 5661 6789
1088 277 5891 6713
1115 277 5831 6749
1012 275 5758 6802
1065 336 5731 6786
1066 291 5859 6645
1087 306 5762 6562
1054 258 5913 6656
1127 297 5861 6540
1103 277 5774 6777
1025 290 5723 6645
1046 297 5891 6817
1093 295 5705 6755
1067 302 5680 6774
1076 314 5674 6740
1103 278 5796 6683
1136 277 5641 6797
1089 261 5743 6957
1067 315 5917 6746
1003 282 5831 6692
1082 311 5848 6758
1061 268 5794 6756
1021 278 5761 6795
1073 269 5753 6695
1131 303 5794 6725
1104 288 5801 6615
1077 314 5805 6901
1091 300 5757 6671
1050 283 5789 6566
1053 285 5798 6597
1062 294 5700 6850
1075 296 5721 6842
1096 315 5697 6778
1094 281 5758 6590
1046 304 5731 6659
1080 277 5926 6589
1059 260 5657 6697
1099 294 5911 6736
1146 319 5922 6708
1102 298 5647 6760
1052 293 5774 6615
1090 308 5774 6666
