"HECT" "RBR" "RING_Complex" "RING_Single"
106 21 667 714
116 30 646 717
129 34 615 739
117 25 615 728
118 37 617 696
115 31 637 727
118 29 593 796
128 36 620 756
97 26 622 742
111 29 653 745
140 43 598 732
121 31 646 722
118 17 597 722
123 31 598 683
110 26 640 706
104 37 677 722
125 31 635 699
140 28 656 748
132 34 599 768
117 37 625 731
111 26 614 729
129 28 628 731
111 33 678 743
127 33 610 705
120 25 662 723
128 28 631 716
109 33 620 758
116 35 625 741
124 29 622 726
131 28 644 724
109 41 602 753
109 40 617 694
100 30 595 712
110 24 650 732
124 32 616 723
125 31 640 760
126 31 593 699
120 33 653 726
118 29 641 751
128 43 649 733
114 44 654 714
109 22 631 738
111 40 581 718
115 25 580 748
112 24 635 768
120 25 605 722
117 32 677 708
115 29 644 733
111 40 658 755
107 31 613 753
123 32 650 725
118 28 649 719
128 24 641 752
115 34 626 722
125 30 630 713
136 32 607 724
118 31 618 722
118 19 673 699
119 30 618 772
123 25 620 718
100 42 636 677
118 32 668 759
125 35 650 718
115 36 649 714
133 26 619 730
129 27 642 769
119 21 625 738
123 33 618 708
109 34 676 766
129 33 644 758
128 38 651 759
133 37 641 771
121 35 596 694
101 40 627 766
124 33 661 750
119 51 654 709
98 29 681 735
117 42 641 732
114 36 626 752
111 34 706 740
104 23 619 771
121 31 607 743
120 25 587 724
132 26 627 732
102 38 610 733
116 24 644 740
131 25 608 737
104 24 613 750
113 37 675 665
129 32 619 735
118 35 663 690
123 29 636 716
118 32 681 733
125 33 632 740
121 39 617 695
108 27 601 708
108 26 613 710
117 43 643 744
100 35 649 721
107 39 636 712
95 37 616 734
102 39 619 796
110 26 594 780
126 35 635 777
116 23 609 738
112 39 633 770
113 35 599 738
115 31 646 707
111 31 579 757
119 41 692 763
122 29 660 731
118 28 637 763
132 37 608 717
110 39 631 699
116 36 664 733
111 34 607 723
124 28 663 761
107 32 652 761
123 26 666 782
124 24 621 774
145 27 617 745
126 25 610 755
108 32 645 760
129 31 665 714
111 30 597 696
121 35 669 783
134 18 626 710
117 30 691 734
135 20 649 718
121 34 611 719
122 34 643 733
134 39 606 718
109 43 621 751
123 30 635 761
120 34 641 738
121 27 671 767
129 34 656 754
117 29 664 759
105 41 593 751
118 29 697 734
121 28 635 701
121 27 653 695
119 38 660 672
124 31 597 760
124 31 617 734
113 39 657 740
106 37 627 790
120 32 642 719
122 41 610 734
114 32 604 727
142 44 627 769
142 24 627 766
104 31 658 763
104 36 647 725
138 32 630 695
114 29 647 708
106 25 628 708
108 32 594 735
121 27 693 767
117 36 637 722
128 41 654 741
122 40 637 728
128 35 686 732
124 24 607 735
128 34 634 737
104 35 624 711
108 44 672 701
113 26 636 726
120 36 638 683
118 39 641 715
108 28 636 750
113 40 672 712
123 29 644 739
129 41 597 766
95 18 649 756
116 32 620 709
123 30 584 723
113 27 628 748
105 29 610 701
124 32 626 728
103 36 631 718
113 34 632 777
132 33 624 758
100 46 636 719
106 30 615 725
124 24 640 774
103 34 638 746
131 33 642 724
119 29 655 728
106 26 584 705
114 30 631 734
139 31 664 724
116 33 675 754
105 27 593 737
136 49 630 711
130 37 657 762
117 34 645 788
131 26 628 773
110 26 653 736
115 31 678 759
137 36 714 781
111 28 637 719
134 28 637 729
111 24 635 747
115 30 641 769
111 28 672 722
105 26 635 781
123 37 657 725
105 34 631 745
