Gene	degree	class	degree_syn
ABI1	50	All	38
ACLY	41	All	33
ACSL3	38	All	29
AHNAK	67	All	55
AHR	7	Ub	6
AK3	34	All	27
ALCAM	0	All	0
ALDH1L1	79	All	66
ALDH2	37	All	27
ALDH5A1	76	All	60
ALDH6A1	37	All	29
ALDOC	16	All	10
AMPD2	43	All	34
ANK1	10	All	9
ANXA2	29	All	18
APC	53	Ub	47
APOE	48	All	40
ARHGAP23	33	All	27
ARID3B	6	All	1
ARVCF	39	All	32
ASB9	34	Ub	24
ASF1B	52	Chap	43
ASTN1	32	All	27
ASTN2	3	All	2
ATIC	57	All	46
ATP1A3	48	All	41
ATP1B1	37	All	28
ATP1B2	35	All	31
ATP6V0C	81	All	61
ATP6V0D2	3	All	0
ATP6V1E2	1	All	1
B3GAT3	44	All	33
BAG2	1	Chap	0
BIRC3	1	Ub	0
BRCA1	26	Ub	23
C3	11	All	6
CA2	4	All	3
CA4	15	All	8
CACNA1G	5	All	4
CACNA2D2	34	All	23
CACNG2	62	All	49
CALB2	9	All	5
CALR	22	All	18
CANX	18	All	13
CAPN5	6	All	6
CASK	17	All	15
CBLC	42	Ub	37
CCDC127	8	All	5
CCNG2	27	All	21
CCT2	55	Chap	42
CD81	63	All	50
CDC42	29	All	22
CDH13	5	All	4
CDH4	1	All	1
CHCHD6	50	All	38
CKAP4	9	All	6
CLCN2	43	All	34
CLCN3	63	All	46
CLU	46	All	36
CNP	15	All	12
CNTFR	31	All	28
CNTN1	21	All	16
CNTNAP2	60	All	42
CORO1C	13	All	11
CPNE6	42	All	36
CPT1A	32	All	26
CRAT	3	All	1
CRTAC1	0	All	0
CRYAB	18	Chap	17
CSE1L	1	All	1
CSPG5	23	All	16
CSRP1	35	All	27
CST3	52	All	43
CTNNB1	4	All	1
CUL7	3	Ub	2
CYB5R1	37	All	30
DAD1	30	All	19
DCAF12	3	Ub	2
DCX	86	All	63
DDOST	23	All	14
DDR1	49	All	41
DECR1	5	All	4
DNAJB11	2	Chap	2
DNAJB12	45	Chap	34
DNAJB2	17	Chap	14
DNAJC11	1	Chap	1
DNAJC5B	42	Chap	33
DNAJC9	25	Chap	18
DNM3	62	All	48
DOCK10	3	All	2
DOCK9	52	All	38
DPP6	15	All	12
DPYSL4	54	All	45
DPYSL5	51	All	39
DRD2	0	All	0
DSP	40	All	25
DTD1	59	All	41
DTX1	64	Ub	55
DTX3L	37	Ub	25
DUSP10	4	All	1
DYRK2	0	Ub	0
E4F1	1	Ub	0
EDARADD	20	All	13
EFR3B	6	All	6
EHMT2	18	All	12
ENAH	60	All	43
ENDOG	6	All	3
ERBB2IP	45	All	36
ERC1	49	All	36
ERLIN2	47	All	38
ETFB	10	All	9
ETFDH	59	All	43
F2RL1	2	All	1
FAAH	61	All	50
FABP5	35	All	24
FAM107A	39	All	34
FBXL14	36	Ub	28
FBXL22	36	Ub	27
FBXL4	63	Ub	51
FBXL7	24	Ub	21
FBXO6	34	Ub	25
FBXO8	2	Ub	0
FGF2	49	All	42
FLNC	24	All	13
FRYL	36	All	22
FXR2	8	All	5
FXYD2	7	All	5
FXYD6	6	All	4
FYN	46	All	38
GABRA1	33	All	26
GAD1	21	All	18
GFAP	49	All	41
GJA1	61	All	52
GLG1	51	All	34
GLUL	21	All	19
GNA12	20	All	10
GNA13	32	All	25
GNAI1	40	All	29
GNAL	0	All	0
GNAS	59	All	48
GNG12	3	All	1
GPRC5B	50	All	42
GPRIN1	24	All	20
GRIA1	24	All	17
GRIA4	40	All	32
GRID2	1	All	0
GRIK2	37	All	29
GRIN2D	13	All	10
GRIP1	24	All	20
GSTM2	51	All	43
GSTM3	44	All	33
HACD3	73	Chap	57
HAPLN1	3	All	3
