Gene	degree	class	degree_syn
AAK1	226	All	195
AARS	147	All	126
AASDHPPT	133	All	116
ACO2	9	All	7
ACOT7	131	All	115
ACTA1	3	All	2
ACTL6B	246	All	217
ACTN3	0	All	0
ADAM11	196	All	171
ADAM22	196	All	170
ADD2	115	All	100
AGAP2	176	All	146
AHR	44	Ub	42
AIPL1	8	Chap	7
AK5	96	All	85
AKAP5	48	All	38
AKAP9	23	All	21
ALDOA	76	All	64
AMFR	8	Ub	6
ANK1	11	All	10
ANK2	165	All	144
ANK3	247	All	215
ANKRD24	172	All	147
AP2M1	136	All	116
AP3B2	174	All	152
AP3M2	200	All	169
AP3S1	198	All	175
APOOL	146	All	125
APP	160	All	138
AQP1	2	All	2
ARF3	130	All	108
ARL2BP	149	All	130
ASB2	0	Ub	0
ASB9	42	Ub	34
ASPM	0	All	0
ATIC	194	All	169
ATL1	178	All	153
ATL2	123	All	98
ATP12A	1	All	1
ATP1A1	190	All	160
ATP1A3	136	All	118
ATP1B1	124	All	110
ATP2A2	114	All	99
ATP2B2	195	All	166
ATP2B3	107	All	91
ATP4A	0	All	0
ATP5B	147	All	124
ATP5C1	36	All	29
ATP6V0A1	224	All	193
ATP6V0C	224	All	187
ATP6V0D1	139	All	110
ATP6V1A	190	All	157
ATP6V1B2	171	All	142
ATP6V1C1	81	All	66
ATP6V1F	121	All	104
ATP6V1G2	120	All	108
ATP6V1H	218	All	193
ATP8A1	152	All	132
ATP8A2	191	All	167
ATPIF1	223	All	188
ATRX	84	Chap	67
BAIAP2	43	All	33
BBS12	108	Chap	98
BCR	0	All	0
BFAR	133	Ub	120
BMI1	1	Ub	0
BSN	123	All	104
CACNA1A	111	All	98
CACNA1B	177	All	150
CACNA1D	136	All	119
CACNA1H	1	All	0
CACNA1I	65	All	60
CACNB3	17	All	15
CACNG2	198	All	175
CACNG3	52	All	48
CACYBP	148	Chap	126
CADPS	164	All	140
CALM1	169	All	145
CALM2	42	All	38
CAMK2B	263	All	230
CAMKK1	59	All	52
CAMKV	170	All	148
CAP2	210	All	177
CASKIN1	121	All	105
CBLN1	8	All	5
CBR3	0	All	0
CCNF	69	Ub	60
CCT6A	136	Chap	112
CCT8	197	Chap	166
CD59	136	All	115
CDC42	104	All	87
CDH10	36	All	32
CDH2	164	All	146
CDK5	177	All	149
CDK5R1	245	All	211
CDKL2	241	All	209
CHAF1B	39	Chap	32
CHCHD6	163	All	137
CHL1	68	All	59
CHORDC1	139	Chap	118
CLIP3	181	All	153
CLPB	0	Chap	0
CNKSR2	79	All	70
CNTN1	54	All	42
CNTNAP2	119	All	98
CORO1A	86	All	74
CORO2A	159	All	139
COX6B1	52	All	47
COX7A2L	194	All	163
CPLX2	100	All	90
CRAT	4	All	1
CRBN	82	Ub	67
CRMP1	169	All	146
CRYM	1	All	0
CYCS	148	All	127
CYFIP2	252	All	218
DAAM1	140	All	117
DAXX	7	Chap	5
DCLK1	199	All	168
DCTN1	234	All	203
DCX	278	All	239
DES	9	All	7
DET1	0	Ub	0
DGKB	107	All	91
DIRAS1	158	All	138
DLAT	57	All	52
DLG2	136	All	117
DLGAP1	213	All	182
DLGAP2	69	All	59
DNAJA1	147	Chap	126
DNAJB14	76	Chap	65
DNAJB7	0	Chap	0
DNAJC11	3	Chap	3
DNAJC17	130	Chap	111
DNAJC28	2	Chap	1
DNAJC5G	2	Chap	1
DNAJC6	141	Chap	121
DNM1	164	All	138
DNM1L	145	All	126
DOCK3	160	All	134
DPP4	0	All	0
DPYSL2	120	All	105
DPYSL4	161	All	141
DSG1	9	All	7
DTD1	129	All	106
DTL	20	Ub	18
DTX1	202	Ub	179
DUSP4	45	All	41
DYNC1H1	126	All	105
DYNC1I1	207	All	171
DYNC1I2	9	All	7
DYNLL1	60	All	50
DYNLRB2	1	All	1
EEF1A1	16	All	13
EEF1A2	223	All	189
EIF3C	4	All	2
EIF4A2	72	All	60
ELFN2	151	All	131
ENO1	16	All	16
EPB41	1	All	1
EPB41L1	215	All	189
ERC2	40	All	34
F12	7	Ub	6
FABP3	148	All	132
FAM49B	119	All	105
FAM81A	30	All	30
FBXL14	66	Ub	54
FBXL18	177	Ub	151
FBXL2	203	Ub	180
FBXO11	184	Ub	161
FBXO40	7	Ub	7
FBXO41	209	All	178
FBXO45	105	Ub	87
FBXO6	54	Ub	45
