	Inh_L6_LAMP5_C1QL2	Exc_L3_5_LINC00507_SLN	Inh_L1_SST_CXCL14	Inh_L1_2_VIP_PPAPDC1A	Exc_L6_FEZF2_CPZ	Exc_L4_5_RORB_HNRNPA1P46	Exc_L6_THEMIS_C6orf48	Inh_L3_5_SST_MAFB	Exc_L4_5_RORB_LCN15	Inh_L1_VIP_TNFAIP8L3	Exc_L5_6_FEZF2_CYP26B1	Exc_L6_THEMIS_EGR3	Inh_L4_6_SST_MTHFD2P6	Exc_L5_6_RORB_LINC00320	Oligo_L4_6_MOBP_COL18A1	Inh_L1_VIP_PCDH20	K1	Inh_L1_2_PAX6_SCGN	Exc_L6_FEZF2_FAM95C	Inh_L5_6_SST_TH	Exc_L4_5_RORB_RPL31P31	Exc_L6_FEZF2_TBCC	Astro_L1_FGFR3_FOS	Exc_L4_5_RORB_AIM2	Inh_L3_4_PVALB_HOMER3	Exc_L5_6_THEMIS_GPR21	VLMC_L1_3_CYP1B1	Exc_L2_4_RORB_GRIK1	Exc_L5_6_THEMIS_IL7R	Inh_L3_VIP_CBLN1	Exc_L4_6_RORB_HPCA	Exc_L4_RORB_CACNG5	Exc_L3_4_RORB_FOLH1B	Inh_L1_6_PVALB_SCUBE3	Inh_L5_6_LAMP5_SFTA3	Inh_L1_6_VIP_RCN1	Exc_L5_6_FEZF2_RSAD2	Exc_L3_5_THEMIS_UBE2F	Exc_L2_3_LINC00507_RPL9P17	Exc_L3_5_FEZF2_ONECUT1	Astro_L1_6_FGFR3_ETNPPL	MP	Inh_L5_PVALB_CNTNAP3P2	Exc_L6_FEZF2_VWA2	Inh_L1_6_LAMP5_CA13	Inh_L1_3_VIP_SSTR1	Inh_L5_6_SST_ISOC1	Exc_L3_THEMIS_PLA2G7	Inh_L1_3_VIP_ZNF322P1	Inh_L2_4_VIP_LGI2	Exc_L5_6_THEMIS_THTPA	Inh_L1_4_LAMP5_DUSP4	Exc_L6_THEMIS_LINC00343	GABA3	Inh_L1_6_VIP_RGS16	Exc_L6_FEZF2_P4HA3	Inh_L1_4_VIP_CHRNA2	Inh_L1_3_PAX6_NABP1	Inh_L1_3_VIP_CCDC184	Inh_L1_VIP_SOX11	Exc_L3_LINC00507_CTXN3	Exc_L3_5_THEMIS_ELOF1	Inh_L6_LHX6_GLP1R	Inh_L1_LAMP5_GGT8P	GABA2	Inh_L5_6_SST_KLHL14	Oligo_L4_6_OPALIN	Exc_L5_FEZF2_SCN7A	Inh_L5_6_PVALB_STON2	Exc_L4_RORB_BHLHE22	Inh_L1_2_VIP_RPL41P3	Exc_L5_6_THEMIS_TMEM233	Inh_L2_4_PVALB_C8orf4	Exc_L6_FEZF2_ETV4	K2	Inh_L1_LAMP5_NDNF	Exc_L5_6_FEZF2_MYBPHL	Inh_L2_5_VIP_TOX2	Exc_L6_FEZF2_SLITRK6	Inh_L4_5_PVALB_TRIM67	Exc_L4_5_RORB_LINC01474	Exc_L3_5_RORB_HSPB3	Inh_L6_SST_NPY	Inh_L1_2_PVALB_TAC1	Exc_L5_6_FEZF2_CABP7	Inh_L2_4_VIP_DSEL	Exc_L3_4_RORB_RPS3P6	Exc_L5_RORB_SNHG7	Inh_L1_3_VIP_GGH	Micro_L1_6_C1QC	Inh_L1_PAX6_GRIP2	Inh_L1_6_VIP_PENK	Exc_L3_5_RORB_CD24	Exc_L3_4_RORB_PRSS12	Inh_L2_4_SST_AHR	Exc_L3_RORB_CARTPT	Exc_L3_4_RORB_SEMA6D	Astro	Inh_L1_3_PVALB_WFDC2	Astro_L1_FGFR3_MT1G	Micro	Peri_L1_6_MUSTN1	Exc_L4_5_RORB_ASCL1	Exc_L5_6_FEZF2_ANKRD20A1	Inh_L2_6_VIP_VIP	Inh_L3_6_PVALB_MFI2	Inh_L1_VIP_PRSS8	Exc_L4_RORB_CCDC168	Inh_L1_ADARB2_ADAM33	OPC	OPC_L1_6_MYT1	Exc_L6_FEZF2_TBC1D26	Exc_L3_LINC00507_PSRC1	Exc_L5_FEZF2_MORN2	Inh_L3_6_VIP_KCTD13	Endo_L2_5_CLDN5	Inh_L1_3_VIP_ACHE	Oligo	Inh_L5_6_PVALB_FAM150B	Exc_L3_5_FEZF2_DCN	Inh_L1_PAX6_CA4	Exc_L6_FEZF2_KRT17	Exc_L5_RORB_LINC01202	Inh_L6_LAMP5_ANKRD20A11P	Exc_L3_5_RORB_CMAHP	Inh_L1_5_VIP_KCNJ2	Exc_L5_FEZF2_DYRK2	Inh_L1_ADARB2_DISP2	GABA1	Exc_L5_6_THEMIS_OR1J1
CACNA1A	51.2872	82.4511	51.4458	34.8654	86.7403	89.3366	40.0863	73.7087	108.4677	32.1629	42.7755	51.9407	91.0575	92.2478	11.1888	38.101	113.1592	30.552	89.6655	60.6647	85.0236	51.5707	1.1531	72.8641	71.6831	19.4326	0.5213	65.7419	18.4841	75.2262	57.4479	93.2389	95.5056	75.8493	103.1569	44.2677	56.7368	64.982	73.4438	77.0713	29.1923	163.1206	75.1071	121.3758	78.04	39.7678	48.0406	60.8679	60.0985	35.2824	9.3495	77.7291	59.042	129.8735	35.2713	160.2821	44.6389	24.5975	58.9644	38.1228	54.8197	52.3469	97.2318	78.3076	131.6083	55.3367	18.1029	65.2973	84.6205	77.2553	31.2399	57.5883	78.3918	115.4207	133.00799999999998	57.8222	67.2842	57.31	67.334	78.2155	72.5844	85.1415	95.6403	83.2533	162.6591	65.4981	69.7319	76.0283	49.927	33.7849	33.7244	61.019	78.0563	82.2551	88.7824	89.6341	111.3475	64.9648	64.1892	0.34	37.2083	63.0719	90.8793	79.1063	44.7179	64.6025	28.3319	77.1333	60.7749	75.4208	59.6029	89.4807	63.6639	49.9135	58.8845	0.2042	50.9449	47.9461	61.0266	38.5388	25.5386	63.8037	59.8926	30.0152	82.9031	47.9572	72.4635	71.1507	76.8456	63.2023
CACNA1B	124.2592	121.3101	103.0506	109.4831	107.2426	80.581	182.5696	97.1689	108.8509	137.8546	99.5177	92.2727	100.9232	159.029	26.8955	130.7716	187.6862	152.7498	114.9013	137.938	83.1778	117.016	4.5198	90.9377	92.1308	142.3062	0.0	102.8533	145.7418	82.95200000000001	81.4239	85.126	149.8182	114.1329	130.5764	123.9724	89.7444	116.6456	116.2801	124.7847	66.5266	116.898	90.4003	111.0359	128.7907	113.6752	106.2544	115.82	71.3886	92.4141	104.7671	112.74700000000001	148.233	106.9736	114.3236	159.3828	98.2961	231.6698	129.168	119.4193	117.7022	114.7798	79.9019	181.7155	82.3197	119.1461	25.622	129.4648	117.2358	92.4548	103.4865	108.5202	87.7863	112.8233	221.9603	164.4355	83.47	117.9196	104.9374	86.6741	98.2074	108.2122	130.3788	86.9454	129.6525	120.45700000000001	87.7892	137.0925	97.6421	22.5374	186.7002	184.6381	113.8908	101.1865	96.2273	150.335	111.9042	74.3375	83.3695	65.014	0.9306	66.0991	93.1489	119.9601	110.9722	83.0844	131.5429	83.9468	110.1133	101.0188	19.4652	141.0546	126.4594	114.0553	148.7712	0.0	86.3795	63.9683	74.4043	105.0332	158.4283	105.4266	118.8272	164.8142	92.8605	125.6251	85.611	135.4974	169.627	104.4326
CACNA1C	36.6615	75.7162	83.4129	114.772	92.7099	98.9286	109.2568	80.604	87.8478	116.7498	37.9144	70.6812	88.0973	99.2707	21.6388	60.131	230.0534	114.9557	77.3116	85.4336	85.2879	74.7533	103.5264	63.5101	68.2217	85.5351	0.0	73.6867	98.8456	115.7516	60.9644	76.0212	103.6875	57.9551	50.4279	91.01899999999999	79.0247	79.8495	84.3545	79.4337	74.8871	163.5249	82.8685	102.5299	64.5876	79.484	55.4475	75.653	72.2094	70.1921	106.2274	53.1801	79.0748	73.5013	69.5149	129.0816	72.1046	73.3322	66.0307	64.0383	56.3347	69.1498	86.1728	91.6455	96.6332	67.878	42.5553	80.491	83.4237	68.1664	69.1401	90.9517	60.3574	90.0588	294.1937	81.8946	58.9576	71.5835	93.3269	79.869	74.1221	93.51299999999999	95.0651	89.6179	110.9018	79.8302	82.8177	100.3746	97.5452	8.3993	130.8552	55.0675	100.1095	91.16799999999999	77.9499	108.4864	93.9391	68.8461	82.9645	24.4394	52.3765	42.3214	76.9386	86.147	98.015	30.0265	76.9854	71.9791	79.5525	55.3	56.9687	94.0594	77.9897	71.6009	98.2047	3.1069	87.7747	55.949	56.7125	70.8047	60.8967	65.2054	73.3952	25.1562	78.0503	100.9348	64.0344	190.3706	53.7764	86.6805
CACNA1D	32.5539	81.0243	66.3557	79.2054	111.2318	59.742	79.8503	69.523	76.4004	141.5559	60.032	55.8324	64.3105	102.60799999999999	39.9928	87.3854	58.4561	71.7587	85.6737	53.6556	68.5202	83.2284	45.7889	49.2803	64.9045	88.1432	0.8022	65.5502	81.1166	80.2156	63.9452	60.3875	108.3362	104.8849	53.192	81.9035	36.8101	70.0886	76.8759	94.5248	43.8111	94.9259	74.3723	90.8987	70.2778	112.8745	79.1092	85.7772	77.3341	110.1409	121.6802	68.8389	80.513	191.1023	72.7208	82.1068	108.44	178.4479	94.2125	119.0201	72.7086	57.0245	78.8507	96.9109	194.8339	49.3984	45.9136	103.2097	81.9242	63.5398	81.2789	84.5746	79.2654	68.8373	90.7866	70.2556	62.0111	78.3537	68.0225	82.8959	64.6085	79.8703	58.9784	86.3769	96.4252	105.2225	79.0679	80.6019	74.7384	101.9653	93.6736	85.8763	92.5968	68.7623	75.6646	93.956	72.0257	114.3193	67.8791	58.5617	77.058	0.0	48.9834	96.181	81.7809	76.774	76.313	54.0481	84.5235	52.9561	71.8367	70.9853	75.9937	70.868	88.6455	0.5581	91.3551	30.7985	64.2163	87.321	56.1338	63.7662	64.8233	138.2136	58.5661	98.8191	75.4763	77.1823	76.3751	107.1092
CACNA1G	48.6384	33.6023	61.1139	54.9611	32.2871	59.7211	89.1275	69.7429	41.4614	37.4135	21.8126	47.0189	67.4724	63.8218	57.3546	40.1626	126.6951	71.4819	34.4482	29.3542	41.442	28.1206	0.0	63.2394	53.3112	73.1195	0.0	46.6665	60.9387	85.6415	44.3541	49.9834	39.3917	51.3266	53.4385	69.5053	57.2046	22.6312	53.5793	78.8858	48.1317	42.0688	48.51	27.4383	50.7342	78.5749	45.5521	26.9329	63.4582	92.0223	73.956	52.4601	70.7298	141.6685	28.4645	0.0	22.618000000000002	54.0637	74.0255	52.6954	42.1122	35.0215	96.2093	153.2111	143.2068	50.4685	18.55	26.0729	42.7573	43.6869	67.8548	70.4181	48.8107	35.6332	146.2352	50.5372	46.9343	59.9588	31.5248	99.2711	60.3171	48.6005	23.2723	122.8663	0.0	68.4808	22.8447	41.1148	31.7771	12.562999999999999	54.8853	89.3404	52.9796	48.8936	60.1651	57.7761	72.6924	34.4078	59.8659	0.3136	68.555	0.0	38.1202	20.4961	58.9278	42.4897	50.8303	42.0267	67.472	135.8739	48.223	82.2396	53.5959	33.6244	77.6299	0.0	61.3292	21.8175	2.2014	77.9079	66.1143	51.1389	54.4219	77.5107	77.8144	82.5853	41.6044	105.5098	37.0366	41.8513
CACNA1H	0.0	16.4052	15.4069	0.0	21.7801	6.9844	30.1082	20.0726	19.9034	31.3116	16.7186	3.4359	28.7317	23.0984	17.2386	89.5289	19.0277	22.5142	28.7337	11.1319	21.0723	8.5831	0.0	0.0	0.0	20.1698	0.0	18.7216	0.0	0.0	0.0	11.2218	19.7145	0.0	15.8035	21.9706	3.7916	22.967	22.2437	45.2655	48.7566	5.1849	0.88	31.8297	43.1245	11.9814	42.6796	22.7719	8.8869	180.8214	21.9145	24.734	23.2714	0.0	17.5277	52.2432	28.0891	27.5769	0.0	3.7662	26.779	14.0977	1.87	0.0	1.3375	2.6591	4.5734	26.694000000000003	96.8004	1.0905	2.1013	32.1405	14.8765	0.0	1.9272	36.1704	25.7466	72.2806	20.0841	0.0	10.5244	30.491999999999997	0.0	0.0	18.0127	0.0	0.0	17.1964	47.6868	0.5424	0.0	0.0	39.4758	10.8728	20.6906	15.6748	29.4325	19.4772	0.0	37.6253	0.0	0.0	0.0	22.9108	41.5775	0.0	14.048	0.0	4.6201	0.0	0.3266	6.1227	20.9958	33.662	36.0495	0.0	0.0	0.0	0.0	15.9904	75.059	19.0779	13.5365	37.5919	23.9285	1.2102	17.3924	0.8084	0.0	0.0
CACNA1I	27.2159	47.6697	64.637	82.72200000000001	58.6885	59.261	44.4391	75.4563	79.6121	38.3732	71.8284	56.4787	61.1596	66.8249	3.4688	50.5583	26.5273	19.6886	72.8677	37.0817	71.7374	31.9766	0.0	7.7824	64.633	44.4042	0.0	54.9558	46.5374	54.7687	52.8251	33.7717	52.2165	21.8741	83.5499	67.7744	16.9632	47.1177	62.815	62.5817	4.7139999999999995	26.8278	36.7892	76.4637	70.8742	12.3215	25.5855	44.7636	17.4124	79.258	66.2871	65.596	62.4317	66.778	59.0926	39.6667	44.9031	36.0742	0.0	3.4646	53.2213	40.364000000000004	25.0729	88.5873	43.821999999999996	18.2057	26.0337	67.5474	51.6221	59.5323	11.1489	53.1649	52.0552	61.7807	22.9823	62.4118	51.5224	66.4764	34.2474	79.0874	60.6106	62.2065	58.0218	101.6477	20.2358	86.40700000000001	70.1364	63.0087	36.3244	3.9184	72.6539	71.763	56.5019	59.2624	60.8675	64.9663	85.2354	1.4194	40.0978	0.3026	0.0	0.1766	65.4969	50.5313	53.0062	49.5309	101.7329	71.5144	35.8522	0.0	5.1596	50.623000000000005	56.0005	52.9355	62.6027	0.0	0.5194	7.2808	45.9717	22.2359	65.5003	53.1693	62.1922	17.7257	74.8687	90.163	76.6282	48.4595	70.7549	11.5409
CACNA1S	0.7797	98.7738	1.021	0.0	79.0357	46.787	0.0	1.2112	32.0068	0.0	0.0	67.8406	0.0	0.0	0.0	0.0	0.0	85.3952	64.2753	0.0	30.8168	54.8788	0.0	0.0	0.0	22.1485	0.0	10.2215	0.0	0.0	1.3412	0.0	1.0178	0.0	0.0	0.5538	0.0	30.534000000000002	44.9026	0.0	22.6344	1.4148	0.0	0.0	0.0	1.3843	0.0	0.0	2.2134	0.0	0.0	0.0	46.9762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9057	0.0	0.0	0.0	0.0	0.2991	1.3349	0.0	0.5858	0.0	75.8048	1.5871	10.3631	0.0	0.0	0.0	12.046	21.5957	0.0	40.4358	63.2435	0.0	0.0	0.0	0.0	0.0	32.9343	0.0	0.0	0.0	0.0	68.3498	18.7296	0.0	60.7126	31.0513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0674	0.0	59.266999999999996	0.0	0.0	0.0	0.7451	0.3112	0.0	0.0	1.2667	21.0472	0.0	0.0	96.76799999999999	0.6939	0.0	1.6226	0.0	54.2169
CLCN2	63.7108	70.5331	60.7163	70.4685	28.5626	42.1901	46.6189	65.0237	42.6723	31.8992	15.1223	47.4319	71.4122	46.1822	71.5808	60.5328	41.2543	58.5055	43.1065	55.1859	51.8549	24.6165	47.0996	32.1729	76.4756	36.1318	0.0	42.2754	41.8695	65.9329	54.2751	62.4486	34.7821	63.8357	69.5019	2.7392	104.7549	35.7783	51.2055	44.3364	86.6503	51.082	70.2839	45.8964	47.6131	59.2764	39.3279	48.6221	61.568000000000005	56.5762	69.6757	57.3379	37.5129	67.7467	101.6024	16.4927	80.3347	28.6393	12.569	23.0863	51.5084	35.2341	56.876999999999995	46.0782	52.7479	98.9396	84.3204	43.9078	57.881	51.1783	45.4198	59.6275	70.5176	47.9439	50.4639	41.3869	67.01100000000001	64.8164	37.5143	74.8665	58.9103	43.1496	9.2479	28.7661	0.0	106.3218	49.0994	25.519000000000002	59.1456	101.0683	51.4228	25.0921	22.8091	47.0145	125.1021	37.902	57.823	82.9406	67.3502	102.8823	0.2322	0.0	35.3358	59.9875	56.8482	91.9527	67.0119	77.1772	87.598	15.5518	75.3702	5.004	35.9313	23.8184	32.5162	0.0	56.603	52.9529	60.2788	39.0439	70.2905	37.3637	52.3967	0.0	65.7401	100.2916	82.3029	165.8528	24.2447	61.0863
DRD2	95.8134	28.0604	90.1032	0.0	23.0976	21.4297	72.4284	124.7053	43.8326	27.773000000000003	0.0	18.0871	18.7164	10.2512	0.0	11.8598	45.8737	0.0	54.0025	65.7614	36.7269	2.0295	0.0	0.0	0.0	47.7908	0.0	50.4994	13.9848	0.3837	1.4567	8.1992	31.2299	0.0	14.6977	120.954	0.0	17.0423	39.0001	14.8626	72.3079	25.054000000000002	9.6408	17.0005	16.0325	84.5565	86.1645	31.2696	42.2483	17.8827	13.2617	69.2553	34.7807	4.899	28.2961	6.7571	32.6875	0.4453	0.0	43.6427	22.2517	41.8078	75.9159	0.0	98.6143	0.0	60.2281	30.85	19.2855	10.9328	45.471000000000004	27.5546	34.0307	90.0171	26.353	1.7917	32.9991	57.2032	15.8497	0.0	44.6629	25.8122	88.6664	0.0	0.0	2.2955	0.0	26.6627	16.5157	1.0343	0.0	8.4064	8.5987	29.3585	0.0	22.0534	19.6394	13.8449	0.0	11.4624	0.0	143.4802	0.0	51.2719	49.7405	0.0	0.0	13.9476	60.0649	9.043	84.4258	13.050999999999998	26.3263	43.5903	40.1511	0.0	36.6981	32.7323	37.7222	32.4985	0.0	23.3652	47.3673	0.0	30.2997	38.4344	0.0	0.0	0.0	0.0
