	Inh_L6_LAMP5_C1QL2	Exc_L3_5_LINC00507_SLN	Inh_L1_SST_CXCL14	Inh_L1_2_VIP_PPAPDC1A	Exc_L6_FEZF2_CPZ	Exc_L4_5_RORB_HNRNPA1P46	Exc_L6_THEMIS_C6orf48	Inh_L3_5_SST_MAFB	Exc_L4_5_RORB_LCN15	Inh_L1_VIP_TNFAIP8L3	Exc_L5_6_FEZF2_CYP26B1	Exc_L6_THEMIS_EGR3	Inh_L4_6_SST_MTHFD2P6	Exc_L5_6_RORB_LINC00320	Oligo_L4_6_MOBP_COL18A1	Inh_L1_VIP_PCDH20	K1	Inh_L1_2_PAX6_SCGN	Exc_L6_FEZF2_FAM95C	Inh_L5_6_SST_TH	Exc_L4_5_RORB_RPL31P31	Exc_L6_FEZF2_TBCC	Astro_L1_FGFR3_FOS	Exc_L4_5_RORB_AIM2	Inh_L3_4_PVALB_HOMER3	Exc_L5_6_THEMIS_GPR21	VLMC_L1_3_CYP1B1	Exc_L2_4_RORB_GRIK1	Exc_L5_6_THEMIS_IL7R	Inh_L3_VIP_CBLN1	Exc_L4_6_RORB_HPCA	Exc_L4_RORB_CACNG5	Exc_L3_4_RORB_FOLH1B	Inh_L1_6_PVALB_SCUBE3	Inh_L5_6_LAMP5_SFTA3	Inh_L1_6_VIP_RCN1	Exc_L5_6_FEZF2_RSAD2	Exc_L3_5_THEMIS_UBE2F	Exc_L2_3_LINC00507_RPL9P17	Exc_L3_5_FEZF2_ONECUT1	Astro_L1_6_FGFR3_ETNPPL	MP	Inh_L5_PVALB_CNTNAP3P2	Exc_L6_FEZF2_VWA2	Inh_L1_6_LAMP5_CA13	Inh_L1_3_VIP_SSTR1	Inh_L5_6_SST_ISOC1	Exc_L3_THEMIS_PLA2G7	Inh_L1_3_VIP_ZNF322P1	Inh_L2_4_VIP_LGI2	Exc_L5_6_THEMIS_THTPA	Inh_L1_4_LAMP5_DUSP4	Exc_L6_THEMIS_LINC00343	GABA3	Inh_L1_6_VIP_RGS16	Exc_L6_FEZF2_P4HA3	Inh_L1_4_VIP_CHRNA2	Inh_L1_3_PAX6_NABP1	Inh_L1_3_VIP_CCDC184	Inh_L1_VIP_SOX11	Exc_L3_LINC00507_CTXN3	Exc_L3_5_THEMIS_ELOF1	Inh_L6_LHX6_GLP1R	Inh_L1_LAMP5_GGT8P	GABA2	Inh_L5_6_SST_KLHL14	Oligo_L4_6_OPALIN	Exc_L5_FEZF2_SCN7A	Inh_L5_6_PVALB_STON2	Exc_L4_RORB_BHLHE22	Inh_L1_2_VIP_RPL41P3	Exc_L5_6_THEMIS_TMEM233	Inh_L2_4_PVALB_C8orf4	Exc_L6_FEZF2_ETV4	K2	Inh_L1_LAMP5_NDNF	Exc_L5_6_FEZF2_MYBPHL	Inh_L2_5_VIP_TOX2	Exc_L6_FEZF2_SLITRK6	Inh_L4_5_PVALB_TRIM67	Exc_L4_5_RORB_LINC01474	Exc_L3_5_RORB_HSPB3	Inh_L6_SST_NPY	Inh_L1_2_PVALB_TAC1	Exc_L5_6_FEZF2_CABP7	Inh_L2_4_VIP_DSEL	Exc_L3_4_RORB_RPS3P6	Exc_L5_RORB_SNHG7	Inh_L1_3_VIP_GGH	Micro_L1_6_C1QC	Inh_L1_PAX6_GRIP2	Inh_L1_6_VIP_PENK	Exc_L3_5_RORB_CD24	Exc_L3_4_RORB_PRSS12	Inh_L2_4_SST_AHR	Exc_L3_RORB_CARTPT	Exc_L3_4_RORB_SEMA6D	Astro	Inh_L1_3_PVALB_WFDC2	Astro_L1_FGFR3_MT1G	Micro	Peri_L1_6_MUSTN1	Exc_L4_5_RORB_ASCL1	Exc_L5_6_FEZF2_ANKRD20A1	Inh_L2_6_VIP_VIP	Inh_L3_6_PVALB_MFI2	Inh_L1_VIP_PRSS8	Exc_L4_RORB_CCDC168	Inh_L1_ADARB2_ADAM33	OPC	OPC_L1_6_MYT1	Exc_L6_FEZF2_TBC1D26	Exc_L3_LINC00507_PSRC1	Exc_L5_FEZF2_MORN2	Inh_L3_6_VIP_KCTD13	Endo_L2_5_CLDN5	Inh_L1_3_VIP_ACHE	Oligo	Inh_L5_6_PVALB_FAM150B	Exc_L3_5_FEZF2_DCN	Inh_L1_PAX6_CA4	Exc_L6_FEZF2_KRT17	Exc_L5_RORB_LINC01202	Inh_L6_LAMP5_ANKRD20A11P	Exc_L3_5_RORB_CMAHP	Inh_L1_5_VIP_KCNJ2	Exc_L5_FEZF2_DYRK2	Inh_L1_ADARB2_DISP2	GABA1	Exc_L5_6_THEMIS_OR1J1
AARSD1	13.7075	8.3232	11.3413	24.6579	9.1353	10.2423	7.3754	13.9215	9.2663	10.0881	11.218	9.3201	11.2785	8.6719	14.1958	9.9967	8.8131	11.3914	9.6118	10.5296	9.0277	9.0281	68.0883	12.33	10.954	8.6451	0.0	9.3266	8.5948	13.8358	9.2907	11.9888	8.1697	10.1554	9.6904	13.1942	14.675999999999998	10.502	9.4732	17.99	15.2184	8.516	10.825	9.4363	10.5753	14.5132	10.1387	9.8204	8.9843	13.1203	8.0778	11.1201	8.5313	13.4408	8.7419	6.33	12.0595	13.6202	12.4554	8.0585	9.0444	10.3834	10.6408	13.2227	13.8428	10.1028	12.6121	8.5625	9.55	9.9717	10.5176	9.6556	9.8917	9.2191	9.2139	9.2289	9.6635	9.9826	7.8549	11.0595	9.4389	10.4095	15.2366	8.3081	6.7569	14.0344	15.7567	8.2323	9.1681	16.2105	6.6887	16.9426	10.8736	9.636000000000001	10.424000000000001	10.0254	9.0902	5.192	11.5557	9.2806	0.0	0.0	13.8545	9.6093	8.6638	13.0539	15.0481	10.5976	11.8571	13.9755	17.0663	11.6224	9.9284	8.2048	7.0091	24.2713	6.8921	11.0373	12.5353	10.6396	9.8169	9.1936	9.5276	25.316999999999997	10.4798	10.2445	14.8017	13.6502	11.3448	14.8976
AHSA1	93.5933	81.3684	85.87899999999999	52.0776	83.0477	92.5234	60.192	87.1874	73.6274	152.4277	72.0158	107.6123	70.2713	62.6856	69.1795	81.6133	75.4133	146.3002	73.5013	93.8403	95.6616	88.9891	106.18700000000001	85.2938	78.9205	81.9242	60.0342	98.0506	84.7786	67.741	112.7953	106.7085	61.2077	88.2264	69.497	86.6793	88.0635	107.6354	69.108	54.8514	76.3064	61.6317	83.7661	73.6656	76.5273	61.7941	93.295	104.9088	75.2917	109.5171	60.5146	72.1999	74.7511	42.2369	105.7284	58.7095	76.6625	110.7649	84.5791	52.702	87.7873	140.2566	95.3496	107.0764	30.975	74.9531	92.402	79.4835	90.3519	101.1281	87.7831	77.3755	86.9846	74.3821	79.8484	77.2097	81.063	71.1144	88.3939	141.6692	84.9167	77.0808	77.7836	96.6283	51.7954	109.715	96.1134	76.7057	80.5426	51.6197	29.6939	91.2522	105.05	92.1352	106.8205	67.6373	62.3791	51.2752	88.7531	58.6142	144.0717	266.6665	91.5124	83.3004	78.1745	116.8132	78.9978	105.0196	97.4803	23.8182	89.625	98.34100000000001	69.0816	70.6544	71.0057	62.2028	119.62700000000001	51.5597	111.6671	99.5744	78.0392	91.2893	77.3226	138.4044	78.7835	72.9888	142.2089	144.2347	101.6018	82.6741
AIP	42.4464	43.9308	60.0492	86.4968	41.7403	53.8489	45.3122	64.8055	44.8194	26.0488	56.3682	51.3276	60.4641	33.9445	90.2141	47.9035	46.1502	40.6919	42.56100000000001	57.5543	46.9648	49.6373	16.0353	121.4249	62.5814	58.4916	0.0	50.3094	74.8612	65.9678	58.8742	53.3949	35.5226	61.1415	63.5341	87.3322	71.3009	46.2503	48.7906	31.0288	83.5236	37.5204	58.8837	42.5827	55.1991	47.6159	67.1489	44.5166	62.62	61.0856	55.0532	56.2875	47.3938	28.7536	60.2531	5.5189	67.45100000000001	41.6576	19.3464	44.6919	51.6924	39.4608	46.0791	41.6797	48.5078	51.8381	90.9011	38.2436	52.1881	56.6839	46.3619	47.9772	56.3862	51.7748	41.7161	59.5258	45.9242	52.6428	51.9131	58.3733	49.6983	37.4893	91.0914	77.6372	54.4658	53.8948	68.1544	35.2193	54.7141	81.5431	13.41	23.9077	44.9084	49.638999999999996	79.4354	44.5432	43.0225	137.9324	41.5572	62.8305	0.3102	108.3442	55.0161	52.6055	68.5415	71.1214	68.3848	54.0454	56.6146	16.4809	75.9789	42.2509	42.7004	71.7004	84.6966	167.8224	38.2362	70.7362	89.5618	18.739	76.9986	46.7405	48.0435	0.0	59.8622	48.6915	69.548	37.9032	56.295	31.0339
AIPL1	0.0	6.1915	14.0822	0.0	41.6203	7.1419	0.0	6.1902	9.285	0.0	0.0	15.7767	4.7687	0.0	12.1344	1.0368	0.0	0.0	6.2595	0.0	11.8852	0.4866	0.0	1.2697	3.0476	11.8577	0.0	28.0364	0.7928	0.9723	25.0664	0.5207	22.8793	0.8649	30.4743	0.8989	0.0	0.0	14.7108	87.4796	0.5123	25.6763	5.1792	3.6669	1.145	0.0	0.3042	0.0	0.5596	0.0	0.0	2.5286	15.5641	228.609	0.3574	0.0	0.0	0.0	0.0	0.0	2.2018	26.3153	0.6151	0.0	1.3238	0.0	0.3056	68.2761	19.5555	7.1017	0.0	0.8665	5.8714	6.7081	0.0	22.0555	55.8578	0.3782	9.3342	0.4185	1.8081	84.4902	0.0	0.0	0.0	0.5643	33.9285	2.4512	0.0	0.2236	0.0	0.0	0.0	6.7877	16.9373	14.0377	4.3863	0.0	6.8725	0.0	0.0	0.0	0.9304	19.3568	0.2877	83.7254	16.6817	0.0	33.2071	0.0	1.1696	0.0	20.0682	13.628	1.0978	0.0	48.2493	0.5543	0.0	0.0	0.63	4.8897	0.0	0.0	6.3661	0.0	3.1552	0.0	0.0	0.0
ANP32E	76.8105	34.7194	73.2412	7.6682	62.3785	59.1787	37.037	67.8228	48.1648	72.6783	54.7093	57.3388	79.2163	46.5682	26.6977	26.8748	76.7135	66.9504	62.986000000000004	59.7336	57.1987	59.0608	91.2069	68.1737	68.8458	65.6686	0.0	55.184	60.225	71.10300000000001	50.9657	62.9757	61.4561	47.2949	59.7214	55.4969	67.8649	53.4182	52.6381	78.193	100.9515	80.7533	75.476	75.6719	66.5933	34.6089	48.5221	54.3666	61.7671	56.45399999999999	65.0026	53.7782	49.3361	71.1326	65.6188	23.8776	66.4821	70.4153	107.1432	79.295	51.7873	47.7713	82.7661	115.5418	105.7283	48.9881	54.5898	51.9413	63.7655	61.7584	82.9027	69.7181	54.1438	53.0596	65.8595	63.8015	62.1837	42.0881	63.2292	112.25299999999999	59.0674	51.1959	52.2581	80.7816	52.3624	36.804	70.4495	54.4514	42.513000000000005	114.0201	55.4537	27.3723	43.8452	52.0769	69.7254	52.3152	76.0899	115.2999	57.6924	53.4201	87.7841	160.6817	71.5738	62.1821	52.2269	77.1278	63.0194	63.2209	55.2525	50.6975	49.0992	45.5545	46.4301	43.9294	89.789	88.3714	66.2175	83.795	48.483000000000004	63.5201	61.6467	50.7213	53.3287	96.7611	58.3692	70.2202	88.7947	46.2531	84.329	67.9155
ASF1A	146.0005	49.5439	100.2161	113.8835	69.8342	100.6519	71.3932	119.0246	81.8697	59.7783	121.1048	88.2919	87.6359	83.4438	136.8244	117.5985	59.2891	116.8058	84.6938	151.7684	84.9239	94.3394	79.2924	90.575	103.4611	86.3881	78.0717	84.2634	99.1955	95.7793	95.1467	131.486	64.0952	110.396	87.8133	130.054	99.8941	97.0814	75.2564	50.4526	112.7704	57.2157	85.7268	58.8859	117.8838	110.2594	90.3886	67.385	103.1038	64.6257	78.4619	97.5262	80.9378	22.2633	97.8784	68.2146	78.53	92.3679	40.5575	68.6024	83.8791	82.3261	52.7865	122.1315	55.818999999999996	175.203	87.4716	74.3277	86.9591	90.6718	101.6221	93.1922	92.2408	80.7318	45.9386	98.5027	84.3431	103.5431	61.1567	127.6832	92.6413	107.955	123.4024	70.7221	105.0421	145.0291	159.9496	80.0148	96.2734	131.8113	50.3199	117.3482	115.2815	72.2389	29.4209	81.6394	93.4362	42.8572	79.3876	103.9593	0.0	110.9647	88.434	97.1577	135.025	138.8838	102.5814	73.2437	91.6	24.4573	112.5069	106.4039	90.5514	51.9898	92.6549	16.9398	96.9975	114.5002	123.5092	77.4183	94.3594	84.77600000000001	74.9345	0.0	95.1351	88.5793	106.9538	149.1647	73.293	74.0242
ASF1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.1481	0.0	15.35	0.0	2.1885	0.0	7.2238	0.0	0.0	0.0	2.7569999999999997	0.0	4.0944	0.0	16.8423	0.0	0.0	0.0	0.0	20.8468	0.0	0.0	0.0	0.0	0.0	0.0	0.6672	0.0	0.0	55.496	7.0135	0.0	5.2295	32.1078	0.0	0.0	0.0	0.0	0.0	0.0	202.6552	0.0	0.0	7.0013	50.5218	0.6839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0064	0.0	14.6218	0.0	0.0	0.0	12.7055	0.0	0.0	5.4265	0.0	6.8264	0.0	0.0	2.8624	2.3527	0.0	0.0	0.0	0.0	0.0	7.9911	0.0	8.3892	0.0	0.0	0.0	4.4371	88.7259	0.0	0.0	16.5414	1.5436	0.0	0.0	0.0	0.0	0.0	4.5767	0.0	0.0	0.0	0.0	0.8892	26.2579	0.0	1.5391	0.0	0.0	0.3058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3319	0.0	0.0	0.0	0.0	0.0
ATRX	411.4129	419.9572	331.3937	429.88	424.1162	306.5545	369.0054	265.9674	372.1029	483.2294	444.0096	330.8793	300.7499	356.1636	104.852	320.936	340.2789	514.0514	355.8384	446.6825	361.4165	472.8618	221.4892	288.0285	325.8658	346.9545	569.3099	283.7567	306.0979	345.1475	426.7254	281.9036	405.3746	408.6529	338.0047	414.5125	414.05800000000005	404.5764	322.5067	398.6746	230.2888	360.1718	324.0107	407.6024	356.6985	378.1591	350.8354	384.6668	331.6487	359.5344	292.5735	365.8531	366.6864	359.8023	296.6665	375.3092	357.2893	453.6708	436.6251	439.1224	312.3913	344.2995	358.3175	246.3563	409.4876	343.5862	125.8247	513.3375	344.6389	293.0614	428.6039	346.7743	334.9625	380.6413	372.2695	351.8954	359.0606	341.6389	414.9233	284.7964	346.7789	340.9071	343.9836	382.4882	413.6571	357.6528	298.4618	427.9501	357.5346	173.0872	362.7656	393.6197	363.0012	294.7073	365.6504	367.7539	326.9421	84.5435	366.9765	198.0106	245.1484	232.9675	338.6643	348.9407	301.0897	237.9942	435.0325	290.3601	297.9192	228.7222	136.1172	415.7256	398.7542	537.8154	403.0894	241.9639	435.0757	140.9298	307.2359	412.4707	408.5973	412.4465	372.1263	574.2812	276.9139	400.3557	341.4741	361.837	435.5768	342.8187
BAG1	86.7748	76.8947	76.8686	57.2377	57.8838	73.3302	82.7754	73.1941	60.3102	36.7025	44.364	66.0299	58.6485	51.6677	84.228	48.472	52.3458	62.247	57.8874	91.8289	56.6357	62.1319	85.617	73.4303	76.8087	81.4297	0.0	64.4534	81.6121	70.723	54.0642	49.1426	43.5582	88.6139	65.2976	41.8845	94.5248	67.2055	60.662	79.3058	54.3054	35.7692	62.4251	52.513999999999996	57.96	81.8832	75.2256	53.4043	74.2069	69.3332	90.5158	68.431	54.7908	14.7882	56.4394	49.7579	88.0374	45.8252	42.5092	57.4299	57.5949	69.9586	73.4115	65.9652	53.9366	73.072	87.0103	62.3641	67.5371	75.6312	58.2656	59.3529	70.2728	65.6949	42.3151	60.6998	73.8939	62.043	60.2611	71.2852	65.9682	61.5981	39.9657	30.2282	63.9895	35.3201	79.1955	54.4863	78.6248	74.3793	63.3857	27.4524	53.3184	71.6382	77.3034	51.2631	58.2152	1.253	44.7967	54.2357	72.624	0.0	67.3074	55.1331	74.7098	92.7888	58.4481	84.124	81.6512	97.0921	143.6286	60.5093	59.4372	59.5651	57.8383	37.3713	70.3483	39.4892	85.0357	81.0915	68.298	62.0688	75.093	36.279	78.2247	60.5131	85.7075	107.9317	55.1783	72.1746
BAG2	27.4136	47.632	26.7531	9.3982	46.7804	37.0039	68.4357	72.1595	47.232	55.0365	58.3277	45.5123	82.6956	62.6556	67.2147	115.6221	38.9102	83.704	52.033	103.1901	49.7751	50.1378	74.4584	26.4922	79.7153	53.1467	0.0	61.4054	52.4581	24.7613	54.4419	97.7223	54.4508	86.1845	70.2528	82.8859	67.8714	51.0107	52.128	16.3278	62.445	51.2111	56.0162	55.4594	78.2023	59.5859	61.6737	76.6422	88.0459	56.2155	21.6037	56.4173	49.1109	77.7268	84.2735	137.0065	98.6844	56.5639	84.8547	63.6068	36.4214	34.3698	72.6351	3.5364	70.1754	59.108000000000004	106.6342	82.45100000000001	68.4311	68.4155	111.8871	55.7021	79.485	49.138999999999996	53.8957	69.1986	67.0474	70.4976	55.1337	98.24700000000001	53.3746	47.5654	74.3579	163.9713	69.3996	16.717	57.5185	63.0653	81.9698	111.685	0.6629999999999999	1.1262	77.8236	59.0361	78.9849	52.8053	58.1049	143.5494	93.59299999999999	16.9177	190.1438	0.0	132.707	45.6964	85.9739	137.8019	119.4473	46.596000000000004	42.6876	13.6139	84.7352	87.8513	63.3841	60.9719	106.9637	11.4217	94.4354	58.7517	83.6932	65.8634	60.6574	70.0959	54.3921	5.3107	63.4099	38.2982	45.1404	162.0468	145.599	32.0196
