	Inh_L6_LAMP5_C1QL2	Exc_L3_5_LINC00507_SLN	Inh_L1_SST_CXCL14	Inh_L1_2_VIP_PPAPDC1A	Exc_L6_FEZF2_CPZ	Exc_L4_5_RORB_HNRNPA1P46	Exc_L6_THEMIS_C6orf48	Inh_L3_5_SST_MAFB	Exc_L4_5_RORB_LCN15	Inh_L1_VIP_TNFAIP8L3	Exc_L5_6_FEZF2_CYP26B1	Exc_L6_THEMIS_EGR3	Inh_L4_6_SST_MTHFD2P6	Exc_L5_6_RORB_LINC00320	Oligo_L4_6_MOBP_COL18A1	Inh_L1_VIP_PCDH20	K1	Inh_L1_2_PAX6_SCGN	Exc_L6_FEZF2_FAM95C	Inh_L5_6_SST_TH	Exc_L4_5_RORB_RPL31P31	Exc_L6_FEZF2_TBCC	Astro_L1_FGFR3_FOS	Exc_L4_5_RORB_AIM2	Inh_L3_4_PVALB_HOMER3	Exc_L5_6_THEMIS_GPR21	VLMC_L1_3_CYP1B1	Exc_L2_4_RORB_GRIK1	Exc_L5_6_THEMIS_IL7R	Inh_L3_VIP_CBLN1	Exc_L4_6_RORB_HPCA	Exc_L4_RORB_CACNG5	Exc_L3_4_RORB_FOLH1B	Inh_L1_6_PVALB_SCUBE3	Inh_L5_6_LAMP5_SFTA3	Inh_L1_6_VIP_RCN1	Exc_L5_6_FEZF2_RSAD2	Exc_L3_5_THEMIS_UBE2F	Exc_L2_3_LINC00507_RPL9P17	Exc_L3_5_FEZF2_ONECUT1	Astro_L1_6_FGFR3_ETNPPL	MP	Inh_L5_PVALB_CNTNAP3P2	Exc_L6_FEZF2_VWA2	Inh_L1_6_LAMP5_CA13	Inh_L1_3_VIP_SSTR1	Inh_L5_6_SST_ISOC1	Exc_L3_THEMIS_PLA2G7	Inh_L1_3_VIP_ZNF322P1	Inh_L2_4_VIP_LGI2	Exc_L5_6_THEMIS_THTPA	Inh_L1_4_LAMP5_DUSP4	Exc_L6_THEMIS_LINC00343	GABA3	Inh_L1_6_VIP_RGS16	Exc_L6_FEZF2_P4HA3	Inh_L1_4_VIP_CHRNA2	Inh_L1_3_PAX6_NABP1	Inh_L1_3_VIP_CCDC184	Inh_L1_VIP_SOX11	Exc_L3_LINC00507_CTXN3	Exc_L3_5_THEMIS_ELOF1	Inh_L6_LHX6_GLP1R	Inh_L1_LAMP5_GGT8P	GABA2	Inh_L5_6_SST_KLHL14	Oligo_L4_6_OPALIN	Exc_L5_FEZF2_SCN7A	Inh_L5_6_PVALB_STON2	Exc_L4_RORB_BHLHE22	Inh_L1_2_VIP_RPL41P3	Exc_L5_6_THEMIS_TMEM233	Inh_L2_4_PVALB_C8orf4	Exc_L6_FEZF2_ETV4	K2	Inh_L1_LAMP5_NDNF	Exc_L5_6_FEZF2_MYBPHL	Inh_L2_5_VIP_TOX2	Exc_L6_FEZF2_SLITRK6	Inh_L4_5_PVALB_TRIM67	Exc_L4_5_RORB_LINC01474	Exc_L3_5_RORB_HSPB3	Inh_L6_SST_NPY	Inh_L1_2_PVALB_TAC1	Exc_L5_6_FEZF2_CABP7	Inh_L2_4_VIP_DSEL	Exc_L3_4_RORB_RPS3P6	Exc_L5_RORB_SNHG7	Inh_L1_3_VIP_GGH	Micro_L1_6_C1QC	Inh_L1_PAX6_GRIP2	Inh_L1_6_VIP_PENK	Exc_L3_5_RORB_CD24	Exc_L3_4_RORB_PRSS12	Inh_L2_4_SST_AHR	Exc_L3_RORB_CARTPT	Exc_L3_4_RORB_SEMA6D	Astro	Inh_L1_3_PVALB_WFDC2	Astro_L1_FGFR3_MT1G	Micro	Peri_L1_6_MUSTN1	Exc_L4_5_RORB_ASCL1	Exc_L5_6_FEZF2_ANKRD20A1	Inh_L2_6_VIP_VIP	Inh_L3_6_PVALB_MFI2	Inh_L1_VIP_PRSS8	Exc_L4_RORB_CCDC168	Inh_L1_ADARB2_ADAM33	OPC	OPC_L1_6_MYT1	Exc_L6_FEZF2_TBC1D26	Exc_L3_LINC00507_PSRC1	Exc_L5_FEZF2_MORN2	Inh_L3_6_VIP_KCTD13	Endo_L2_5_CLDN5	Inh_L1_3_VIP_ACHE	Oligo	Inh_L5_6_PVALB_FAM150B	Exc_L3_5_FEZF2_DCN	Inh_L1_PAX6_CA4	Exc_L6_FEZF2_KRT17	Exc_L5_RORB_LINC01202	Inh_L6_LAMP5_ANKRD20A11P	Exc_L3_5_RORB_CMAHP	Inh_L1_5_VIP_KCNJ2	Exc_L5_FEZF2_DYRK2	Inh_L1_ADARB2_DISP2	GABA1	Exc_L5_6_THEMIS_OR1J1
AHR	60.8085	44.5319	34.475	106.9743	42.8066	37.7973	50.3909	70.0185	38.6887	0.8081	37.3937	53.6306	57.3332	54.7321	39.0905	45.4814	35.25	135.0771	55.9635	71.9708	34.6419	32.5608	40.7321	108.1893	32.9174	52.4234	0.0	39.2309	47.3107	3.1512	56.1872	95.0461	49.9892	48.8205	58.6299	68.7862	27.4367	41.5244	42.5802	21.953000000000003	20.945999999999998	40.3308	42.6242	52.3079	52.4299	14.833	51.3107	31.897	49.3523	15.3991	30.8664	54.2244	46.302	361.5715	39.9885	40.6671	6.4724	35.3306	0.0	45.7612	51.0869	33.9354	84.3674	43.4076	264.8035	46.5344	84.0567	15.232000000000001	37.2793	48.4184	11.8025	38.185	43.238	29.7008	24.4415	47.6173	44.181999999999995	49.3125	51.2017	113.5844	55.2525	40.3169	78.3953	84.7884	54.6146	12.067	53.4662	30.4244	26.5604	17.4341	60.6846	5.5769	51.0687	41.7496	78.169	45.8692	45.4111	24.1109	42.1361	0.3413	66.8686	0.1536	52.6156	63.8147	16.2156	29.4577	34.1034	41.8032	60.1075	0.0	8.5614	11.5431	42.9488	21.19	8.9533	0.7579	11.2323	63.4976	70.5199	5.8728	33.2588	42.4838	50.8169	0.0	40.7258	63.5211	16.2259	37.701	63.0377	66.9196
AMBRA1	29.5013	31.2446	41.2035	81.7935	34.0201	41.3232	43.1866	60.1556	44.0422	51.4448	30.8194	37.7801	50.0809	37.5001	44.4939	39.2144	35.6515	1.1919	32.3808	71.0786	39.8231	38.8928	92.5995	66.7332	43.0013	37.7014	0.0	36.7692	36.5197	60.2528	30.1618	43.16	39.4199	30.3188	55.2734	48.1781	21.6727	18.4517	37.2048	74.6155	29.2753	35.6673	54.5418	38.326	38.0693	22.038	50.5426	33.1192	41.9772	31.8787	23.7263	56.7997	34.9286	54.1644	87.7678	115.1964	37.4479	27.2962	31.6214	9.3249	27.4581	39.1284	46.6626	46.6392	43.5095	46.6323	58.0384	18.7724	47.2053	41.7744	48.7092	44.155	43.2579	40.1657	36.2748	37.94	46.7894	49.5023	33.1272	96.491	47.3586	42.0748	35.1535	117.9644	46.6093	44.6082	57.2053	39.0041	70.0773	19.4211	48.5965	36.6054	32.9026	38.4219	92.1285	37.6019	40.8604	85.6165	40.0527	33.4103	1.8466	0.0	62.4884	37.0728	38.0463	96.3778	40.9064	47.1658	41.0302	122.5423	49.4281	43.9494	33.9178	25.8274	46.4001	3.2267	36.3676	25.9115	35.4522	26.7234	53.716	28.5592	32.5532	73.6495	40.111	36.6266	99.4376	75.2881	35.0786	65.531
AMFR	19.6971	21.8535	23.0699	18.692	29.4422	23.3394	35.0298	19.8972	25.1263	39.9995	30.3868	23.9613	23.2573	26.3825	13.7109	24.1346	23.8882	48.4895	28.5911	41.4725	21.8978	30.2436	7.5106	19.5689	22.0172	25.6148	4.4794	19.8298	18.4427	29.4063	18.3534	16.3414	18.4561	32.5089	26.6931	41.2968	26.2601	34.6787	23.6005	14.1057	11.3424	25.0798	15.7042	22.0193	26.1745	24.6701	20.4296	35.4216	18.0451	22.4342	52.9259	22.7858	24.7183	29.7903	25.8297	21.738000000000003	33.402	43.2732	79.8648	37.2881	42.6251	31.342	31.2856	16.952	20.0917	14.7731	12.8776	26.406	28.0024	14.5914	30.052	23.6181	26.101999999999997	20.6085	22.1343	23.5782	24.4183	27.4148	24.5083	14.6941	19.8097	18.5754	47.3413	2.7395	37.5378	24.5907	33.6226	31.9295	26.1854	4.4861	19.9357	13.4608	11.3856	18.8951	26.9508	19.9305	20.3362	11.1698	32.7901	8.8505	16.0059	17.8346	22.2294	25.8283	23.846999999999998	47.6457	26.1127	36.2571	15.3468	3.7818	12.4789	30.3946	21.895	16.8741	31.9208	7.379	38.012	11.2743	31.7763	41.525	26.4177	33.4351	22.1436	1.8167	18.099	23.7344	43.5718	3.8543	25.2433	13.5566
ANAPC1	61.9746	42.2998	37.9171	58.3421	38.7856	36.1773	51.0136	42.915	41.9539	28.346999999999998	47.4572	38.7282	50.9692	41.6044	32.2506	34.9172	43.2888	19.1807	41.1429	47.2375	40.7041	34.6644	72.697	44.7852	41.3091	45.0579	0.0	43.558	42.3974	82.5112	39.5246	55.995	36.335	59.2186	41.3927	31.3123	57.9267	39.2128	43.1738	36.8598	58.0005	32.6087	39.9237	40.3056	58.2889	47.6632	31.2061	42.8355	50.496	51.4087	48.7985	53.4668	40.1002	94.2761	41.6475	28.3531	55.7929	48.7192	46.5803	39.0297	35.7655	33.0773	53.718	8.732999999999999	41.1717	35.8214	73.7059	17.3378	47.2357	48.0342	32.0423	52.083999999999996	40.6451	56.3147	40.2698	40.693000000000005	41.9448	31.6564	42.3303	76.3724	47.6263	35.0813	16.6769	53.5784	25.2793	28.1341	39.1328	41.8176	38.5129	47.7462	67.8823	68.745	52.9367	39.6341	45.4502	44.8334	33.2734	60.1245	41.8261	33.1317	35.5374	0.0	38.510999999999996	46.3284	55.4095	70.0961	66.3867	47.3479	44.8861	17.9946	46.7709	50.6642	51.1821	44.2016	66.3633	36.0335	43.6872	18.0662	48.7013	56.7529	47.1972	38.9455	41.3365	43.2172	49.083999999999996	42.4261	58.0128	83.2882	33.5566	51.568000000000005
ANAPC10	59.427	55.7743	75.0172	64.8904	66.4253	62.0005	54.5956	71.7687	51.3721	68.0358	70.7045	60.1859	72.7779	49.8298	68.1675	43.6678	77.7679	57.8076	52.8676	89.5053	65.7919	66.3452	19.2728	83.2559	86.0942	63.2605	0.0	57.7931	70.4684	68.277	75.1697	67.1104	50.7492	85.1123	67.9016	96.3591	60.2537	60.2853	52.6558	47.9471	64.8786	43.5548	70.6479	52.9298	63.6961	65.9529	84.3857	62.9855	82.8118	107.6354	58.4866	75.6281	55.1259	60.8317	66.50399999999999	86.6655	68.0768	65.5963	140.5946	55.3424	51.9003	40.2101	61.3446	148.4169	58.6812	48.5064	97.3262	68.8911	55.9193	71.3789	82.6806	65.5088	57.7655	60.1172	54.0651	69.0718	57.8211	47.0382	73.2199	53.5387	62.4346	67.6817	39.8108	75.8078	82.9131	55.538000000000004	54.1523	59.0443	91.7318	135.0428	62.6213	79.3524	62.146	59.6814	70.1253	68.4833	61.3899	14.3911	64.8932	109.4019	0.2308	63.7866	101.0905	60.0221	69.77600000000001	98.4496	89.4173	64.1751	74.9483	57.9923	56.2788	64.5956	56.7629	82.5874	39.2835	51.0662	45.1245	74.0315	67.2588	68.8396	50.92100000000001	56.9932	60.9623	82.0495	70.3607	51.3733	78.6692	107.2793	62.7141	54.1659
ANAPC11	74.518	64.5898	57.7486	63.6534	50.2444	66.5741	71.6717	64.8657	59.5099	87.1278	54.6987	76.9197	57.6903	50.9707	88.9337	63.676	50.4876	73.484	50.8053	70.0117	64.0726	79.9407	118.0819	99.1315	67.9169	79.2582	0.0	62.7952	87.7585	67.0083	80.15	79.2603	45.26	66.7769	65.1081	74.7875	85.4212	63.9683	54.2988	41.3538	63.3214	38.813	56.3432	54.1249	65.471	63.5163	77.9334	43.6099	58.707	76.732	84.4718	63.1651	57.3275	45.0902	63.2471	49.6912	56.6216	72.804	34.8301	93.9633	47.0161	60.077	79.8299	67.8945	39.3073	60.1234	65.635	58.2067	54.5265	73.1721	57.4075	60.6877	60.7185	66.5294	53.5973	66.9679	60.9704	63.3319	77.7018	54.0505	56.3664	60.0698	40.6542	56.5523	54.0229	130.0241	67.0663	57.2858	73.3676	54.2379	58.2095	48.4295	66.8044	63.7553	83.0391	54.8537	61.0508	33.6045	56.9997	71.9927	110.9267	147.5476	69.9506	60.5295	67.6244	54.7612	71.4111	76.3765	69.3835	44.6486	62.3172	65.7495	62.7855	51.4121	55.6546	124.8847	49.758	74.1402	61.442	56.0398	63.8282	68.1931	61.6659	88.9706	71.9318	58.1216	53.4164	81.4884	76.4714	71.9124
ANAPC2	5.8337	11.7878	14.3453	36.4284	15.6679	18.3602	13.275	8.9363	14.227	3.3181	11.6127	7.3142	13.4172	16.3851	9.4027	8.9735	13.2474	16.121	14.1096	5.8236	9.6454	4.8994	34.6028	12.8969	14.8041	12.7682	31.256	16.4045	12.5639	13.4901	8.9717	6.9978	17.375	8.2899	15.290999999999999	12.2286	18.3429	13.8809	15.5006	4.548	24.0834	13.9007	18.0606	14.3791	20.3626	22.9778	11.3965	21.5541	11.5971	4.4311	9.9866	10.5974	12.2676	6.0937	14.2664	9.3502	1.1633	11.1686	1.4784	11.2161	19.959	22.9716	26.5132	42.2239	12.8558	10.1142	12.8542	21.0738	12.6175	8.2148	9.1227	12.8966	18.4287	10.9188	33.9577	15.8393	17.6992	12.1475	10.5606	10.8327	13.6293	16.9298	9.2236	3.2307	1.9123	4.5391	5.797000000000001	14.6281	4.3278	14.0025	14.4482	23.6599	11.9416	16.9762	13.6881	20.1485	11.5304	13.7047	18.1606	15.2324	0.4938	0.0	15.8383	18.3688	13.1501	9.0486	24.5805	11.9429	10.8196	0.0	10.4311	17.6475	14.8344	10.3142	19.825	0.4215	21.8572	16.8764	19.5759	10.6938	6.7765	13.2082	15.5411	0.0	16.0701	13.6729	26.455	8.9306	58.6714	23.5461
ANAPC7	113.5688	115.4573	98.4994	75.4393	97.6528	113.0271	99.02600000000001	113.8424	103.1159	125.6885	120.3286	110.3893	114.3195	105.4989	132.7835	109.0527	139.4902	118.34200000000001	103.8073	85.7207	110.831	91.8582	117.8203	129.7487	125.1145	103.4893	185.7421	107.6067	105.0885	97.6006	120.60600000000001	115.4907	99.6541	109.4573	110.8136	129.5714	92.1987	96.4739	105.2109	83.56200000000001	101.3565	94.601	109.21700000000001	102.402	97.0871	97.4165	102.3285	115.1837	119.4647	115.4577	121.1086	92.8024	102.0726	70.6442	99.5585	189.266	111.5526	98.7226	168.5866	114.2961	101.227	79.3702	115.84200000000001	182.6243	136.1418	139.3093	114.0666	91.805	106.955	109.6865	99.1009	104.0078	99.5214	99.368	110.8877	111.6444	124.5364	119.0989	95.6566	82.1203	103.7773	112.1311	104.9787	150.4538	119.4259	124.3572	101.0439	109.2329	124.4804	137.0317	118.8089	131.9931	107.2747	101.0284	121.0808	114.8537	103.0166	41.2913	129.5732	103.4476	389.1565	106.5922	123.7827	110.9065	118.1896	147.8171	108.149	113.0861	101.1217	120.6191	120.184	108.9565	107.1603	92.8831	137.3498	19.1318	115.7705	129.0841	102.7614	93.5322	95.6459	107.9868	107.7846	93.3857	99.177	113.7663	113.3697	123.2489	136.768	113.1188
APC	195.6557	116.7864	157.5017	124.2324	189.0748	139.1433	133.4907	146.8102	129.5437	229.7465	141.4036	156.6534	167.9246	176.2407	94.8326	124.3318	213.5702	226.4355	127.3777	171.9905	149.9177	215.34799999999998	185.8646	170.1799	200.8866	119.5195	549.6008	134.5502	156.625	155.2638	187.7109	131.0212	182.6831	231.7092	176.7695	185.2048	161.9488	164.2401	112.1468	276.7016	278.2428	331.9432	193.9864	175.7243	183.1023	229.4313	166.015	189.9193	158.2366	211.4183	98.7267	189.0194	149.6918	334.2786	190.9342	187.3124	127.5349	219.2926	152.0835	198.1513	168.0115	191.8418	197.6442	134.4863	198.8675	195.2101	99.1125	206.4861	187.7052	144.7198	214.85	133.7361	224.2441	147.6905	238.8069	188.2726	133.6544	125.8347	155.7176	187.9021	141.7834	100.7548	213.2383	274.16	155.4975	156.2566	139.8674	173.7593	149.7724	95.2509	210.6261	205.2873	131.0495	130.7943	207.4279	119.0958	116.816	216.2842	236.7676	240.6732	151.7245	98.7075	161.2566	108.6264	174.0217	164.9656	204.803	125.8238	180.5253	278.1474	98.9039	133.1782	106.2147	168.267	155.1309	103.9819	196.5078	118.3076	156.4439	146.6541	169.675	132.5898	122.3877	448.0699	123.0669	169.2887	168.9759	280.5474	217.59799999999998	138.1188
ARID1B	70.9185	60.7311	41.0138	107.9858	78.4095	72.2803	69.273	67.7125	85.7359	109.1466	67.1913	65.3129	63.4536	89.5219	47.6793	112.9893	74.1966	74.7602	64.4701	56.0124	76.8544	77.3833	54.1648	91.0163	112.5409	70.372	0.0	63.8958	64.8334	87.3288	88.6782	100.3155	75.3039	94.2059	70.1337	108.6748	57.7181	69.9613	69.6521	83.2978	60.0553	85.8631	68.0968	77.7177	83.0187	89.4245	64.4656	75.635	60.1109	98.5591	61.7894	75.7419	73.7908	274.6309	104.7025	90.7054	78.9041	164.6352	73.4717	53.3373	70.0263	67.26100000000001	69.92	67.6329	82.396	74.0985	52.9308	78.0719	71.628	87.4441	50.5819	62.5888	65.2017	89.1095	90.8798	48.5786	57.0298	94.3528	87.7711	64.2892	68.9714	72.6051	78.9657	38.3296	74.3574	95.0028	85.9095	74.0411	60.9912	62.8426	88.0348	70.9209	81.2592	82.823	62.847	76.3566	74.57300000000001	59.3219	46.1908	34.282	64.047	76.7243	91.0575	71.0704	77.6107	78.547	93.6855	85.8496	61.126000000000005	211.058	49.1746	57.765	67.2179	79.9485	69.5758	135.005	69.5388	47.9165	32.6183	72.3609	74.1693	71.2333	70.2182	34.0816	86.7915	84.3561	93.8299	33.5868	61.743	80.5743
