uniprot	unigene	gene	index	order
HLAA_HUMAN	HLA-A	HLA-A	10076	0
DRB1_HUMAN	HLA-DRB1	HLA-DRB1	10093	0
HLAB_HUMAN	HLA-B	HLA-B	10077	0
DNJA1_HUMAN	DNAJA1	DNAJA1	6046	0
ELNE_HUMAN	ELANE	ELANE	6860	0
RACK1_HUMAN	GNB2L1	GNB2L1	9080	1
GRAB_HUMAN	GZMB	GZMB	9633	0
DNJB1_HUMAN	DNAJB1	DNAJB1	6056	0
HLAC_HUMAN	HLA-C	HLA-C	10078	0
EDC4_HUMAN	EDC4	EDC4	6544	0
JIP4_HUMAN	SPAG9	SPAG9	44918	0
UBE3A_HUMAN	UBE3A	UBE3A	48203	0
SH3K1_HUMAN	SH3KBP1	SH3KBP1	43391	0
HELZ_HUMAN	HELZ	HELZ	9854	0
DJB11_HUMAN	DNAJB11	DNAJB11	6057	0
NDUC2_HUMAN	NDUFC2	NDUFC2	34547	0
M3K20_HUMAN	ZAK	ZAK	49296	2
EPHA3_HUMAN	EPHA3	EPHA3	7038	0
NPC2_HUMAN	NPC2	NPC2	34972	0
ECD_HUMAN	ECD	ECD	6518	0
SI1L1_HUMAN	SIPA1L1	SIPA1L1	43495	0
CCDB1_HUMAN	CCNDBP1	CCNDBP1	3518	0
DNJB4_HUMAN	DNAJB4	DNAJB4	6064	0
ZEP1_HUMAN	HIVEP1	HIVEP1	10066	0
SFRP4_HUMAN	SFRP4	SFRP4	43308	0
MRC1_HUMAN	MRC1	MRC1	33492	0
A0A1W2PN81_HUMAN	CHRNA7	CHRNA7	4230	0
A0A7I2V4K3_HUMAN	TUNAR	TUNAR	48006	0
A0A0J9YWD0_HUMAN	IGHD3-3	IGHD3-3	11004	0
A3KN74_HUMAN	GPX6	GPX6	9376	0
A0A087X1C1_HUMAN	TMSB15B	TMSB15B	46822	0
A0N4Z8_HUMAN	TRAJ9	TRAJ9	47180	0
A0A494BZU4_HUMAN	TMEM217	TMEM217	46645	0
A0A075B6Y4_HUMAN	TRAJ19	TRAJ19	47130	0
A0A0A0MTA2_HUMAN	TRBJ2-2P	TRBJ2-2P	47282	0
A0A075B6W9_HUMAN	TRAJ53	TRAJ53	47168	0
J3QSS5_HUMAN	TCP10L2	TCP10L2	46071	0
A0A0J9YW22_HUMAN	IGHD3-9	IGHD3-9	11005	0
A0A4W9AIG4_HUMAN	OR2A14	OR2A14	35660	0
A0A0A0MT97_HUMAN	TRGJP1	TRGJP1	47421	0
A0A075B6X8_HUMAN	TRAJ44	TRAJ44	47158	0
A0A1B0GV96_HUMAN	LOC105371267	LOC105371267	21123	0
A0A0A0MT92_HUMAN	IGLJ7	IGLJ7	11279	0
A0A1W2PQD8_HUMAN	SSU72P2	SSU72P2	45271	0
A0A075B6W6_HUMAN	TRAJ27	TRAJ27	47139	0
A0A024RCN7_HUMAN	C6orf48	C6orf48	2879	1
A0A126GWB0_HUMAN	OR2A2	OR2A2	35662	0
A0A0A0MTA3_HUMAN	IGKJ5	IGKJ5	11177	0
A0A075B6V7_HUMAN	TRAJ26	TRAJ26	47138	0
A0A075B6V1_HUMAN	TRAJ43	TRAJ43	47157	0
A0A0G2JNF4_HUMAN	KIR2DP1	KIR2DP1	12207	0
A0A0G2JMH6_HUMAN	HLA-DRA	HLA-DRA	10092	0
A0A0U1RQB9_HUMAN	IGHD5-12	IGHD5-12	11010	0
A0A075B6U7_HUMAN	TRAJ23	TRAJ23	47135	0
