uniprot	unigene	gene	index	order
CXCR4_MACMU	CXCR4	CXCR4	3871	0
EGFR_MACMU	EGFR	EGFR	4762	0
TNFA_MACMU	TNF	TNF	16249	0
3BHS1_MACMU	HSD3B1	HSD3B1	7203	0
CCL21_MACMU	CCL21	CCL21	2628	0
B2MG_MACMU	B2M	B2M	1273	0
DX39B_MACMU	DDX39B	DDX39B	4132	0
ABCG2_MACMU	ABCG2	ABCG2	71	0
GPER1_MACMU	GPER	GPER	6439	1
SODC_MACMU	SOD1	SOD1	14794	0
TNFL6_MACMU	FASLG	FASLG	5507	0
MSX1_MACMU	MSX1	MSX1	9745	0
TLR2_MACMU	TLR2	TLR2	15899	0
P53_MACMU	TP53	TP53	16362	0
LEPR_MACMU	LEPR	LEPR	8525	0
MYC_MACMU	MYC	MYC	9879	0
TRAF6_MACMU	TRAF6	TRAF6	16428	0
LEP_MACMU	LEP	LEP	8524	0
PCSK9_MACMU	PCSK9	PCSK9	11418	0
TRIM5_MACMU	TRIM5	TRIM5	16511	0
PRIO_MACMU	PRNP	PRNP	12361	0
SOX9_MACMU	SOX9	SOX9	14839	0
PPIA_MACMU	PPIA	PPIA	12137	0
S10AA_MACMU	S100A10	S100A10	13610	0
SFTPA_MACMU	SFTPA1	SFTPA1	14021	0
SCML1_MACMU	SCML1	SCML1	13752	0
SH21A_MACMU	SH2D1A	SH2D1A	14060	0
STP2_MACMU	TNP2	TNP2	16312	0
TRI15_MACMU	TRIM15	TRIM15	16476	0
SEMG2_MACMU	SEMG2	SEMG2	13892	0
T2R42_MACMU	TAS2R42	TAS2R42	15503	0
FMO3_MACMU	FMO3	FMO3	5780	0
PP1RB_MACMU	PPP1R11	PPP1R11	12171	0
PLMN_MACMU	PLG	PLG	11906	0
TCF19_MACMU	TCF19	TCF19	15609	0
PRL_MACMU	PRL	PRL	12345	0
RBM12_MACMU	RBM12	RBM12	12947	0
RENI_MACMU	REN	REN	13061	0
RNAS9_MACMU	RNASE9	RNASE9	13245	0
ROA1_MACMU	HNRNPA1	HNRNPA1	7070	0
RNAS6_MACMU	RNASE6	RNASE6	13242	0
RT18B_MACMU	MRPS18B	MRPS18B	9672	0
PRS23_MACMU	PRSS23	PRSS23	12446	0
SFTPD_MACMU	SFTPD	SFTPD	14024	0
SIR5_MACMU	SIRT5	SIRT5	14172	0
PAHO_MACMU	PPY	PPY	12244	0
TAAR1_MACMU	TAAR1	TAAR1	15409	0
TAZ_MACMU	TAZ	TAZ	15519	0
T2R60_MACMU	TAS2R60	TAS2R60	15508	0
TBB5_MACMU	TUBB	TUBB	16750	0
MYD88_MACMU	MYD88	MYD88	9886	0
MX1_MACMU	MX1	MX1	9859	0
SYVM_MACMU	VARS2	VARS2	17146	0
TGFA_MACMU	TGFA	TGFA	15754	0
RU1C_MACMU	SNRPC	SNRPC	14737	0
SODM_MACMU	SOD2	SOD2	14795	0
TYOBP_MACMU	TYROBP	TYROBP	16810	0
WFDC5_MACMU	WFDC5	WFDC5	17388	0
NRM_MACMU	NRM	NRM	10538	0
HCST_MACMU	HCST	HCST	6826	0
PABP5_MACMU	PABPC5	PABPC5	11171	0
MX2_MACMU	MX2	MX2	9860	0
SFRP4_MACMU	SFRP4	SFRP4	14013	0
RPP21_MACMU	RPP21	RPP21	13444	0
MRGX2_MACMU	MRGPRX2	MRGPRX2	9604	0
MSHR_MACMU	MC1R	MC1R	9175	0
NCTR3_MACMU	NCR3	NCR3	10104	0
NR1I3_MACMU	NR1I3	NR1I3	10500	0
NGB_MACMU	NGB	NGB	10262	0
MOTI_MACMU	MLN	MLN	9463	0
NXPH1_MACMU	NXPH1	NXPH1	10680	0
IL8_MACMU	IL8	IL8	7525	1
NPY2R_MACMU	NPY2R	NPY2R	10488	0
MCHR1_MACMU	MCHR1	MCHR1	9191	0
PAX9_MACMU	PAX9	PAX9	11297	0
NLRP3_MACMU	NLRP3	NLRP3	10348	0
PRC2A_MACMU	PRRC2A	PRRC2A	12428	0
NDUA4_MACMU	NDUFA4	NDUFA4	10133	0
PROC_MACMU	PROC	PROC	12363	0
LAMP3_MACMU	LAMP3	LAMP3	8415	0
