uniprot	unigene	gene	index	order
AGRG2_MOUSE	Gpr64	Gpr64	23578	1
CAC1C_MOUSE	Cacna1c	Cacna1c	4321	0
LSR_MOUSE	Lsr	Lsr	31863	0
IFM3_MOUSE	Ifitm3	Ifitm3	24525	0
NEUR2_MOUSE	Neu2	Neu2	34561	0
S39A4_MOUSE	Slc39a4	Slc39a4	40682	0
IFM1_MOUSE	Ifitm1	Ifitm1	24522	0
CCD80_MOUSE	Ccdc80	Ccdc80	4663	0
DNJC2_MOUSE	Dnajc2	Dnajc2	6837	0
IKBP1_MOUSE	Irak1bp1	Irak1bp1	25228	0
MDM1_MOUSE	Mdm1	Mdm1	32264	0
LAP4A_MOUSE	Laptm4a	Laptm4a	31433	0
MEDAG_MOUSE	Medag	Medag	32309	0
PCD15_MOUSE	Pcdh15	Pcdh15	36886	0
OPRM_MOUSE	Oprm1	Oprm1	36607	0
PLEC_MOUSE	Plec	Plec	37478	0
RTN4_MOUSE	Rtn4	Rtn4	39677	0
WHRN_MOUSE	Whrn	Whrn	44923	0
ARHG7_MOUSE	Arhgef7	Arhgef7	3249	0
AIRE_MOUSE	Aire	Aire	2704	0
NOTC1_MOUSE	Notch1	Notch1	34783	0
MBP_MOUSE	Mbp	Mbp	32202	0
PO2F1_MOUSE	Pou2f1	Pou2f1	37698	0
PO2F2_MOUSE	Pou2f2	Pou2f2	37699	0
WNK1_MOUSE	Wnk1	Wnk1	44938	0
FGFR1_MOUSE	Fgfr1	Fgfr1	8234	0
Q8VG32_MOUSE	Olfr1408	Olfr1408	35581	0
Q8VFB0_MOUSE	Olfr1261	Olfr1261	35424	0
Q8BI57_MOUSE	Fbxw13	Fbxw13	8123	0
Q810Q0_MOUSE	Gm5622	Gm5622	20829	0
Q9Z0I7_MOUSE	Slfn1	Slfn1	40811	0
A2AV41_MOUSE	Olfr1129	Olfr1129	35282	0
Q8BG98_MOUSE	9130023H24Rik	9130023H24Rik	1814	0
Q5M8R5_MOUSE	Gm20852	Gm20852	13461	0
A7VMS3_MOUSE	H2-M5	H2-M5	23847	0
Q8K205_MOUSE	Pop1	Pop1	37684	0
K7N5P3_MOUSE	Olfr906	Olfr906	36470	0
Q6P9N8_MOUSE	Trak2	Trak2	43056	0
Q7M6Y0_MOUSE	Zfp429	Zfp429	45365	0
Q8VGZ3_MOUSE	Olfr572	Olfr572	36120	0
A2ACY8_MOUSE	Olfr1337	Olfr1337	35507	0
Q9EQB2_MOUSE	Olfr894	Olfr894	36459	0
M0QWN7_MOUSE	Usp35	Usp35	43986	0
Q9D4U4_MOUSE	4930557A04Rik	4930557A04Rik	1355	1
Q8VF33_MOUSE	Olfr1347	Olfr1347	35518	0
Q504M2_MOUSE	Pdp2	Pdp2	37077	0
Q9DAJ8_MOUSE	1700008P02Rik	1700008P02Rik	151	0
Q8VF59_MOUSE	Olfr1431	Olfr1431	35606	0
Q8VGE3_MOUSE	Olfr160	Olfr160	35717	0
D3YTY2_MOUSE	Vmn1r138	Vmn1r138	44277	0
Q8VFQ3_MOUSE	Olfr1501	Olfr1501	35682	0
Q8VGY8_MOUSE	Olfr639	Olfr639	36191	0
Q4KL20_MOUSE	Gm4745	Gm4745	20203	2
Q8VGZ6_MOUSE	Olfr561	Olfr561	36108	0
Q8BMT0_MOUSE	Serpinb9d	Serpinb9d	40153	0
Q0VDY1_MOUSE	Olfr1428	Olfr1428	35603	0
Q80Y74_MOUSE	BC048502	BC048502	3766	1
A2AT86_MOUSE	Olfr1124	Olfr1124	35278	0
Q9DC47_MOUSE	Zfp869	Zfp869	45555	0
Q5PPQ4_MOUSE	Zfp658	Zfp658	45465	0
Q3SYJ2_MOUSE	Prr27	Prr27	38074	0
Q7TRI3_MOUSE	Olfr776	Olfr776	36340	0
Q91XX6_MOUSE	Pcdhgb4	Pcdhgb4	36947	0
Q9CQH5_MOUSE	Lce1a1	Lce1a1	31462	0
E9PZU2_MOUSE	Olfr723	Olfr723	36282	0
Q99ML6_MOUSE	Slc25a2	Slc25a2	40534	0
Q9D9B9_MOUSE	1700110I01Rik	1700110I01Rik	506	1
Q8CDK1_MOUSE	Gm5591	Gm5591	20807	0
Q7M6X5_MOUSE	Rslcan18	Rslcan18	39648	0
Q8VFV8_MOUSE	Olfr262	Olfr262	35801	0
B1AYI3_MOUSE	Gm13287	Gm13287	10129	0
Q8VFD9_MOUSE	Olfr98	Olfr98	36549	0
Q91Y18_MOUSE	Pcdha12	Pcdha12	36897	0
Q9D1U5_MOUSE	Cutal	Cutal	6022	0
Q7TS58_MOUSE	Clec4b1	Clec4b1	5420	0
Q7TRW8_MOUSE	Olfr411	Olfr411	35952	0
K9J7F4_MOUSE	Gm5725	Gm5725	20905	1
Q91WA9_MOUSE	Abcg4	Abcg4	2309	0
A0A087WSF2_MOUSE	Smok3c	Smok3c	40927	0
Q8BWG6_MOUSE	Slc22a29	Slc22a29	40507	0
Q7TRY4_MOUSE	Olfr366	Olfr366	35906	0
J3QP49_MOUSE	Gm20795	Gm20795	13433	0
A6PWP4_MOUSE	Gm11627	Gm11627	9391	0
Q4ZGD8_MOUSE	Nxf2	Nxf2	35048	0
Q5R1I0_MOUSE	Trav6d-4	Trav6d-4	43170	0
K9J7G6_MOUSE	Gm4133	Gm4133	20015	1
Q9EPS5_MOUSE	Vmn1r148	Vmn1r148	44282	0
L7N1Y8_MOUSE	Olfr194	Olfr194	35751	0
Q8CDT5_MOUSE	4930415O20Rik	4930415O20Rik	1025	1
Q7TR94_MOUSE	Olfr1015	Olfr1015	35163	0
Q8VFA4_MOUSE	Olfr1391	Olfr1391	35565	0
A0A140LHT7_MOUSE	Olfr1555-ps1	Olfr1555-ps1	35710	0
Q9D3I8_MOUSE	Rhox4a	Rhox4a	38926	0
Q3UT54_MOUSE	Obox3	Obox3	35093	0
Q9CX21_MOUSE	9430069I07Rik	9430069I07Rik	1882	0
A8R0U8_MOUSE	Esp15	Esp15	7607	0
L7N269_MOUSE	Vmn2r57	Vmn2r57	44675	0
J3QJV4_MOUSE	Gm19402	Gm19402	13095	0
A0A087WR13_MOUSE	Dnah7c	Dnah7c	6802	0
A0A075B5T0_MOUSE	Ighv3-8	Ighv3-8	24760	0
B1AWM0_MOUSE	Cnbd1	Cnbd1	5508	0
J3QMS8_MOUSE	Gm3415	Gm3415	17744	0
A0A075B5S5_MOUSE	Ighv7-4	Ighv7-4	24794	0
A0A075B5N2_MOUSE	Igkv6-29	Igkv6-29	24964	0
E9PV38_MOUSE	Ces2g	Ces2g	5140	0
A0A3B2WD20_MOUSE	Esp6	Esp6	7619	0
E9Q1M1_MOUSE	Pdzd2	Pdzd2	37093	0
A0A1B0GSZ2_MOUSE	Olfr588-ps1	Olfr588-ps1	36137	0
G3UY48_MOUSE	Vmn1r112	Vmn1r112	44252	0
K7N621_MOUSE	Vmn2r10	Vmn2r10	44602	0
E9PX92_MOUSE	Tmem139	Tmem139	42547	0
S4R2K0_MOUSE	Pdf	Pdf	37047	0
A0A075B647_MOUSE	Trav9-2	Trav9-2	43196	0
F8VQ94_MOUSE	Pira2	Pira2	37364	0
J3KMU2_MOUSE	Gm21820	Gm21820	13734	0
A0A0B4J1P9_MOUSE	Trbj2-4	Trbj2-4	43220	0
J3QMQ6_MOUSE	Gm3336	Gm3336	17126	0
D3YZZ5_MOUSE	Tmed7	Tmed7	42503	0
A0A075B5T5_MOUSE	Ighv1-5	Ighv1-5	24679	0
G3X9L8_MOUSE	Olfr152	Olfr152	35696	0
A0A0B4J1H3_MOUSE	Trbv16	Trbv16	43235	0
D3YYQ8_MOUSE	Dnah10	Dnah10	6791	0
J3QN14_MOUSE	Zfp616	Zfp616	45440	0
G3UW56_MOUSE	Vmn2r85	Vmn2r85	44705	0
B1AWZ3_MOUSE	Nipsnap3a	Nipsnap3a	34652	0
F6R5P4_MOUSE	Ccl17	Ccl17	4695	0
G3X941_MOUSE	9130019O22Rik	9130019O22Rik	1812	0
G3X8Z7_MOUSE	Chrna9	Chrna9	5277	0
A0A0J9YTR2_MOUSE	0610012G03Rik	0610012G03Rik	11	0
E9Q0B5_MOUSE	Fcgbp	Fcgbp	8150	0
A0A087WR44_MOUSE	Gm2913	Gm2913	14234	1
A0A0G2JGI7_MOUSE	Traj26	Traj26	43012	0
L7N222_MOUSE	Mup13	Mup13	34156	0
G3XA50_MOUSE	Lrrc10b	Lrrc10b	31757	0
B1AQ89_MOUSE	Gm11555	Gm11555	9359	0
E9Q5C7_MOUSE	Vmn2r41	Vmn2r41	44658	0
E9Q8T0_MOUSE	Vmn1r7	Vmn1r7	44424	0
Q5SUE3_MOUSE	E130309D14Rik	E130309D14Rik	7121	1
A0A075B5M1_MOUSE	Igkv4-63	Igkv4-63	24931	0
A0A5F8MPS3_MOUSE	Gm11100	Gm11100	9203	0
A0A1L1SSZ5_MOUSE	Olfr1248	Olfr1248	35409	0
G5E895_MOUSE	Akr1b10	Akr1b10	2744	0
A0A075B5L0_MOUSE	Igkv10-95	Igkv10-95	24838	0
E9PY37_MOUSE	Tcte2	Tcte2	42161	0
L7N479_MOUSE	Tcrg-C3	Tcrg-C3	42149	1
A0A140T8P9_MOUSE	Igkv14-111	Igkv14-111	24876	0
F6S966_MOUSE	Gm7247	Gm7247	21845	1
E9PWP7_MOUSE	Muc3	Muc3	34125	0
A2AEH9_MOUSE	Tmsb15a	Tmsb15a	42784	0
L7N285_MOUSE	Gm3115	Gm3115	15434	0
D3YUJ3_MOUSE	Ccnyl1	Ccnyl1	4748	0
V9GX38_MOUSE	Gm17190	Gm17190	11535	0
G3X9Z4_MOUSE	Pcf11	Pcf11	36958	0
E9Q2Y0_MOUSE	Eid2b	Eid2b	7305	0
A2A9U8_MOUSE	Cela3a	Cela3a	5046	0
A0A075B5N8_MOUSE	Igkv3-10	Igkv3-10	24906	0
A2ANY6_MOUSE	Mdn1	Mdn1	32268	0
E9QA57_MOUSE	Spata31d1b	Spata31d1b	41283	0
A0A0G2JFW2_MOUSE	Trdj2	Trdj2	43264	0
A0A1B0GR13_MOUSE	Cylc1	Cylc1	6089	0
G3UZN6_MOUSE	Abhd12b	Abhd12b	2317	0
A2A580_MOUSE	1700025C18Rik	1700025C18Rik	276	0
A0A075B5M2_MOUSE	Igkv4-61	Igkv4-61	24929	0
A0A075B5Y2_MOUSE	Ighv1-75	Ighv1-75	24710	0
A0A075B636_MOUSE	Trav14n-3	Trav14n-3	43116	0
A0A1L1SUS1_MOUSE	Olfr857	Olfr857	36422	0
E9Q7L6_MOUSE	Foxn2	Foxn2	8395	0
A0A5F8MPY2_MOUSE	Rplp2-ps1	Rplp2-ps1	39434	0
A0A087WPN7_MOUSE	Ighv13-2	Ighv13-2	24734	0
A0A075B6C9_MOUSE	Trav13-4-dv7	Trav13-4-dv7	43099	0
A0A0B4J1P2_MOUSE	Trbj2-5	Trbj2-5	43221	0
E9PYD7_MOUSE	Kbtbd6	Kbtbd6	25430	0
A0A5F8MPQ6_MOUSE	Gm31160	Gm31160	15443	0
D3Z0K6_MOUSE	Rsbn1l	Rsbn1l	39640	0
D3Z757_MOUSE	Wdr86	Wdr86	44888	0
G5E8K1_MOUSE	2610028H24Rik	2610028H24Rik	766	0
A0A0A6YXC7_MOUSE	Ighj4	Ighj4	24629	0
E9PUN6_MOUSE	Adamts9	Adamts9	2539	0
A0A0B4J1J3_MOUSE	Igkv8-18	Igkv8-18	24968	0
W4VSP1_MOUSE	Speer3	Speer3	41314	0
A0A286YCV9_MOUSE	Kif13b	Kif13b	25600	0
A2CG07_MOUSE	Gm15217	Gm15217	10948	0
A0A140T8L4_MOUSE	Olfr625-ps1	Olfr625-ps1	36177	0
A0A087WNZ6_MOUSE	1700025B11Rik	1700025B11Rik	275	0
A0A087WRH8_MOUSE	Gm5157	Gm5157	20495	0
A0A338P708_MOUSE	Gm20741	Gm20741	13389	0
D3Z1Y0_MOUSE	Gm281	Gm281	14079	0
A0A2I3BRX0_MOUSE	Olfr104-ps	Olfr104-ps	35190	0
S4R1E0_MOUSE	Gm14920	Gm14920	10831	1
E9PVZ7_MOUSE	Olfr918	Olfr918	36482	0
F6ZMY5_MOUSE	Gm8212	Gm8212	22426	0
K7N757_MOUSE	Gm3667	Gm3667	19670	0
D3YX25_MOUSE	Gm7257	Gm7257	21854	1
A2AUQ8_MOUSE	4930402F06Rik	4930402F06Rik	986	0
J3QMU9_MOUSE	Gm21028	Gm21028	13537	0
Q5NC41_MOUSE	1810065E05Rik	1810065E05Rik	598	0
A0A286YDB2_MOUSE	4930469K13Rik	4930469K13Rik	1143	0
G3X904_MOUSE	Zfp275	Zfp275	45288	0
A0A0B4J1J1_MOUSE	Igkv5-45	Igkv5-45	24955	0
E9PV26_MOUSE	Prr36	Prr36	38079	0
A0A075B5R7_MOUSE	Ighv14-2	Ighv14-2	24736	0
L7N481_MOUSE	Gm6309	Gm6309	21311	0
E9PUU5_MOUSE	Zfp839	Zfp839	45543	0
A0A075B606_MOUSE	Trav13d-1	Trav13d-1	43100	0
E0CX23_MOUSE	Umad1	Umad1	43880	0
A0A140T8P8_MOUSE	Trbv17	Trbv17	43236	0
A2A5X6_MOUSE	Krtap17-1	Krtap17-1	25890	0
A0A075B5X2_MOUSE	Ighv1-63	Ighv1-63	24697	0
A0A140LHS9_MOUSE	Olfr1438-ps1	Olfr1438-ps1	35612	0
E9Q8V1_MOUSE	Lce3d	Lce3d	31479	0
D3Z393_MOUSE	Mkrn2os	Mkrn2os	33699	0
B8JJD3_MOUSE	Fance	Fance	8018	0
A0A0B4J1F8_MOUSE	6330419J24Rik	6330419J24Rik	1739	1
B1AZM5_MOUSE	Gm12886	Gm12886	9944	0
A0A1W2P8B8_MOUSE	Gm12248	Gm12248	9659	0
E9PXQ7_MOUSE	Pcdh10	Pcdh10	36883	0
I7HJI3_MOUSE	Serpinb6e	Serpinb6e	40147	0
L7N463_MOUSE	Cyp2d34	Cyp2d34	6152	0
J3QMB3_MOUSE	1190003K10Rik	1190003K10Rik	64	1
A0A1L1SR87_MOUSE	1810010D01Rik	1810010D01Rik	559	1
A0A087WR45_MOUSE	Prob1	Prob1	38016	0
A0A0G2JDZ0_MOUSE	Traj56	Traj56	43045	0
A0A0G2JFM0_MOUSE	Traj38	Traj38	43025	0
A0A0G2JEB4_MOUSE	Traj6	Traj6	43049	0
A0A0B4J1M0_MOUSE	Ighv1-77	Ighv1-77	24712	0
A0A1L1SR47_MOUSE	Slc6a16	Slc6a16	40747	0
K7N645_MOUSE	Olfr519	Olfr519	36062	0
