	exc_up	exc_down	inh_up	inh_down	non_up	non_do
TTC4	0.0	3.51	10.53	7.02	18.75	37.5
HSPBAP1	1.75	1.75	1.75	3.51	18.75	18.75
NCL	0.0	0.0	0.0	0.0	6.25	6.25
PFDN6	3.51	3.51	7.02	3.51	18.75	18.75
PDCL3	0.0	0.0	0.0	3.51	18.75	25.0
HSPA2	8.77	45.61	17.54	28.07	25.0	25.0
HSPD1	0.0	0.0	0.0	0.0	12.5	0.0
VPS72	0.0	0.0	1.75	7.02	0.0	31.25
NASP	0.0	0.0	0.0	0.0	0.0	6.25
UBN1	0.0	3.51	1.75	3.51	18.75	12.5
NAP1L1	5.26	0.0	0.0	0.0	0.0	12.5
ODF1	61.4	38.6	24.56	75.44	0.0	93.75
NAP1L4	0.0	0.0	0.0	0.0	12.5	0.0
NAP1L2	0.0	0.0	0.0	0.0	6.25	37.5
SUGT1	0.0	0.0	0.0	0.0	0.0	0.0
PPID	0.0	1.75	0.0	0.0	12.5	12.5
HSPA1L	14.04	21.05	21.05	22.81	18.75	56.25
NPM3	0.0	3.51	10.53	26.32	12.5	43.75
VBP1	0.0	1.75	1.75	0.0	6.25	12.5
TOMM34	0.0	1.75	1.75	14.04	0.0	43.75
SUPT16H	0.0	0.0	0.0	1.75	0.0	18.75
PDCL	1.75	5.26	5.26	12.28	12.5	31.25
USP19	1.75	0.0	5.26	0.0	6.25	18.75
SGTA	0.0	1.75	1.75	7.02	6.25	18.75
HSPA4	0.0	0.0	1.75	5.26	18.75	25.0
TIMM10	0.0	0.0	3.51	1.75	31.25	12.5
URI1	0.0	1.75	0.0	0.0	6.25	18.75
TCP1	0.0	0.0	0.0	0.0	0.0	18.75
DNAJC21	0.0	0.0	3.51	3.51	6.25	6.25
FNIP2	0.0	0.0	1.75	3.51	6.25	25.0
HSPA13	0.0	1.75	1.75	0.0	6.25	18.75
NPM2	0.0	0.0	0.0	3.51	6.25	62.5
SUPT6H	1.75	0.0	0.0	1.75	6.25	18.75
IPO4	0.0	8.77	14.04	29.82	18.75	25.0
TBCB	0.0	0.0	0.0	1.75	6.25	12.5
NAP1L5	0.0	0.0	3.51	0.0	12.5	18.75
UNC45B	33.33	57.89	10.53	84.21	18.75	68.75
HYOU1	0.0	0.0	1.75	1.75	6.25	6.25
DNAJB9	0.0	0.0	0.0	0.0	6.25	6.25
RPAP3	0.0	0.0	0.0	1.75	6.25	12.5
SSRP1	0.0	0.0	1.75	1.75	12.5	6.25
SPAG1	0.0	1.75	5.26	3.51	12.5	12.5
TBCC	0.0	0.0	0.0	5.26	6.25	31.25
HSPB7	24.56	64.91	22.81	75.44	37.5	56.25
RIC3	0.0	0.0	0.0	0.0	6.25	18.75
TIMM10B	0.0	0.0	5.26	7.02	0.0	12.5
HSPH1	1.75	0.0	0.0	0.0	0.0	56.25
RBBP4	0.0	0.0	0.0	0.0	0.0	12.5
PDC	0.0	1.75	7.02	22.81	0.0	43.75
SACS	3.51	0.0	0.0	1.75	12.5	18.75
NAP1L3	0.0	0.0	10.53	0.0	0.0	37.5
UNC45A	0.0	0.0	5.26	1.75	6.25	25.0
RBBP7	0.0	0.0	1.75	0.0	6.25	6.25
SGTB	1.75	0.0	0.0	1.75	0.0	43.75
DNAJC30	1.75	1.75	5.26	10.53	0.0	31.25
PIH1D1	0.0	0.0	0.0	0.0	6.25	12.5
HSPA4L	0.0	0.0	0.0	0.0	0.0	50.0
SET	0.0	0.0	1.75	1.75	12.5	12.5
ZMYND10	31.58	17.54	12.28	63.16	18.75	50.0
PFDN1	0.0	0.0	0.0	1.75	6.25	6.25
ST13	0.0	0.0	3.51	0.0	12.5	6.25
PPP5C	0.0	1.75	1.75	3.51	0.0	31.25
PIH1D2	5.26	5.26	14.04	21.05	31.25	25.0
DNAJC27	0.0	0.0	5.26	3.51	12.5	25.0
SIL1	0.0	5.26	1.75	1.75	0.0	0.0
FKBPL	0.0	10.53	19.3	36.84	18.75	62.5
HSPA9	0.0	0.0	0.0	0.0	0.0	6.25
NUDCD1	0.0	0.0	0.0	0.0	18.75	18.75
HSPA1A	0.0	3.51	0.0	0.0	56.25	6.25
MCM2	14.04	17.54	21.05	26.32	25.0	62.5
STIP1	0.0	1.75	1.75	5.26	12.5	25.0
TSC1	0.0	0.0	0.0	1.75	6.25	6.25
TBCD	0.0	0.0	5.26	0.0	18.75	0.0
PTGES3	0.0	0.0	0.0	0.0	6.25	0.0
MKKS	0.0	0.0	0.0	1.75	6.25	12.5
UXT	0.0	0.0	0.0	1.75	18.75	0.0
TRAP1	1.75	1.75	0.0	1.75	0.0	12.5
HSPB2	0.0	3.51	7.02	21.05	6.25	43.75
HSPA12A	0.0	0.0	0.0	1.75	6.25	37.5
SPTY2D1	1.75	3.51	3.51	3.51	0.0	18.75
TIMM8B	0.0	0.0	0.0	1.75	6.25	12.5
FKBP6	26.32	61.4	12.28	82.46	43.75	56.25
TONSL	10.53	14.04	15.79	40.35	6.25	62.5
HSPA5	0.0	3.51	1.75	0.0	6.25	12.5
HSPA8	0.0	5.26	1.75	1.75	0.0	50.0
STUB1	0.0	0.0	0.0	0.0	6.25	12.5
HSCB	3.51	5.26	7.02	14.04	0.0	31.25
DNAJC7	0.0	0.0	1.75	0.0	6.25	12.5
PHB2	0.0	0.0	3.51	1.75	18.75	12.5
NUDCD2	0.0	0.0	0.0	0.0	18.75	12.5
HSPA6	24.56	68.42	33.33	63.16	18.75	75.0
