	exc_up	exc_down	inh_up	inh_down	non_up	non_do
RNF19B	1.75	3.51	3.51	10.53	12.5	43.75
UBE2N	0.0	0.0	0.0	1.75	6.25	6.25
TRIM22	78.95	10.53	7.02	89.47	56.25	31.25
RNF115	0.0	3.51	3.51	3.51	6.25	18.75
TBL1X	0.0	15.79	14.04	35.09	12.5	25.0
TRIM23	0.0	0.0	0.0	0.0	0.0	18.75
PCGF1	0.0	1.75	1.75	1.75	12.5	6.25
UBR1	0.0	0.0	1.75	0.0	0.0	0.0
RNF41	0.0	0.0	5.26	1.75	12.5	18.75
RNF139	0.0	1.75	5.26	1.75	12.5	12.5
TRAF7	0.0	7.02	3.51	12.28	12.5	31.25
WWP2	1.75	1.75	1.75	10.53	12.5	25.0
MKRN1	0.0	0.0	0.0	0.0	6.25	12.5
WWP1	0.0	1.75	17.54	3.51	6.25	12.5
PAXIP1	1.75	5.26	8.77	10.53	6.25	18.75
RCHY1	0.0	0.0	1.75	1.75	6.25	18.75
MYCBP2	0.0	0.0	1.75	0.0	0.0	56.25
UHRF1	19.3	17.54	7.02	28.07	62.5	25.0
UBE4B	0.0	0.0	0.0	0.0	6.25	12.5
RNF34	0.0	0.0	1.75	1.75	0.0	18.75
TOM1	0.0	3.51	3.51	1.75	12.5	18.75
MSL2	3.51	10.53	7.02	1.75	25.0	18.75
UBR5	0.0	0.0	1.75	1.75	6.25	12.5
UBE3C	0.0	0.0	0.0	1.75	0.0	12.5
TRIM5	75.44	10.53	7.02	80.7	62.5	31.25
TANK	0.0	0.0	1.75	0.0	6.25	12.5
TNFAIP3	50.88	40.35	40.35	57.89	68.75	31.25
UBR2	0.0	0.0	0.0	0.0	0.0	18.75
RNF11	0.0	0.0	0.0	0.0	0.0	25.0
ZNRF2	1.75	7.02	7.02	22.81	18.75	31.25
RNF220	0.0	0.0	0.0	0.0	25.0	12.5
TRIM32	1.75	1.75	14.04	3.51	18.75	31.25
RFFL	31.58	31.58	33.33	50.88	18.75	68.75
RNF182	57.89	17.54	19.3	71.93	43.75	37.5
USP7	0.0	0.0	1.75	0.0	12.5	0.0
TRIM9	17.54	0.0	0.0	17.54	6.25	81.25
RNF135	35.09	36.84	26.32	61.4	68.75	18.75
RFPL4A	1.75	91.23	1.75	98.25	6.25	87.5
NHLRC1	8.77	21.05	19.3	50.88	18.75	50.0
UBR4	1.75	0.0	0.0	0.0	6.25	6.25
TNFAIP1	0.0	0.0	1.75	7.02	6.25	50.0
PPARG	14.04	14.04	12.28	31.58	12.5	56.25
VPS18	1.75	5.26	8.77	10.53	18.75	18.75
RNF183	57.89	38.6	21.05	73.68	31.25	50.0
SH3RF1	3.51	1.75	5.26	10.53	0.0	6.25
RNF43	73.68	21.05	21.05	68.42	37.5	56.25
UBE2W	0.0	0.0	1.75	0.0	12.5	18.75
TRIM56	35.09	14.04	17.54	49.12	68.75	18.75
KLHL31	61.4	29.82	28.07	57.89	31.25	56.25
RNF26	3.51	7.02	1.75	17.54	18.75	37.5
MGRN1	1.75	3.51	3.51	5.26	31.25	12.5
NEURL1B	15.79	8.77	3.51	70.18	18.75	68.75
SOCS5	0.0	0.0	5.26	0.0	12.5	25.0
UBE2C	43.86	52.63	21.05	75.44	18.75	81.25
PEX12	0.0	3.51	10.53	14.04	18.75	25.0
SPSB2	14.04	21.05	26.32	35.09	37.5	56.25
ZNRF1	0.0	0.0	3.51	1.75	0.0	12.5
RNF14	0.0	0.0	0.0	1.75	12.5	12.5
TRIM11	0.0	0.0	1.75	3.51	0.0	18.75
TRIM28	0.0	3.51	0.0	0.0	12.5	12.5
TRIM13	0.0	0.0	3.51	1.75	12.5	0.0
TRIM71	26.32	29.82	33.33	40.35	0.0	87.5
UBE2T	0.0	0.0	0.0	3.51	0.0	43.75
MARCH7	0.0	0.0	0.0	0.0	0.0	0.0
UCHL1	17.54	5.26	0.0	5.26	6.25	62.5
RNF185	1.75	5.26	3.51	10.53	18.75	18.75
TRIM37	1.75	0.0	1.75	0.0	0.0	6.25
MYLIP	3.51	0.0	10.53	15.79	0.0	25.0
