human	macaque	mouse
TTN	TTN	Ttn
SYNE1	SYNE1	Syne1
DST	DST	Dst
SYNE2	SYNE2	Syne2
NEB	None	Neb
FSIP2	FSIP2	Fsip2
ADGRV1	None	Gpr98
HMCN1	HMCN1	Hmcn1
MDN1	MDN1	Mdn1
KMT2D	None	Kmt2d
MACF1	MACF1	Macf1
AHNAK	AHNAK	Ahnak
UBR4	UBR4	Ubr4
OBSCN	None	Obscn
RYR2	RYR2	Ryr2
KIAA1109	KIAA1109	None
USH2A	USH2A	None
FAT4	FAT4	Fat4
RYR1	RYR1	Ryr1
HERC1	HERC1	Herc1
BIRC6	BIRC6	Birc6
RYR3	RYR3	Ryr3
PCLO	PCLO	Pclo
HERC2	HERC2	Herc2
KMT2C	KMT2C	Kmt2c
HYDIN	HYDIN	Hydin
LRP1	LRP1	Lrp1
LRP2	LRP2	Lrp2
LRP1B	LRP1B	Lrp1b
DYNC1H1	DYNC1H1	Dync1h1
MYCBP2	MYCBP2	Mycbp2
HMCN2	None	Hmcn2
SACS	SACS	Sacs
PLEC	PLEC	Plec
FAT3	FAT3	Fat3
DNAH5	DNAH5	Dnah5
DNAH8	DNAH8	Dnah8
HUWE1	HUWE1	Huwe1
DNHD1	DNHD1	Dnhd1
VPS13D	VPS13D	Vps13d
ABCA13	ABCA13	Abca13
DNAH10	DNAH10	Dnah10
ANK3	ANK3	None
FAT1	FAT1	Fat1
DYNC2H1	DYNC2H1	Dync2h1
DNAH9	DNAH9	Dnah9
RNF213	None	Rnf213
HSPG2	HSPG2	Hspg2
HECTD4	HECTD4	None
DNAH2	DNAH2	Dnah2
DNAH1	DNAH1	Dnah1
FAT2	FAT2	Fat2
AHNAK2	AHNAK2	None
APOB	APOB	Apob
PRKDC	PRKDC	Prkdc
DNAH6	DNAH6	Dnah6
PKHD1L1	PKHD1L1	Pkhd1l1
KMT2A	None	Kmt2a
DNAH7	DNAH7	Dnah7b
TRRAP	TRRAP	Trrap
DNAH3	DNAH3	Dnah3
VPS13B	VPS13B	Vps13b
STARD9	STARD9	Stard9
PKD1	PKD1	Pkd1
TNXB	TNXB	Tnxb
FRAS1	FRAS1	Fras1
DNAH17	None	Dnah17
CSMD3	CSMD3	Csmd3
PKHD1	PKHD1	Pkhd1
ZFHX3	ZFHX3	Zfhx3
SMG1	SMG1	Smg1
ANK2	ANK2	Ank2
LYST	LYST	Lyst
USP34	USP34	Usp34
DMD	DMD	Dmd
AKAP9	AKAP9	Akap9
ZFHX4	ZFHX4	Zfhx4
CSMD1	CSMD1	Csmd1
VPS13C	VPS13C	Vps13c
WDFY3	WDFY3	Wdfy3
RELN	RELN	Reln
ALMS1	ALMS1	Alms1
SVEP1	SVEP1	Svep1
BSN	BSN	Bsn
SPEN	SPEN	Spen
CSMD2	CSMD2	Csmd2
CUBN	CUBN	Cubn
DNAH11	None	Dnah11
SZT2	SZT2	Szt2
CMYA5	CMYA5	Cmya5
UTRN	UTRN	Utrn
UNC80	UNC80	Unc80
MYO15A	None	Myo15
ASPM	ASPM	Aspm
CELSR3	CELSR3	Celsr3
SSPO	None	Sspo
CDH23	CDH23	Cdh23
MUC5B	MUC5B	Muc5b
SPTBN5	SPTBN5	Sptbn5
LAMA3	LAMA3	Lama3
TRIO	TRIO	Trio
ZNF469	ZNF469	None
SRCAP	SRCAP	Srcap
XIRP2	XIRP2	Xirp2
FBN2	FBN2	Fbn2
RANBP2	RANBP2	Ranbp2
LAMA2	LAMA2	Lama2
DCHS1	DCHS1	Dchs1
FREM2	FREM2	Frem2
REV3L	REV3L	Rev3l
VPS13A	VPS13A	Vps13a
VCAN	VCAN	Vcan
DMXL2	DMXL2	Dmxl2
CHD7	CHD7	Chd7
FBN1	FBN1	Fbn1
DCHS2	DCHS2	None
FRY	FRY	Fry
COL12A1	COL12A1	Col12a1
KALRN	KALRN	Kalrn
GOLGB1	GOLGB1	Golgb1
FRYL	FRYL	Fryl
NBEA	NBEA	Nbea
WDFY4	WDFY4	Wdfy4
COL6A3	COL6A3	Col6a3
HTT	HTT	Htt
ATM	ATM	Atm
DMXL1	DMXL1	Dmxl1
EPPK1	None	Eppk1
CEP350	CEP350	Cep350
ASH1L	ASH1L	Ash1l
EP400	EP400	Ep400
MGA	MGA	Mga
EYS	EYS	None
SPEG	SPEG	Speg
BPTF	BPTF	Bptf
CFAP54	None	Cfap54
CHD9	CHD9	Chd9
BRCA2	BRCA2	Brca2
CELSR2	CELSR2	Celsr2
C5orf42	None	None
NF1	NF1	Nf1
TRANK1	TRANK1	Trank1
ZZEF1	ZZEF1	Zzef1
DSP	DSP	Dsp
UBR5	UBR5	Ubr5
NIPBL	NIPBL	Nipbl
PRRC2C	PRRC2C	Prrc2c
TNRC18	TNRC18	Tnrc18
ITPR1	ITPR1	Itpr1
CENPF	CENPF	Cenpf
TENM4	TENM4	Tenm4
BOD1L1	BOD1L1	Bod1l
TENM1	TENM1	Tenm1
CFAP47	None	None
APC	APC	Apc
TENM3	TENM3	Tenm3
LRBA	LRBA	Lrba
MEGF8	MEGF8	Megf8
FLNC	FLNC	Flnc
TENM2	TENM2	Tenm2
PIEZO2	PIEZO2	Piezo2
OTOG	None	Otog
ITPR2	ITPR2	Itpr2
