"gene_id","symbol","name","chr","start","end"
"9341","VAMP3","vesicle-associated membrane protein 3 (cellubrevin)","1","7831329","7841492"
"2023","ENO1","enolase 1, (alpha)","1","8921061","8939308"
"23673","STX12","syntaxin 12","1","28099694","28150963"
"5236","PGM1","phosphoglucomutase 1","1","64058947","64125916"
"388662","SLC6A17","solute carrier family 6, member 17","1","110693108","110744824"
"9900","SV2A","synaptic vesicle glycoprotein 2A","1","149874870","149889434"
"10067","SCAMP3","secretory carrier membrane protein 3","1","155225770","155232221"
"9910","RABGAP1L","RAB GTPase activating protein 1-like","1","174128548","174964445"
"10228","STX6","syntaxin 6","1","180941861","180992047"
"127124","ATP6V1G3","ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G3","1","198492352","198510075"
"127833","SYT2","synaptotagmin II","1","202559724","202679545"
"116841","SNAP47","synaptosomal-associated protein, 47kDa","1","227916240","227968927"
"58","ACTA1","actin, alpha 1, skeletal muscle","1","229566992","229569845"
"3241","HPCAL1","hippocalcin-like 1","2","10443015","10567743"
"245973","ATP6V1C2","ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2","2","10861775","10925236"
"7447","VSNL1","visinin-like 1","2","17720393","17838285"
"7781","SLC30A3","solute carrier family 30 (zinc transporter), member 3","2","27476552","27498685"
"90423","ATP6V1E2","ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2","2","46738986","46747096"
"805","CALM2","calmodulin 2 (phosphorylase kinase, delta)","2","47272677","47403740"
"57142","RTN4","reticulon 4","2","55199325","55339757"
"22848","AAK1","AP2 associated kinase 1","2","69688532","69901481"
"525","ATP6V1B1","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1","2","71163012","71192550"
"1639","DCTN1","dynactin 1","2","74588281","74619214"
"22930","RAB3GAP1","RAB3 GTPase activating protein subunit 1 (catalytic)","2","135809835","135933964"
"5163","PDK1","pyruvate dehydrogenase kinase, isozyme 1","2","173420101","173463862"
"10109","ARPC2","actin related protein 2/3 complex, subunit 2, 34kDa","2","219081817","219119079"
"547","KIF1A","kinesin family member 1A","2","241653181","241759637"
"6854","SYN2","synapsin II","3","12045862","12232907"
"523","ATP6V1A","ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A","3","113465866","113530903"
