"gene_id","symbol","name","chr","start","end"
"2023","ENO1","enolase 1, (alpha)","1","8921061","8939308"
"998","CDC42","cell division cycle 42 (GTP binding protein, 25kDa)","1","22379120","22419437"
"127700","OSCP1","organic solute carrier partner 1","1","36881428","36916052"
"5052","PRDX1","peroxiredoxin 1","1","45976708","45988719"
"388662","SLC6A17","solute carrier family 6, member 17","1","110693108","110744824"
"515","ATP5F1","ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1","1","111991486","112005395"
"476","ATP1A1","ATPase, Na+/K+ transporting, alpha 1 polypeptide","1","116915290","116952883"
"653505","PPIAL4B","peptidylprolyl isomerase A (cyclophilin A)-like 4B","1","144360739","144364592"
"9900","SV2A","synaptic vesicle glycoprotein 2A","1","149874870","149889434"
"93185","IGSF8","immunoglobulin superfamily, member 8","1","160061130","160068733"
"477","ATP1A2","ATPase, Na+/K+ transporting, alpha 2 polypeptide","1","160085549","160113381"
"480","ATP1A4","ATPase, Na+/K+ transporting, alpha 4 polypeptide","1","160121352","160156767"
"481","ATP1B1","ATPase, Na+/K+ transporting, beta 1 polypeptide","1","169074935","169101960"
"2752","GLUL","glutamate-ammonia ligase","1","182350839","182361341"
"493","ATP2B4","ATPase, Ca++ transporting, plasma membrane 4","1","203595689","203713209"
"23114","NFASC","neurofascin","1","204797779","204991950"
"5362","PLXNA2","plexin A2","1","208195587","208417665"
"375","ARF1","ADP-ribosylation factor 1","1","228270361","228286910"
"58","ACTA1","actin, alpha 1, skeletal muscle","1","229566992","229569845"
"10971","YWHAQ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide","2","9724101","9771143"
"245973","ATP6V1C2","ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2","2","10861775","10925236"
"7447","VSNL1","visinin-like 1","2","17720393","17838285"
"7781","SLC30A3","solute carrier family 30 (zinc transporter), member 3","2","27476552","27498685"
"90423","ATP6V1E2","ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2","2","46738986","46747096"
"6711","SPTBN1","spectrin, beta, non-erythrocytic 1","2","54683422","54896812"
"4190","MDH1","malate dehydrogenase 1, NAD (soluble)","2","63815743","63834331"
"5861","RAB1A","RAB1A, member RAS oncogene family","2","65297835","65357240"
"525","ATP6V1B1","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1","2","71163012","71192550"
"1329","COX5B","cytochrome c oxidase subunit Vb","2","98262503","98264846"
"57628","DPP10","dipeptidyl-peptidase 10 (non-functional)","2","115199876","116603328"
"1803","DPP4","dipeptidyl-peptidase 4","2","162848751","162931052"
"53632","PRKAG3","protein kinase, AMP-activated, gamma 3 non-catalytic subunit","2","219687106","219696539"
"4705","NDUFA10","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa","2","240831867","240964819"
"10093","ARPC4","actin related protein 2/3 complex, subunit 4, 20kDa","3","9834227","9870736"
"491","ATP2B2","ATPase, Ca++ transporting, plasma membrane 2","3","10365707","10749716"
"6538","SLC6A11","solute carrier family 6 (neurotransmitter transporter, GABA), member 11","3","10857885","10982419"
"6529","SLC6A1","solute carrier family 6 (neurotransmitter transporter, GABA), member 1","3","11034410","11080933"
"6854","SYN2","synapsin II","3","12045862","12232907"
"5868","RAB5A","RAB5A, member RAS oncogene family","3","19988571","20026667"
"7384","UQCRC1","ubiquinol-cytochrome c reductase core protein I","3","48636435","48648409"
"8927","BSN","bassoon (presynaptic cytomatrix protein)","3","49591922","49708978"
"2771","GNAI2","guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2","3","50263724","50296787"
"5162","PDHB","pyruvate dehydrogenase (lipoamide) beta","3","58413357","58419584"
"214","ALCAM","activated leukocyte cell adhesion molecule","3","105085713","105295744"
"961","CD47","CD47 molecule","3","107761941","107809935"
"4710","NDUFB4","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa","3","120315156","120321347"
"7879","RAB7A","RAB7A, member RAS oncogene family","3","128444965","128533639"
"51560","RAB6B","RAB6B, member RAS oncogene family","3","133543083","133614680"
"7881","KCNAB1","potassium voltage-gated channel, shaker-related subfamily, beta member 1","3","155755490","156256927"
