human	macaque	mouse
TITIN_HUMAN	F7FBM0_MACMU	TITIN_MOUSE
SYNE1_HUMAN	F6QLC1_MACMU	SYNE1_MOUSE
DYST_HUMAN	A0A5F7ZHY2_MACMU	DYST_MOUSE
SYNE2_HUMAN	A0A5F7ZRW7_MACMU	SYNE2_MOUSE
NEBU_HUMAN	A0A5F7ZRW7_MACMU	A0A571BF58_MOUSE
FSIP2_HUMAN	F7B6D2_MACMU	FSIP2_MOUSE
AGRV1_HUMAN	F6Y4R4_MACMU	AGRV1_MOUSE
HMCN1_HUMAN	F7BH35_MACMU	HMCN1_MOUSE
MDN1_HUMAN	F7EBL3_MACMU	A2ANY6_MOUSE
KMT2D_HUMAN	F6SEE6_MACMU	KMT2D_MOUSE
MACF1_HUMAN	A0A5F7ZRN9_MACMU	MACF1_MOUSE
AHNK_HUMAN	A0A5F7ZZ82_MACMU	E9Q616_MOUSE
UBR4_HUMAN	F7FS71_MACMU	UBR4_MOUSE
OBSCN_HUMAN	F7FS71_MACMU	OBSCN_MOUSE
RYR2_HUMAN	F6QN38_MACMU	RYR2_MOUSE
K1109_HUMAN	A0A5F7ZVL8_MACMU	K1109_MOUSE
USH2A_HUMAN	F7FRC4_MACMU	USH2A_MOUSE
FAT4_HUMAN	F7H974_MACMU	FAT4_MOUSE
RYR1_HUMAN	F7HB93_MACMU	RYR1_MOUSE
HERC1_HUMAN	F7H8R5_MACMU	E9PZP8_MOUSE
BIRC6_HUMAN	A0A5F8ABD3_MACMU	BIRC6_MOUSE
RYR3_HUMAN	A0A1D5R455_MACMU	RYR3_MOUSE
PCLO_HUMAN	F7HKA9_MACMU	PCLO_MOUSE
HERC2_HUMAN	F6V4X1_MACMU	HERC2_MOUSE
KMT2C_HUMAN	F7EK45_MACMU	KMT2C_MOUSE
HYDIN_HUMAN	F6VSU6_MACMU	HYDIN_MOUSE
LRP1_HUMAN	A0A1D5R0B2_MACMU	LRP1_MOUSE
LRP2_HUMAN	A0A5F8ALS4_MACMU	LRP2_MOUSE
LRP1B_HUMAN	F6YL51_MACMU	LRP1B_MOUSE
DYHC1_HUMAN	A0A5F7ZPZ3_MACMU	DYHC1_MOUSE
MYCB2_HUMAN	A0A1D5QMF9_MACMU	MYCB2_MOUSE
HMCN2_HUMAN	A0A1D5RK05_MACMU	HMCN2_MOUSE
SACS_HUMAN	A0A1D5Q5U6_MACMU	SACS_MOUSE
PLEC_HUMAN	F7ABN9_MACMU	PLEC_MOUSE
FAT3_HUMAN	A0A5F8AEU8_MACMU	FAT3_MOUSE
DYH5_HUMAN	F7GQS3_MACMU	DYH5_MOUSE
DYH8_HUMAN	F7E3R0_MACMU	DYH8_MOUSE
HUWE1_HUMAN	H9ELS9_MACMU	HUWE1_MOUSE
DNHD1_HUMAN	A0A5F8ALM0_MACMU	D3Z2X2_MOUSE
VP13D_HUMAN	A0A5K1TWX9_MACMU	B1ART2_MOUSE
ABCAD_HUMAN	F7FQ43_MACMU	ABCAD_MOUSE
DYH10_HUMAN	F7HJR8_MACMU	D3YYQ8_MOUSE
ANK3_HUMAN	F7EMR3_MACMU	D3YYQ8_MOUSE
FAT1_HUMAN	F7HLC0_MACMU	A0A1L1SQU7_MOUSE
DYHC2_HUMAN	F7HHK5_MACMU	DYHC2_MOUSE
DYH9_HUMAN	A0A1D5QWB8_MACMU	B1AR51_MOUSE
RN213_HUMAN	A0A1D5Q1N5_MACMU	RN213_MOUSE
PGBM_HUMAN	A0A5F8A9Z8_MACMU	PGBM_MOUSE
HECD4_HUMAN	F6V133_MACMU	E9Q2E4_MOUSE
DYH2_HUMAN	F7HBY3_MACMU	DYH2_MOUSE
DYH1_HUMAN	F7AZV1_MACMU	DYH1_MOUSE
FAT2_HUMAN	F7E6Z1_MACMU	FAT2_MOUSE
AHNK2_HUMAN	A0A5F7ZVU6_MACMU	FAT2_MOUSE
APOB_HUMAN	F7CEU1_MACMU	APOB_MOUSE
PRKDC_HUMAN	F6SP41_MACMU	PRKDC_MOUSE
DYH6_HUMAN	F6T7U1_MACMU	E9Q0B6_MOUSE
PKHL1_HUMAN	F6SXR1_MACMU	PKHL1_MOUSE
KMT2A_HUMAN	F7FZ49_MACMU	KMT2A_MOUSE
DYH7_HUMAN	F6WDB9_MACMU	L7N1Y0_MOUSE
TRRAP_HUMAN	A0A1D5QYK9_MACMU	TRRAP_MOUSE
DYH3_HUMAN	F7AI92_MACMU	DYH3_MOUSE
VP13B_HUMAN	F6ZMU5_MACMU	VP13B_MOUSE
STAR9_HUMAN	A0A5F7ZVI8_MACMU	STAR9_MOUSE
PKD1_HUMAN	F7HI29_MACMU	PKD1_MOUSE
TENX_HUMAN	F6RK27_MACMU	A0A5F8MPH8_MOUSE
FRAS1_HUMAN	F7HSN8_MACMU	FRAS1_MOUSE
DYH17_HUMAN	F7HSN8_MACMU	DYH17_MOUSE
CSMD3_HUMAN	F7E9B8_MACMU	CSMD3_MOUSE
PKHD1_HUMAN	F6PQW5_MACMU	PKHD1_MOUSE
ZFHX3_HUMAN	F7HG12_MACMU	ZFHX3_MOUSE
SMG1_HUMAN	A0A5F7ZLC3_MACMU	SMG1_MOUSE
ANK2_HUMAN	F7H4E8_MACMU	ANK2_MOUSE
LYST_HUMAN	A0A5F8AE47_MACMU	LYST_MOUSE
UBP34_HUMAN	F7HIY1_MACMU	UBP34_MOUSE
DMD_HUMAN	F7FKS0_MACMU	DMD_MOUSE
AKAP9_HUMAN	A0A5F8A9L8_MACMU	AKAP9_MOUSE
ZFHX4_HUMAN	F6RGC8_MACMU	ZFHX4_MOUSE
CSMD1_HUMAN	F6QBJ4_MACMU	CSMD1_MOUSE
VP13C_HUMAN	A0A5F8A2A7_MACMU	VP13C_MOUSE
WDFY3_HUMAN	A0A1D5QGT9_MACMU	WDFY3_MOUSE
RELN_HUMAN	A0A1D5RDB7_MACMU	RELN_MOUSE
ALMS1_HUMAN	A0A1D5RD93_MACMU	ALMS1_MOUSE
SVEP1_HUMAN	F7D9P8_MACMU	SVEP1_MOUSE
BSN_HUMAN	F7G7A7_MACMU	BSN_MOUSE
MINT_HUMAN	F7H5D3_MACMU	MINT_MOUSE
CSMD2_HUMAN	F7HKN4_MACMU	V9GX34_MOUSE
CUBN_HUMAN	F7GN59_MACMU	CUBN_MOUSE
DYH11_HUMAN	F7GN59_MACMU	E9Q7N9_MOUSE
SZT2_HUMAN	F7GXW3_MACMU	SZT2_MOUSE
CMYA5_HUMAN	A0A1D5Q1E3_MACMU	CMYA5_MOUSE
UTRN_HUMAN	F6R0R2_MACMU	E9Q6R7_MOUSE
UNC80_HUMAN	F7H0C2_MACMU	UNC80_MOUSE
MYO15_HUMAN	A0A1D5Q0C1_MACMU	MYO15_MOUSE
ASPM_HUMAN	F6XA96_MACMU	ASPM_MOUSE
CELR3_HUMAN	F7GBV2_MACMU	CELR3_MOUSE
SSPO_HUMAN	F7GBV2_MACMU	SSPO_MOUSE
CAD23_HUMAN	F7GVN5_MACMU	CAD23_MOUSE
MUC5B_HUMAN	F7CZT4_MACMU	E9Q5I3_MOUSE
SPTN5_HUMAN	F7HAE6_MACMU	A0A571BF02_MOUSE
LAMA3_HUMAN	F7CEZ9_MACMU	LAMA3_MOUSE
TRIO_HUMAN	F6SBV8_MACMU	TRIO_MOUSE
ZN469_HUMAN	A0A1D5R3X1_MACMU	A0A571BEL3_MOUSE
SRCAP_HUMAN	F7CUX2_MACMU	A0A087WQ44_MOUSE
XIRP2_HUMAN	F6ZJF6_MACMU	XIRP2_MOUSE
FBN2_HUMAN	F7GCA1_MACMU	FBN2_MOUSE
